Wed Jun 17 06:36:50 PDT 2015 --  आपका जीवन कितना ही अच्छा क्यों न हो पर एक बात ध्यान रखना की जहा आपका एक अवगुण सार्वजनिक हुआ, समाज दो मिनिट मे आपकी मेगी जेसी हालात कर देगा ।
Thu May 21 10:41:40 PDT 2015 --  बंताफ़िल्मीऔर असल ज़िन्दगी मे क्या फर्क है संता :फ़िल्म मे बहुत मुश्किलो के बाद शादी होतीहै असल ज़िन्दगी मे शादी के बाद बहुत मुश्किल होती है
Fri Apr 03 21:20:29 PDT 2015 --  Raina के पिताने सबको बोला है की फेरो के वक़्त सर के ऊपर से फूल मत फ़ेकेगा, लड़का बाउंसर देख डर जाता है #RainaKiShaadi
Thu Apr 02 11:53:13 PDT 2015 --  में बोला , वो बोली .. में चिल्लाया , वो चिल्लाई .. में और जोर से चिल्लाया , वो रोने लगी .. और इस तरह वो "डकवर्थ लुईस" नियम से मैच जीत गयी
Thu Apr 02 11:51:57 PDT 2015 --  Boy - खाना बना लेती हो? Girl - नही Boy - और कुछ बना लेती हो? Girl - हाँ सेल्फ़ी लेते टाइम मुँह बना लेती हूँ
Sat Mar 28 09:31:55 PDT 2015 --  People Blaming Anushka For India's Loss In Semi Finals,,, Agli Baar Daddy Ki Salary Late Ho Toh Mummy Ko Ghar Se Nikaal Dena. #GrowUpIndians
Sat Mar 28 09:28:59 PDT 2015 --  Normal people phone ~ Tring Tring AAPians Phone ~ Sting Sting
Sat Mar 28 09:28:01 PDT 2015 --  अब कमीना शब्द गाली नहीं रहा ,क्योकी ये शब्द खुद अवतारी पुरुष ArvindKejriwal के मुख से धरा पे लैंड किया हे.! जय हो ठग्गू महराज की #AapKaSting
Thu Mar 26 06:32:15 PDT 2015 --  रैना -->हे साई बाबा ...कल का मैच जितवा देना साई बाबा -->बेटा Jesus के पास जा मैच "सिडनी" में है "शिरडी" में नहीं #IndvsAus
Fri Mar 20 10:43:26 PDT 2015 --  पाकिस्तान में बुलेट प्रूफ टीवी लाने की तैयारी में जुटा सैमसंग !! ~ सूत्र #CWC2015
Fri Mar 20 10:39:42 PDT 2015 --  भारतीय टीम ने पिछले 7 मैचों के 70 में से सभी 70 विकेट लेकर अनोखा रिकॉर्ड बनाया । इस से पहले यह रिकॉर्ड आम आदमी पार्टी (67) के नाम था ।
Wed Mar 11 10:50:04 PDT 2015 --  AAP is like a tree. Arvind Kejriwal is the trunk. Everybody else leaves.
Fri Mar 06 10:52:00 PST 2015 --  My last 3 girlfriends died of measles, Ebola & embarrassment #WhyImStillSingle
Wed Mar 04 02:55:17 PST 2015 --  In Maharashtra, all chicken, goats and sheep are currently thinking - Why do gais have all the fun? #BeefBan
Sat Feb 28 09:04:51 PST 2015 --  We laugh at their score, they laugh at our petrol prices.. #INDvsUAE
Mon Jan 26 15:22:57 PST 2015 --  Breaking news: Obama to Modi.... 'You take the Nuclear Technology from us, but For God's sake, return our Nuclear Bomb, SunnyLeone , to us'
Thu Jan 22 20:01:05 PST 2015 --  सलमान के सपने में हिरण और केजरी के सपने में किरण नीद दोनों की उडी हुयी है ।
Mon Jan 19 22:10:48 PST 2015 --  Image from http://i.dailymail.co.uk/i/pix/2014/03/26/article-2589577-1C91925600000578-648_306x541.jpg …. pic.twitter.com/lhwjmH3gVD
Thu Jan 08 11:37:55 PST 2015 --  Presenting PJ of the Day - Yeh snake ki formal photo. Aur - Yeh selfie. #Kuchbhi
Thu Jan 01 08:22:37 PST 2015 --  सभी लडकियों को समान नज़र से देखूँगा ... सब से बराबर फ़्लर्ट करूँगा! #MyNewYearResolution
Thu Dec 18 22:41:55 PST 2014 --  RIP Little Angels... Glad to know you all are promoted from Demons' place to Gods' place!! #FromEarthToHeaven #PeshawarAttack
Wed Dec 17 18:22:22 PST 2014 --  खून किसी का भी गिरे यहां नस्ल-ए-आदम का खून है बच्चे सरहद पार के सही किसी की छाती का सुकून है!  #peshawarAttacks
Wed Dec 17 18:20:33 PST 2014 --  ""माँ " दरवाजा ही तकती रह गई, बच्चे स्कूल से सीधे जन्नत चले गए..!!" #PeshavarAttack
Wed Dec 17 07:42:57 PST 2014 --  The smallest coffins are the heaviest. RIP the Innocent Souls #IndiaWithPakistan #PeshawarAttack
Wed Dec 17 07:41:48 PST 2014 --  Some idiots saying pak deserved it..grow up people,those innocent kids dont deserve it #Indiawithpakistan
Wed Dec 10 00:35:14 PST 2014 --  Kohli's first Test as Captain & Picked all Sharma RohitSharma KaranSharma IshantSharma .Bcoz Of #AnushkaSharma
Sun Dec 07 16:42:07 PST 2014 --  Ho ho ho! Just unlocked the Christmas theme in @ThemeboardApp https://itunes.apple.com/app/id908842747?ls=1&mt=8&at=11lprd … pic.twitter.com/MF3UMYv2T1
Thu Nov 27 08:40:19 PST 2014 --  Irony of life: Phil Hughes who passed away today.... But the scoreboard forever will read 63 NOT OUT
Wed Nov 26 07:17:57 PST 2014 --  26/11 R.I.P. #bad #memories
Tue Nov 25 16:07:17 PST 2014 --  After Pix, Six and Mix, Sony should start a new channel 'Fix' exclusively for IPL.
Tue Nov 25 16:04:02 PST 2014 --  Modi is very smart. He invites Obama. Obama accepts. Now Indian Govt. should reject Obama's visa. #KhoonKaBadlaKhoon
Fri Nov 21 07:06:56 PST 2014 --  SuperMan SpiderMan are Past . . . . . Future is #MufflerMan
Tue Nov 18 06:28:18 PST 2014 --  What's the difference between a punjabi wedding and a punjabi funeral? One less drunk!
Sat Nov 15 14:36:21 PST 2014 --  S.C.H.O.O.L. = Seven Crappy Hours Of Our Life. C.L.A.S.S. = Come Late And Start Sleeping. F.I.N.A.L.S. = Fuck I Never Actually Learned Shit
Wed Nov 12 12:08:04 PST 2014 --  अमिताभ बच्चन: हम जहाँ खड़े हो जाते हैं, लाइन वहीं से शुरू हो जाती है M D H wala budda : हम जब पैदा हुए, कैलेंडर वहीं से शुरू हो गया
Sun Nov 09 10:02:36 PST 2014 --  Kitna bhi Mountain Dew piyo dar to. . . sharab pine se hi dur hota hai !! #TeamSharabi
Sun Nov 09 09:57:00 PST 2014 --  2010 : Executioner : Any last wish? Convict : Can I pray! 2014 : Executioner : Any last wish? Convict : Can I take a Selfie? #selfie
Sun Nov 09 09:54:22 PST 2014 --  Dear people who hide their last seens, Hahahahahhahahahahahaha! Sincerely, Blue Ticks *y*
