Sun Nov 16 13:20:16 PST 2014 --  Week end Coupe de France: le Stade Rennais, rare club de la banlieue nantaise encore qualifié...
Sat Nov 15 09:21:53 PST 2014 --  Le stream ce soir commence vers 21h, on part sur 2 petites heures de This War of Mine (version finale) ensuite du Battle Royale!
Sun Nov 02 14:48:43 PST 2014 --  Vidéo tournée, jai encore bien rigolé tout seul chez moi comme un gros skyzo, c'était cool ! Bisou !
Sat Nov 01 12:48:13 PDT 2014 --  #EvolveV qui a une clés Xbox one ?
Sat Oct 04 02:27:47 PDT 2014 --  Le twerk magnifique de @xXPsYkO17Xx !!! pic.twitter.com/tWnXPJJ9jU
Sat Oct 04 02:27:14 PDT 2014 --  @xXPsYkO17Xx vasi psyko vasi !!! pic.twitter.com/y1SBH2nMsl
Sat Oct 04 02:36:04 PDT 2014 --  @xXPsYkO17Xx le live pic.twitter.com/amhvUvvfdp
Fri Sep 12 13:11:02 PDT 2014 --  Moundir:"Bon on va se partager les taches, les filles vous faites la bouffe, je vais poser mes couilles sur la plage" #KohLanta
Thu Sep 11 12:19:32 PDT 2014 --  Marie-antoiwesh pic.twitter.com/OGsdFrOzue
Thu Sep 11 11:34:46 PDT 2014 --  Yacine Bammou fête ses 23 ans; saviez vous qu'il avait fêter ses 21 ans avec les clients de la boutique du PSG ?
Thu Sep 04 13:52:39 PDT 2014 --  J'ai presque une remy molle... #FRAESP
Sat Aug 09 15:46:34 PDT 2014 --  Aaaaaaaaah ça m'avait manqué....Merci la Beaujoire
Sun Aug 10 08:31:15 PDT 2014 --  À 13 000 abonnés je rase ma barbe.
Fri Aug 08 05:16:36 PDT 2014 --  Y'a tellement de nouveaux trucs cool dans la mise à jour de The Forest ! Hâte d'y jouer et de vous faire une vidéo dessus :')
Fri Aug 08 05:03:28 PDT 2014 --  Tu sais que t es nantais quand tu es surpris de voir le soleil 6 jours d affilée sans le moindre nuage.
Fri Aug 08 03:17:11 PDT 2014 --  [Compo #FCNantes] 18 joueurs retenus pour #FCNRCL http://www.fcnantes.com/articles/article2809.php?num=9666 … #AllezFCNantes #Samedi21h00 pic.twitter.com/GolZ4Y2nae
Fri Aug 08 04:31:48 PDT 2014 --  [RESUME] Toronto : Tsonga élimine Djokovic ! > Le résumé en vidéo : http://ow.ly/A6iqd  pic.twitter.com/E1mJ561svs
Fri Aug 08 04:23:18 PDT 2014 --  Demain Nantes - Lens *-* #AllezNantes
Fri Aug 08 04:18:28 PDT 2014 --  Old No .. trop fou!https://www.youtube.com/watch?v=bLIqo2VV-g8 …
Sat Jun 28 07:03:55 PDT 2014 --  On est partout #fcn pic.twitter.com/BFM01KeEhH
Mon Jun 02 13:52:45 PDT 2014 --  Manger épicé.... En même temps..... pic.twitter.com/0GyUNE2N3l
Fri May 30 10:35:30 PDT 2014 --  "Une fierté" : #Bedoya #CM2014 #IBelieveThatWeWillWin @ussoccer #1N1T #FCNantes http://www.fcnantes.com/articles/article2809.php?num=9500 … @AleBedoya17 pic.twitter.com/jep0j77MIR
Sat May 17 04:45:18 PDT 2014 --  Amine OUDRHIRI 1ere apparition dans le groupe pro Bizutage oblige!!! Hahaha #Papaoutai… http://instagram.com/p/oGMQGAohAs/ 
Sat Mar 22 17:11:34 PDT 2014 --  Les réactions après la victoire 2-1 #FCNMHSC http://fcnantes.com/articles/article2809.php?num=9218 … #UnOufDeSoulagement #VictoireDédiéeAMichel pic.twitter.com/Yfvthakz6C
