Sun May 03 20:03:51 PDT 2015 --  Best friends make the good times better and the hard times easier.
Sun May 03 16:35:03 PDT 2015 --  Mornings ning ning awakk pic.twitter.com/r2m3AHvmJD
Sun May 03 03:38:20 PDT 2015 --  Boshann #Exo-L pic.twitter.com/5aim34zL2Q
Sun May 03 02:50:08 PDT 2015 --  Layan Running Man
Sun May 03 02:49:57 PDT 2015 --  pic.twitter.com/ZDwaLl2lDc
Sat May 02 15:43:08 PDT 2015 --  Morning Senyum..senyum slalu senyum pic.twitter.com/ZKnDRX3Q79
Fri May 01 21:15:59 PDT 2015 --  pic.twitter.com/saM73jr06S
Fri May 01 18:39:15 PDT 2015 --  Satu hari nanti bila kau bertemu. Dgn seorang kekasih baru mu. Janganlah sekali sakiti hati nya sprt diriku
Thu Apr 30 07:20:17 PDT 2015 --  Rasa bahagia bila orang yang aku sayang always ws and call aku tanpa aku yang mulakan dulu. Sayangnya tu semua angan angan
Mon Sep 30 03:02:34 PDT 2013 --  Perempuan yang pendek nampak comel bila dia terjengkit-jengkit nak ambil barang yang tinggi. RT jika tinggi anda bawah 165cm
Fri May 01 18:09:52 PDT 2015 --  Boshan bhaii
Fri May 01 17:58:45 PDT 2015 --  Hahaha pic.twitter.com/s0X1zo07FG
Fri May 01 16:14:52 PDT 2015 --  A pretty face is nothing if you have an ugly heart
Fri May 01 16:20:45 PDT 2015 --  Smile can't cover your pain. But smile can cover your weakness
Fri May 01 06:21:11 PDT 2015 --  Smue form ats²,,aq trcongok je kt gp tuhh...palau
Fri May 01 05:57:41 PDT 2015 --  Asyik kacau je,,haishh alayaii
Fri May 01 05:27:57 PDT 2015 --  Lgi 2 min
Fri May 01 05:12:49 PDT 2015 --  Ko nih skit² mara...pk aq kesh
Fri May 01 04:54:32 PDT 2015 --  Pahal ttbe sejuk semcm je mlm ni
Fri May 01 04:27:07 PDT 2015 --  δαλαΜ ΜαΦΗΓιβ
