Tue Jul 28 03:56:31 PDT 2015 --  Graphics guru Adrian Smith doing his thing. Helping to explain tech on @7NewsSydney pic.twitter.com/UvGpFOZV63
Mon Jul 27 15:38:07 PDT 2015 --  Start watching a broadcast on one device and seamlessly transition to another with iOS 8+ Handoff support pic.twitter.com/h9o9POfA83
Sun Jul 26 14:07:30 PDT 2015 --  The boys are back and so is my coffee. Nice new look for the bakery and the best coffee in the bra. #localbusiness pic.twitter.com/5EE95eD2sx
Sun Jul 26 02:03:50 PDT 2015 --  Australian 4G wireless network - Telstra, Optus & Vodafone spending billions to overcome congestion. @DjuroSen http://snpy.tv/1gWD0Pg 
Sun Jul 26 00:30:25 PDT 2015 --  What's doing with 4G? On @7NewsSydney @Telstra @Optus & @VodafoneAU tell us how they plan to keep up data demand pic.twitter.com/FYANJgjTHf
Sat Jul 25 17:51:42 PDT 2015 --  Bring it on old mate! https://twitter.com/Simon153/status/625103170524577792 …
Sat Jul 25 17:33:19 PDT 2015 --  Now that's rugby - great win @Wallabies #ARGvAUS and two from two for the new manager
Fri Jul 24 23:31:01 PDT 2015 --  Please let Marcelo Zelada do the Aus anthem in Mendoza again tomorrow @Wallabies @AdamCoopy #mangled pic.twitter.com/uwhXVpbjfS
Fri Jul 24 21:48:20 PDT 2015 --  Despite our loud chatter in Rancho Relaxo @ChrisBath7 still loves us interrupting her Sunday Night segments #legend pic.twitter.com/VOv8I7FvBU
Fri Jul 24 03:37:25 PDT 2015 --  Early start for this piece to camera last week. @rosevillerugby getting some great light out of the Singapore sunrise pic.twitter.com/SyqGzLGH13
Fri Jul 24 02:52:48 PDT 2015 --  Same here. All the very best @ChrisBath7 https://twitter.com/djurosen/status/624512657203200000 …
Fri Jul 24 02:33:15 PDT 2015 --  I'm proud to say I worked with @ChrisBath7 ... missing you already Bathie!! #7news #legend pic.twitter.com/LXkvbyHuDK
Thu Jul 23 06:03:03 PDT 2015 --  I don't know how old he is but happy birthday Gary Ella #ellavation pic.twitter.com/jl4ftae0Wk
Thu Jul 23 05:22:58 PDT 2015 --  IKEA's new placemat helps you stay logged out during dinner http://on.mash.to/1HU4pb5  pic.twitter.com/mZEQ8UMKsh
Thu Jul 23 03:00:43 PDT 2015 --  Thanks for helping out @AdrianArciuli7 great job at Silverwater “ @AdrianArciuli7: Ripping yarn brother! @DjuroSen https://twitter.com/7newssydney/status/624143429207896064 …”
Thu Jul 23 02:06:04 PDT 2015 --  FIRST ON 7: FIFA 16 sneak peek with @DjuroSen. Latest gameplay plus reaction to @TheMatildas inclusion. #7News https://amp.twimg.com/v/aecf3cea-29ca-4cf1-8168-2108b00b3ef7 …
Wed Jul 22 20:46:53 PDT 2015 --  Marcia, Gary, Mark and Glen Ella. Great stories being told at the Ella Foundation Luncheon. #netball #rugby #legends pic.twitter.com/cLP6ZFRH6M
Wed Jul 22 19:46:10 PDT 2015 --  Are you a #FIFA fan? TONIGHT 7 News reporter @DjuroSen gives you an exclusive look at #FIFA16 - due out this Sept. https://amp.twimg.com/v/7dcdf359-514a-4e47-ac66-f60e6238fea5 …
Wed Jul 22 04:10:21 PDT 2015 --  View from the top of @SAP offices in Melbourne. Doing some amazing stuff. Thanks for hosting us last night. pic.twitter.com/Ztm7D9mtaD
Wed Jul 22 03:00:53 PDT 2015 --  Thanks Snelso but really mate? I've already had my hands on it. 1 goal up. #FIFA16 https://twitter.com/matthewsnelson7/status/623785571576627200 …
Wed Jul 22 02:10:18 PDT 2015 --  US-based @TheMatildas player @stephcatley will appear on the cover of Aussie version of #FIFA16 reports @djurosen http://snpy.tv/1SB9WIJ 
Wed Jul 22 01:05:58 PDT 2015 --  #FIFA16 is the biggest sports video game in the world. 7 News technology reporter @DjuroSen's story on 7 News soon. https://amp.twimg.com/v/36ef5f3a-0bd7-48b2-97bf-506a8aea6e02 …
Wed Jul 22 00:40:43 PDT 2015 --  Tune in tonight at 6 @7NewsSydney https://twitter.com/rosevillerugby/status/623757519404425217 …
Tue Jul 21 03:15:44 PDT 2015 --  Tonight's view pic.twitter.com/p6oRllxMXn
Mon Jul 20 22:17:35 PDT 2015 --  Great to see @Mick_Fanning and @julian_wilson back pic.twitter.com/p3OHQuv0xE
Mon Jul 20 19:23:16 PDT 2015 --  Mick Fanning's arrival into Sydney Airport at 2:30pm. Live on @Channel7's @TDEon7. STREAM: http://bit.ly/7NewsLiveStream  pic.twitter.com/mN4vvfLGiD
Mon Jul 20 00:32:12 PDT 2015 --  Hollywood always has the answers @MattCarmichael #topsecret https://twitter.com/mattcarmichael/status/622931927410978816 …
Sat Jul 18 22:36:23 PDT 2015 --  Wallabies flying to Argentina #redalert @MattCarmichael
Tue Jul 14 23:17:51 PDT 2015 --  I need three remotes to use my TV - good to see some real progress being made by the manufacturers in this area. https://twitter.com/7newssydney/status/621199194590580736 …
Tue Jul 14 00:43:29 PDT 2015 --  Last overseas assignment with @rosevillerugby (Greg Parker) was 2000 Bledisloe (Eales kick Wellington) #goodsorts pic.twitter.com/TNr8wKqlQA
