Sun Sep 21 08:12:19 PDT 2014 --  Angel Di Maria: "What have I done?" Falcao: "Thank fuck this is only a loan." pic.twitter.com/3hGegfSrrA
Sat Sep 20 14:55:13 PDT 2014 --  #Liverpool paid £18m for #Salvo. Remember that.
Sat Sep 20 14:54:18 PDT 2014 --  All of our summer signings have started well and look very good. Most importantly, have improved us no end. Onwards and upwards. #whufc
Sat Sep 20 11:33:37 PDT 2014 --  What a 48hrs. The early, unexpected arrival of a baby boy, and a deserved victory over Liverpool. Life is good #whufc
Sat Sep 20 09:45:33 PDT 2014 --  #IRONS
Thu Sep 18 13:17:22 PDT 2014 --  My football squad number OCD in overdrive tonight. Eto'o wears #5, Bentdner #3. It just isn't right.
Wed Sep 17 14:38:18 PDT 2014 --  Good news: I'm trending tonight. Not sure what I've done, though... #ChrisCohen pic.twitter.com/38OU6Zav95
Tue Sep 16 12:10:44 PDT 2014 --  #Balotelli . I don't see the big fuss.
Tue Sep 16 11:34:04 PDT 2014 --  Let the #Liverpool love in begin. Again.
Mon Sep 15 11:34:48 PDT 2014 --  Although I'm quite excited by tonight's line up. #whufc
Mon Sep 15 11:34:16 PDT 2014 --  #whufc sign Alex Song, then start him on the bench. Standard.
Sat Sep 13 15:13:26 PDT 2014 --  Said it before the season started, and stick by it; the signings of Costa and Fabregas will win Chelsea the league. Sadly.
Thu Sep 11 15:05:08 PDT 2014 --  Just in from work #killer
Mon Sep 08 11:44:45 PDT 2014 --  Script for tonight: Boring England, Rooney poor, Sterling only positive, Wilshire nonexistent. Pessimistic? No, realist. #England
Sun Sep 07 13:38:29 PDT 2014 --  " @ExWHUemployee: For those of you surprised by my comment in my column here is the evidence http://www.express.co.uk/sport/football/473536/Faster-than-Bale-West-Ham-youngster-Matthias-Fanimo-world-s-quickest-footballer …" great/surprising fact
Wed Sep 03 15:19:44 PDT 2014 --  " @SkyNews: DAILY MAIL FRONT PAGE: "Husband, father - and now a hostage" #skypapers" another reason for me to hate @DailyMailUK
Mon Sep 01 14:57:59 PDT 2014 --  Unbelievable. Clubs have all summer to do a deal, yet ask for extensions last minute. Crazy.
Mon Sep 01 14:26:13 PDT 2014 --  If I knew anyone who went to stand behind Sky Sports reporters I would disown them. #idiots
Sun Aug 31 08:18:26 PDT 2014 --  A confident #Spurs team taken apart by a #Liverpool team who were taken apart by #ManCity. So,pretty much as you were from last season then.
Sat Aug 30 12:09:51 PDT 2014 --  *Turns on tv...* *Sees that #XFactor is on...* *Turns over...*
Sat Aug 30 06:54:30 PDT 2014 --  NEW SIGNING: Here is new boy Alex Song in his West Ham United kit! #WelcomeAlex pic.twitter.com/cj6TKqhqIW
Sat Aug 30 06:38:55 PDT 2014 --  Dropped points for #Burnley.
Fri Aug 29 14:45:39 PDT 2014 --  If #DanielAgger really is close to a move back to Brondby,wouldn't mind us going in for him. If available, why not? #whufc
Fri Aug 29 14:29:55 PDT 2014 --  Wow. Just got in and only just now reading about a possible deal for #AlexSong. Pleasantly surprising, decent if true #whufc
Tue Aug 26 13:46:37 PDT 2014 --  4-0?! Boring now. Like the endless Ice Bucket Challenge videos: After the first couple you know what's going to happen. Too many are boring.
Tue Aug 26 13:37:43 PDT 2014 --  As I said earlier, shame there's no fairytale cup upset on the cards at Stadium MK tonight...
Tue Aug 26 13:30:21 PDT 2014 --  This time last year David Moyes was the big problem. Now its the players who are. Football, eh?
Tue Aug 26 13:16:12 PDT 2014 --  #GuttedCeltic
Tue Aug 26 12:41:13 PDT 2014 --  Shame to see there's no cup upset on the cards at Stadium MK #ManUtd #MKDons
Tue Aug 26 12:28:22 PDT 2014 --  Just seen the goal again. On first viewing it looked like Sakho's header but closer inspection shows the final touch came off Carlos Tevez.
Tue Aug 26 11:38:37 PDT 2014 --  Not quite sure about #DiMaria . Certainly not for that amount. Goes down too easy for my liking. Interesting to see how he will cope in Prem
Fri Aug 15 15:24:39 PDT 2014 --  So, #whufc have signed 3 strikers this summer. But you know, you just know, Carlton Cole will play up on his own tomorrow. #ProveMeWrong
Thu Aug 14 14:29:14 PDT 2014 --  Just YouTubeing Robin Williams. Man, that guy was great. Crazy, manic, brilliant. #RIPRobinWilliams
Thu Aug 14 13:54:39 PDT 2014 --  Good news for #whufc #Pulis
Thu Aug 14 12:04:51 PDT 2014 --  " @SkyNews: Robin Williams Had Parkinson's Disease http://news.sky.com/story/1318797/robin-williams-had-parkinsons-disease …" wow, that's sad.
Mon Aug 11 12:40:19 PDT 2014 --  The Awakening - 2012 Truth of Man's History and F…: http://youtu.be/nwhnpZyOHV8  @chanus77
Wed Aug 06 13:31:27 PDT 2014 --  Gutted to see #Celtic going out. Truely. #gutted
