Fri Aug 07 13:57:18 PDT 2015 --  Steffens: "[Gonzalez is] pretty good. ... I think he's got something, so it'll be fun to get him in and see what he's got." Noted he's 6' 4"
Fri Aug 07 13:55:35 PDT 2015 --  Steffens told me yesterday Gonzalez is very steady. "We need a steady guy to come in. We don't know how long Ryan will be out."
Fri Aug 07 13:42:44 PDT 2015 --  Of note with this Gonzalez news, goalkeeper Ryan Thompson is still out with an inflamed knee.
Sat Aug 08 04:16:13 PDT 2015 --  ITS GAMEDAY! The beloved face TFCII for the IIIrd time this season, looking to take all IX points.
Fri Aug 07 13:43:43 PDT 2015 --  Gonzalez will be the 5th starting keeper for the Hounds this season. We're getting into classic Hounds transactions w/out explanation mode.
Fri Aug 07 13:28:00 PDT 2015 --  . @FCDallas and Mexico U-20 goalkeeper Jesse Gonzalez officially on loan to @PghRiverhounds. Will start tomorrow against Toronto FC II.
Fri Aug 07 07:53:58 PDT 2015 --  Hounds brought in @FCDallas & former Mexican U-20 GK Jesse Gonzalez on loan. Projects to back up Calle Brown tomorrow at @TorontoFCII
Fri Aug 07 07:49:51 PDT 2015 --  . @PghRiverhounds loading bus for Toronto. They'll be without GK Thompson (knee), D/F Russell (knee), F Dantas (heel) for 2nd straight week.
Thu Aug 06 14:51:50 PDT 2015 --  Last RT: MLS is kicking the tires on using USL to experiment on video review? PISS. ON. THAT.
Thu Aug 06 12:53:05 PDT 2015 --  ICYMI: MLS has tested video review in 3 markets, wants to move forward with live in-game testing, potentially in USL: http://bit.ly/1ORIYvD 
Thu Aug 06 13:39:53 PDT 2015 --  Announing The Steel Army Bus To Harrisburg http://steelarmy.com/2015/08/announing-the-steel-army-bus-to-harrisburg/ … pic.twitter.com/0h7W7Glu4x
Thu Aug 06 07:46:51 PDT 2015 --  We're excited for two more games next year. Our significant others and families... probably not so much #UNLEASH
Wed Aug 05 18:32:52 PDT 2015 --  Charlotte and New York drawing tonight is a good result for the Hounds. Keeps New York close and Charlotte further away #UNLEASH
Tue Aug 04 16:09:01 PDT 2015 --  Full post tomorrow, but the bus to Harrisburg is good to go. http://steelarmypgh.bigcartel.com  We're bringing the Keystone Cup back with us.
Tue Aug 04 10:36:29 PDT 2015 --  Hat-trick hero and Golden Boot co-leader Rob Vincent ( @RV__17) is the USL Player of the Week! http://bit.ly/1eQEDfC  pic.twitter.com/EaOjaNlyCm
Tue Aug 04 06:31:05 PDT 2015 --  Weekend Recap: YES! YES! YES! http://steelarmy.com/2015/08/weekend-recap-yes-yes-yes/ … pic.twitter.com/QmQ9t5kfxc
Mon Aug 03 14:35:35 PDT 2015 --  @pghriverhounds WEEKLY TAKE AWAYS: Vincent Chasing Records, No GK Controversy, Vets Help… http://pittsburghsoccerreport.com/2015/08/03/riverhounds-weekly-takeaways-vincent-chasing-records-no-gk-controversy-veterans-help … pic.twitter.com/aW98GIqPAX
Sun Aug 02 16:27:43 PDT 2015 --  Still two games to play against Charlotte and the regular season finale at Harrisburg. Eight games to play and they are all important.
