Mon Jun 08 17:11:13 PDT 2015 --  GAC heads to Villisca, Iowa, to investigate the Villisca Axe Murder House https://www.youtube.com/watch?v=BcYs3nrVH9s … pic.twitter.com/gd1AxZ7pxy
Mon Jun 08 16:02:22 PDT 2015 --  Monday,long week will start now. We visit Old Town San Diego. Stay with us guys https://www.youtube.com/watch?v=dcTk6WeiGYk … pic.twitter.com/cEe7t6aqJZ
Sun Jun 07 00:08:25 PDT 2015 --  Not far from our location. Freeway 101 ^_^ https://twitter.com/dawsongolf1234/status/607339775184355328 …
Sat Jun 06 17:37:39 PDT 2015 --  Tonight we spend time with us at Whaley House. Hope you guys like it. https://www.youtube.com/watch?v=rJTvir_Sdqc … pic.twitter.com/kZVgEkYBHh
Sat Jun 06 12:49:49 PDT 2015 --  This Saturday afternoon I have a special gift We are going to Shanghai Tunnels https://www.youtube.com/watch?v=-qDPghXiyxg … pic.twitter.com/06s5lsTG7D
Fri Jun 05 17:55:46 PDT 2015 --  The answer is Gaika Family and how parents had conversation with their kid that passed away
Fri Jun 05 17:46:55 PDT 2015 --  I bet some of you guys dont know where this pic comes from? https://www.youtube.com/watch?v=3hBYRt4NbMI … pic.twitter.com/1mV1x4jxJj
Fri Jun 05 17:20:56 PDT 2015 --  Friday night, yeah weekend now !!!! We are going to Saint Louis guys https://www.youtube.com/watch?v=V6B4N8u0JQY … pic.twitter.com/dltK8w7WFp
Wed Jun 03 14:53:58 PDT 2015 --  Guess what guys. Tonite we return to Linda Vista Hospital https://www.youtube.com/watch?v=ebRKKX6aarY … pic.twitter.com/yWHlRRfMVp
Wed Jun 03 00:13:50 PDT 2015 --  Missing u pic.twitter.com/YzyVXPu7Bu
Tue Jun 02 23:51:12 PDT 2015 --  Best Episode so far in this season 10. Wishing Nick comes back soon guys
Tue Jun 02 23:42:44 PDT 2015 --  Before go to bed, you guys must watch it https://www.youtube.com/watch?v=BmWdcgFtVCE … pic.twitter.com/n8i9RBfTAt
Mon Jun 01 21:34:58 PDT 2015 --  To nite GAC return Bobby Mackeys to investigate again. https://www.youtube.com/watch?v=jXjs63-qvUo … pic.twitter.com/kR9sV4Szpt
Mon Jun 01 01:31:48 PDT 2015 --  Anyone remember first GAC show? https://www.youtube.com/watch?v=SQzHCXKoA4c … pic.twitter.com/MCHm3TyDTN
Sat May 16 06:21:51 PDT 2015 --  Ghost Adventures Season 10 Episode 11 Texas Horror Hotel 2015 https://youtu.be/7nnsR6lXOCU?list=PLApwdKIs8otDr64bQP8uz6S2gXbX-J6m3 … via @YouTube
Sat May 16 06:20:11 PDT 2015 --  Ghost Adventures Season 10 Episode 9 Return to Tombstone 2015 https://youtu.be/ISCMYo7bWSk?list=PLApwdKIs8otDr64bQP8uz6S2gXbX-J6m3 … via @YouTube
Sat May 16 06:18:51 PDT 2015 --  Ghost Adventures Season 10 Episode 8 Apache Junction 2015 https://youtu.be/EH3xrWyI1q4?list=PLApwdKIs8otDr64bQP8uz6S2gXbX-J6m3 … via @YouTube
Sat May 16 06:17:32 PDT 2015 --  Ghost Adventures Season 10 Episode 7 Nopeming Sanatorium 2015 https://youtu.be/r2xVo7HixXk?list=PLApwdKIs8otDr64bQP8uz6S2gXbX-J6m3 … via @YouTube
Sat May 16 06:15:39 PDT 2015 --  Ghost Adventures Season 10 Episode 6 Sallie House 2015 https://youtu.be/VxdOpkLqUeA?list=PLApwdKIs8otDr64bQP8uz6S2gXbX-J6m3 … via @YouTube
