Mon Jul 13 02:36:16 PDT 2015 --  سبحان الله ، والحمد لله لا إله إلا الله ، والله أكبر .. #اللهم اغفر لنا ، وارحمنا وعافنا ، وارزقنا .. واعفُ عنا وعن والدينا.
Sat Jul 11 13:02:41 PDT 2015 --  سبحان الله والحمد لله لا إله إلا الله والله أكبر اللهم إني أسألك من خير ماتعلم ،وأعوذ بك من شر ماتعلم ،وأستغفرك لما تعلم ،أنت علَّام الغيوب.
Sat Jul 11 11:57:04 PDT 2015 --  -يا أَيُّها الَّذِينَ آمَنُوا اتَّقُوا الله وكُونُواْ مَعَ الصَّادِقِين- عليكم بالصدق ، فإن #الصدق يهدي إلى البر ، وإن البر يهدي إلى #الجنة.
Sat Jul 11 09:05:19 PDT 2015 --  اللهم أصلح شباب المسلمين وفتياتهم، وأجمعهم على عمل الخير وخير العمل.
Sat Jul 11 09:55:51 PDT 2015 --  قال رسول الله صلى الله عليه وسلم للأشجِّ : ( إنَّ فيك خصلتين يحبهما الله: #الحلم والأناة ). والحلم أرفع من #العقل لأن الله تعالى تسمى به.
Fri Jul 10 05:13:06 PDT 2015 --  #قصيدة بعنوان : الفيصلي #سعود : http://goo.gl/1OGqGg  #سعود_الفيصل رحمه الله تعالى #سعود_الفيصل_في_ذمة_الله ..
Thu Jul 09 11:52:13 PDT 2015 --  لا حول ولا قوة إلا بالله رحم الله #سعود_الفيصل واسكنه الفردوس الأعلى ، وإنا لله وإنا إليه راجعون.
Wed Jul 08 19:13:12 PDT 2015 --  #مقولة جميله : إذا جاءك #المهموم .. #أنصت وإذا جاءك #المعتذر .. #إصفح وإذا قصدك #المحتاج .. #أنفق .
Wed Jul 08 13:36:12 PDT 2015 --  #مقال_قصير .. #العفو من شيم الكرام : http://goo.gl/dgI7Jx  #اللهم إنك عفو تحب العفو فأعفُ عنا ، وعن والدينا.
Tue Jul 07 20:02:11 PDT 2015 --  قال ابن القيم رحمه الله : لو كانت #ليلة_القدر بالسنة ليلة واحدة لقمت السنة حتى أدركها ، فما بالك بعشر ليال. -ليلة خير من ألف شهر- #رمضان ..
Tue Jul 07 18:43:49 PDT 2015 --  #صوت #طقطقة الأصابع http://goo.gl/uTngq4  ما هي #فوائد #الإبتسامة ؟ http://goo.gl/x7cbuQ  #الفرق بين net, com, org http://goo.gl/FSkCZF 
Tue Jul 07 13:11:48 PDT 2015 --  يقول طلق بن حبيب رحمه الله : إن #حقوق الله أعظم من أن يقوم بها العبد، فأصبحوا تائبين، وأمسوا تائبين.
Tue Jul 07 02:59:14 PDT 2015 --  استغفر الله العظيم ، سبحان الله ، الله اكبر ، لا اله الا الله.
Tue Jul 07 00:55:11 PDT 2015 --  وَاخْفِضْ لَهُمَا جَنَاحَ الذُّلِّ مِنَ الرَّحْمَةِ وَقُلْ رَبِّ ارْحَمْهُمَا كمَا رَبَّيَانِي صَغِيرًا. #ربنا ارحمهما واعفُ عنا وعنهما.
Mon Jul 06 05:11:54 PDT 2015 --  قال رسول الله صلى الله عليه وسلم : أَبشروا و بشروا من وراءكم أنه من شهد أن لا إله إلا اللهُ صادقا بها دخل الجنة.
Sun Jul 05 18:46:47 PDT 2015 --  لا إله إلا الله، والله أكبر، وسبحان الله، والحمد لله، ولا حول ولا قوة إلا بالله. انشر تؤجر إن شاء الله #حديث #رمضان pic.twitter.com/4Vmen9GAo8
Sun Jul 05 03:09:42 PDT 2015 --  سبحان الله ، والحمد لله لا إله إلا الله ، والله أكبر. • #فضائل الكلمات الأربع : http://goo.gl/Q9cPCY 
Sat Jul 04 18:56:41 PDT 2015 --  #فوائد #الزنجبيل: http://goo.gl/hkZD7Y  تعدد #ألوان #الألعاب النارية: http://goo.gl/adw63M  #شحن الهاتف بالواي فاي: http://goo.gl/EexzV9 
Sat Jul 04 16:22:17 PDT 2015 --  قال رسول الله صلى الله عليه وسلم : ألا إن الدنيا ملعونة ملعون ما فيها ، إلَّا #ذكر_الله وما والاه ، و #عالم ، أو #متعلم .
Sat Jul 04 11:45:35 PDT 2015 --  قال صلى الله عليه وسلم : قل : #اللهم اغفِرْ لي وارحمْني وعافِني وارزُقْني ويجمعُ أصابعَه إلا الإبهامَ فإنَّ هؤلاءِ تجمعُ لك دُنياك وآخرتَكَ.
