Thu Jul 23 03:16:39 PDT 2015 --  Defo does get emotional watching all these videos you guys have made for the 5 years ! You guys are too good to us :)
Wed Jul 22 04:48:12 PDT 2015 --  Make sure you're following us on @lovoo #thetrendpear
Wed Jul 22 00:53:13 PDT 2015 --  We have been putting up exclusive content on our @lovoo profile, and we will be doing a Q&A about #thetrendpear on it later today!
Tue Jul 21 13:12:32 PDT 2015 --  Congrats @Sia on your @MTV VMA award!! Love and miss you! http://www.mtv.com/ontv/vma/2015/best-female-video/ … pic.twitter.com/gnOQD3xI6l
Mon Jul 20 10:26:43 PDT 2015 --  Voting for @TeenChoiceFox #ChoiceDancer is almost over- only 5 days to go!!! Don't forget to vote!… https://instagram.com/p/5XcUoTPYGJ/ 
Mon Jul 20 00:17:05 PDT 2015 --  Both @Real_Liam_Payne & I want to live in a world where everyone has the chance to fulfill their dreams https://youtu.be/Hl3xgDNpF2o 
Mon Jul 20 00:02:01 PDT 2015 --  1 in 7 people live on less than £1 a day. This must change. That’s why @NiallOfficial & I made this film #action1D https://youtu.be/Hl3xgDNpF2o 
Sat Jul 18 20:57:37 PDT 2015 --  Check out our amazing friend @iamparson that just released a new songhttp://bit.ly/1Gozhi3 love it!!!
Sat Jul 18 13:41:01 PDT 2015 --  So much love been given !! And I love you all back very much x
Sat Jul 18 04:34:02 PDT 2015 --  Please follow @_mixerssalute_ please!
Sat Jul 18 04:30:30 PDT 2015 --  You should read my book "You wouldn't mess with a Child's Mind?" on #Wattpad http://w.tt/1CI4JgA  pic.twitter.com/PnOCZI8VC9
Sat Jul 18 00:11:34 PDT 2015 --  Latitude secret set ! https://instagram.com/p/5RMW6xkpM4/ 
Fri Jul 17 21:18:29 PDT 2015 --  pic.twitter.com/QjiqXMNXsv
Thu Jul 16 21:59:14 PDT 2015 --  me and elyse #webcamtoy pic.twitter.com/J0ogHc1KGB
Thu Jul 16 01:12:54 PDT 2015 --  What's happening
Wed Jul 15 23:32:06 PDT 2015 --  You look gorgeous in your new campaign @bellathorne Congrats!
Wed Jul 15 23:26:38 PDT 2015 --  Thanks for having us Seattle. You were amazing tonight. Hope you enjoyed the show. All the love
Wed Jul 15 05:44:13 PDT 2015 --  Too true https://twitter.com/brianajungwrth/status/600533638011191296 …
Tue Jul 14 02:55:41 PDT 2015 --  I have posted photos of my trip to Italy over on my FB page http://facebook.com/officialdcp . Watch the video diary of my trip https://www.youtube.com/watch?v=KSGC96duGT0 …
Sun Jul 12 19:56:21 PDT 2015 --  nothing better than a slumberparty with my boys pic.twitter.com/Jlzt7Elfdf
Sun Jul 12 21:20:32 PDT 2015 --  Wembley night #3 https://instagram.com/p/5EAzzGkpPS/ 
Sun Jul 12 14:32:13 PDT 2015 --  My #teenchoice nominee for #choicedancer is @maddieziegler pic.twitter.com/4Tx6h6kKu6
Sun Jul 12 06:38:40 PDT 2015 --  'A Day With Danielle' is a series of video diaries I'll film on my travels around the world. The first 1 is here :) https://www.youtube.com/watch?v=KSGC96duGT0 …
Sun Jul 12 02:31:21 PDT 2015 --  Siiiiiiiiiick show tonight ! Sick stadium toooo!!!
Sun Jul 12 02:27:35 PDT 2015 --  Worth the while !!
Sun Jul 12 00:27:53 PDT 2015 --  Thanks for following me @RICHYSQUIRREL
Sat Jul 11 02:30:47 PDT 2015 --  You should read "You wouldn't mess with a Child's Mind?" on #Wattpad http://w.tt/1RpKL0z  pic.twitter.com/gya5tMVfXM
Fri Jul 10 22:49:47 PDT 2015 --  Guess who's in a boot! @olivia_reel
Wed Jul 08 03:45:21 PDT 2015 --  A boot is not the answer!
Wed Jul 08 01:53:40 PDT 2015 --  I just joined @OneDirection's #Action1D movement by making this video - go get involved! #Action2015 https://action1d.onedirectionmusic.com/s/48930/ 
Wed Jul 08 01:42:18 PDT 2015 --  I'm part of #action1d are you? @onedirection
Sun Jul 05 21:39:17 PDT 2015 --  I'm bad at saying goodbye but good at saying hello!
Sat Jul 04 21:11:57 PDT 2015 --  It's 12am and I have to wake up at 6am! God
Sat Jul 04 12:04:44 PDT 2015 --  Sick of being treated like an absolute peice of crap
Mon Jun 29 19:32:42 PDT 2015 --  I wish it was that easy to talk to you!
Mon Jun 29 19:30:10 PDT 2015 --  Don't you understand that I can hear you and what your saying is upsetting!
Mon Jun 29 19:28:14 PDT 2015 --  I wouldn't lie about pain!
Mon Jun 29 19:26:51 PDT 2015 --  Your supposed to care so why don't you?!
Sun Jun 28 14:47:24 PDT 2015 --  Your killen me https://twitter.com/1dxnyla_/status/615274389626445824 …
Sat Jun 27 17:51:15 PDT 2015 --  rt to bless someone's timeline https://vine.co/v/e52aJbqdPnA 
Sat Jun 27 02:36:56 PDT 2015 --  Jet lag!!
Sat Jun 27 01:02:35 PDT 2015 --  rt if you understand !!1!1!1! #carrotnight pic.twitter.com/MFM8z95XPD
Wed Jun 24 04:59:14 PDT 2015 --  I'm ready for @NAIDC2015
Fri Jun 19 23:47:24 PDT 2015 --  Black Magic by Little Mix, found with @Shazam. Listen now: @LittleMix http://shz.am/t264485214 
Fri Jun 19 02:01:45 PDT 2015 --  Black Magic by Little Mix is ranked #13 in the #Shazam Australia chart come one guys keep shazaming http://www.shazam.com/track/264485214 
Wed Jun 17 06:30:42 PDT 2015 --  Can you show us some Irish dancing? I will send a video of me Irish dancing if I see @5SOS Irish dancing #ShazamTop20Ask5SOS
Tue Jun 16 17:35:43 PDT 2015 --  Hear and follow @Tirrux_official on #SoundCloud and twitter https://soundcloud.com/tirrux?utm_source=soundcloud&utm_campaign=share&utm_medium=twitter …
Tue Jun 16 06:37:11 PDT 2015 --  I've found a beautiful widget on LINE DECO! https://linedeco.campmobile.com/widgetpack/3234  pic.twitter.com/gySQYBSjun
Sun Jun 14 15:52:26 PDT 2015 --  everyone logging on rn #zayniscomingback pic.twitter.com/AMVacKWeYW
Sun Jun 14 06:53:24 PDT 2015 --  Check out Tirrux’s stream on SoundCloud - Hear the world’s sounds https://m.soundcloud.com/tirrux 
Sun Jun 14 06:04:57 PDT 2015 --  Doing the best hot pipe then fell on the last stamp! You've got to be kidding me!
Thu Jun 11 03:40:49 PDT 2015 --  I just watched a clip of @LittleMix new video 'Black Magic!' Check it out here > http://blippar.com/link/87460  - 20:40:8
Fri May 22 23:43:56 PDT 2015 --  Retweet if you would say yes pic.twitter.com/9zrfENAf7q
Mon Jun 01 04:00:50 PDT 2015 --  Missing the great advice given by @ceiliemilymoore
Mon Jun 01 03:49:11 PDT 2015 --  Constructive criticism gets old when there's too much Criticism from the same person
Fri May 29 12:52:54 PDT 2015 --  my laptop broke & I may lose everything on it & I have to send it away for them to repair it & I have to get a new one in the meantime!!
Fri May 29 12:53:42 PDT 2015 --  do you ever have a day where you're just like and your response to everything is
Fri May 29 12:55:00 PDT 2015 --  so I'm kinda like uhhhhhh what book stuff slash video stuff slash life stuff was on that laptop........? all of which might be gone......
Fri May 29 03:52:04 PDT 2015 --  Listening to @LittleMix ... Black magic is a tuuuuuunnneeee ! It's gona be huge !
