Wed Jul 01 03:03:03 PDT 2015 --  And another 3. #guitarstrummingstuart #minionvampire #guardminion https://instagram.com/p/4lud-sEFZw/ 
Tue Jun 30 20:57:33 PDT 2015 --  Hello there, Baby Janna Francesca! 🏽 The new addition to our family! Congrats couz @daenagurl01… https://instagram.com/p/4lEpBgkFW1/ 
Tue Jun 30 03:21:25 PDT 2015 --  #egyptianhulaminion and #lavashootingkevin https://instagram.com/p/4jLxqPkFdm/ 
Tue Jun 30 02:38:54 PDT 2015 --  I have my own dolphin and I love him! https://instagram.com/p/4jG6JuEFY4/ 
Sun Jun 28 06:49:02 PDT 2015 --  Simple dinner to celebrate our anniversary. Bawe tayo next year. #2ndweddinganniv https://instagram.com/p/4eZ8eEkFab/ 
Sun Jun 28 06:31:39 PDT 2015 --  Thank you Mama Tess and Papa Angel for this! Busog nanaman si paulpangs at #babypangs nito. https://instagram.com/p/4eX9LzkFWO/ 
Sat Jun 27 19:48:07 PDT 2015 --  Happy 2nd year wedding anniversary to us my love! I love you!! https://instagram.com/p/4dOTymEFbo/ 
Fri Jun 26 04:14:15 PDT 2015 --  Got my 1st minion! Thanks momma, buti nalang may mcdo na sa tabi ng laco. 🏼 #chattingbob… https://instagram.com/p/4Y-pH-EFc_/ 
Thu Jun 25 16:16:08 PDT 2015 --  Happy Birthday Kumareng Mars @reign_bitamor!! I love you! Thanks for the friendship. May God… https://instagram.com/p/4XsdaDkFTm/ 
Wed Jun 24 08:37:59 PDT 2015 --  Been craving for this for daaaays! Thanks momma for the pasalubong! I love you! #bicolangka… https://instagram.com/p/4UTO_EEFRa/ 
Tue Jun 23 16:01:19 PDT 2015 --  Thank you dear God for the gift of life! I am truly blessed! 🏼 #preggolife #14w5d https://instagram.com/p/4ShLEVEFbW/ 
Tue Jun 23 07:17:15 PDT 2015 --  Peanundesal + Enfamamamilk = Happy #babypangs #craaavings https://instagram.com/p/4RlMtlEFfw/ 
Mon Jun 22 01:37:55 PDT 2015 --  https://instagram.com/p/4OZkq4kFbr/ 
Thu Jun 18 20:46:53 PDT 2015 --  Finally got my own copy! Yey! Better start reading this na. #greyastoldbychristian #ibook… https://instagram.com/p/4GJ4ZGkFRD/ 
Tue Jun 16 15:39:46 PDT 2015 --  My favorite combi every morning. Kain po! #champandesal #enfamamamilk https://instagram.com/p/4AdJLbkFW7/ 
Tue Jun 16 07:35:39 PDT 2015 --  Heavy breathing... https://instagram.com/p/3_lvdDkFe7/ 
Tue Jun 16 03:46:42 PDT 2015 --  #StopYulin2015 https://instagram.com/p/3_LipFkFRp/ 
Mon Jun 15 16:06:29 PDT 2015 --  God is good all the time. 🏼 https://twitter.com/bobongquotes/status/610448482680242176 …
Mon Jun 15 16:05:38 PDT 2015 --  Dameng badvibes sa FB. Parang kelangan obligado lage syang magpost EVERYDAY! Every hour pa nga ata eh. Nakakairita!!
Mon Jun 15 04:13:50 PDT 2015 --  An apple a day keeps the sipon stop for awhile. Achooo! 🏼 #bawaluminomngmeds #preggyproblems https://instagram.com/p/38p2dJEFQb/ 
Mon Jun 15 03:55:59 PDT 2015 --  Hardest thing: Matindi ang sipon mo pero d ka pwede uminom ng gamot kase preggy ka. #tiisganda #ihatesakit
Sun Jun 14 22:03:38 PDT 2015 --  Been feeling your kicks every single day. Keep going baby. Momma loves it! #veryblessed… https://instagram.com/p/37_e-ekFe3/ 
Fri Jun 12 07:45:55 PDT 2015 --  Yey! Can't wait to watch again one of my favorite CN cartoons! Sana pati si Dexter's Lab at Johnny… https://instagram.com/p/31TvLXEFRi/ 
Fri Jun 05 15:43:33 PDT 2015 --  Back aches are killing me. Didn't sleep well last night.
Fri Jun 05 04:01:12 PDT 2015 --  Baby kicks at 12 weeks. #blessed #babypangs
Thu Jun 04 04:35:22 PDT 2015 --  Ganun ata talaga. https://instagram.com/p/3gXklIkFWJ/ 
Tue Jun 02 22:17:24 PDT 2015 --  My highschool favorite dessert! #creampuff #mabinibakeshop https://instagram.com/p/3dHhSOEFZ1/ 
Mon Jun 01 20:48:16 PDT 2015 --  🏼 https://instagram.com/p/3aYhq9kFWz/ 
Sat May 30 22:39:12 PDT 2015 --  Sunday is the best day of the week! Off to see a movie laterrr. https://instagram.com/p/3VboYekFfk/ 
Sat May 30 22:36:47 PDT 2015 --  Tahooooooo! https://instagram.com/p/3VbWoEEFfL/ 
Sat May 30 01:19:53 PDT 2015 --  Oh, hello my love, #littlepangs https://instagram.com/p/3TJOS5EFa8/ 
Fri May 29 04:27:57 PDT 2015 --  Amen. 🏼 https://instagram.com/p/3Q59BhkFaf/ 
