Tue Aug 25 19:58:20 PDT 2015 --  Min @InboxSCTV_ kata mama bahagia-in anak orang dpt pahala. Yuk undang @YujinMusik #MengenalmuYUJIN
Tue Aug 25 19:50:41 PDT 2015 --  Min @InboxSCTV_ yuk undang @YujinMusik penonton butuh yg segar-segar(?) Min. Mreka sudah pnya single #MengenalmuYUJIN arr. Lagu nya keren
Tue Aug 25 19:50:22 PDT 2015 --  Idola masa kini yg sudah punya bnyk fans *amiin*siapa lg kalo bukan @YujinMusik undang mereka ya min @InboxSCTV_ singlenya #MengenalmuYUJIN
Tue Aug 25 20:16:37 PDT 2015 --  Satu hastag kek gaiss jangan banyaak2 pusing
Tue Aug 25 19:20:51 PDT 2015 --  Ayok @YujinAddict kta serbu dlu @InboxSCTV_ dgn #MengenalmuYUJIN klo kenalirik kan Alhamdulillah hihih
Tue Aug 25 20:15:35 PDT 2015 --  Coba tiap hari selama seminggu ngebom stasiun televisi coba direspon apa engga
Tue Aug 25 17:51:19 PDT 2015 --  Pagi min @HitamPutihT7 undang @YujinMusik duo pendatang baru yg sudah banyak fans dan fans selalu setia dr 5th lalu #MengenalmuYUJIN
Tue Aug 25 16:17:20 PDT 2015 --  Turut berduka cita sedalam2nya kak Daan, semoga amal ibadah ayahnya diterima Allah SWT… (w/ Krisna) — https://path.com/p/30YbGH 
Tue Aug 25 09:43:10 PDT 2015 --  Ttp kuat, ttp bertahan, dan ttp semangat tmn2 krn ini baru awal, awal terciptanya cerita2 baru yg nnti kita akan liat sm2 #MengenalmuYUJIN
Tue Aug 25 09:57:48 PDT 2015 --  #MengenalmuYUJIN
Tue Aug 25 10:11:07 PDT 2015 --  Disaat bintang baru muncul dan langsung bersinar sndirinya.kita ttp setia dengan bintang yang akan kita buat bersinar #mengenalmuyujin
Tue Aug 25 08:46:00 PDT 2015 --  I've got 99 problems
Tue Aug 25 08:06:47 PDT 2015 --  Hahanjir kesalahan ngestalk fav sendiri
Tue Aug 25 08:05:14 PDT 2015 --  Aku juga ayang amuuh RT @riostevadit: Skli lg tq ya, aq syg kalian semua
Tue Aug 25 07:49:02 PDT 2015 --  #inviteYUJIN @YujinMusik di #IMS_NET dong mimin @IMS_NET pagi2 nonton berita sambil liat duo pendatang baru yang kece2 pasti makin asik :)
Tue Aug 25 07:41:20 PDT 2015 --  Mimin @IMS_NET ada niat list promo @YujinMusik gak? Duo baru jebolan dari ajang pencarian bakat nih dijamin seru #mengenalmuYUJIN #IMS_NET
Tue Aug 25 07:39:07 PDT 2015 --  Ngga tau deh, suara doi pas nyanyi thinking out loud di kompas bisa bgt menenangkan jiwa
Tue Aug 25 07:23:29 PDT 2015 --  I know ure so stronger more than this RT @noveliana_PPNP: anak cuma butuh sosok orang tua yg selalu dampingi langkah dia menuju sukses
Tue Aug 25 07:18:44 PDT 2015 --  Ngggg.. coba retweet yg mau @YujinMusik jdi bintang tamu di @rumpi_ttv ^^ #InviteYUJINatRumpi
Tue Aug 25 07:00:12 PDT 2015 --  Semoga kita ttp kompak gini, request ke seluruh stasiun tv (y) yeaayy #InviteYUJIN #InviteYUJINatRumpi #mengenalmuYUJIN
Tue Aug 25 06:52:53 PDT 2015 --  Walaupun idola kita ngk setenar idola org lain, tapi ada kebanggaan tersendiri bsa ngikutin perjalanan karirnya dari 0 hingga puncaknya nnti
Tue Aug 25 06:51:26 PDT 2015 --  "Ada sih tapi yagitudeh" yhaaa yha i know i know
Tue Aug 25 06:34:41 PDT 2015 --  Yokkk @YujinAddict bntu smasma promosiin @YujinMusik ke manamana yokk dgn #mengenalmuYUJIN semoga makin dikenal yak
Tue Aug 25 06:17:57 PDT 2015 --  Malam @IMS_NET ada niat list promo @YujinMusik gk? Duo baru jebolan dari ajang pencarian bakat nih dijamin seru #mengenalmuYUJIN"
Tue Aug 25 06:10:27 PDT 2015 --  Malam @HitamPutihT7 list promo @YujinMusik yukk mereka duo remaja jebolan dari idolacilik nih dan ada single lho #mengenalmuYUJIN
Tue Aug 25 05:54:29 PDT 2015 --  Malam @TonightShow_NET ada niat list promo @YujinMusik gk? Duo baru jebolan dari ajang pencarian bakat nih dijamin seru #mengenalmuYUJIN"
Tue Aug 25 05:57:46 PDT 2015 --  Kayak ultimatum nih RT @lilymault: Barang siapa yang ngundang @YujinMusik dijamin channel nya bakal naik rating wkwk
Tue Aug 25 05:52:22 PDT 2015 --  Oiya RT @indah_wish: hitam putih RT @stywdya09: Acara apalagi ini 
Tue Aug 25 05:51:53 PDT 2015 --  Gaiss minta @IMS_Net aja buat undang @YujinMusik biasanya fast respon buat promoin yg Fresh2!
Tue Aug 25 05:44:47 PDT 2015 --  Acara apalagi ini
Tue Aug 25 05:38:07 PDT 2015 --  Malam mimin2 @InboxSCTV_ mau niat ada list @YujinMusik gk? Mereka duo baru jebolan idolacilik nih dan ada singlenya jg loh #mengenalmuYUJIN
Tue Aug 25 05:35:37 PDT 2015 --  malam @dahSyatMusik mau promo @YujinMusik nih mereka membentuk duo dari jebolan idola cilik nih udah ada single jg lho #mengenalmuYUJIN :)
Tue Aug 25 05:29:51 PDT 2015 --  Sial, kebaca lagi RT @Puutri_Tyas: kak widya perlu pendamping(?) wkwk
Tue Aug 25 05:27:50 PDT 2015 --  #UndangAkuKeHatimu
Tue Aug 25 05:26:53 PDT 2015 --  Malam @rumpi_ttv undang @YujinMusik dong mereka duo baru lho dijamin rumpinya makin seru dan mereka sudah ada single #mengenalmuYUJIN
Tue Aug 25 05:24:45 PDT 2015 --  Malam @TheComment_NET undang @YujinMusik dong mereka duo baru lho jebolan idola cilik dan udh punya single #mengenalmuYUJIN :)
Tue Aug 25 05:17:04 PDT 2015 --  Up up #InviteYUJINatRumpi (?)
Tue Aug 25 05:21:29 PDT 2015 --  #5MonthWithoutZayn
Tue Aug 25 05:13:36 PDT 2015 --  Gabayang..di acara berita aja rio dicengin abis2an, apalagi di acara begituan... #InviteYUJINatRumpi
Tue Aug 25 05:07:32 PDT 2015 --  Aku belum siap kisah kita diungkap yo :') nanti kalo di layar tiba2 muncul foto kita gimana(?) #InviteYUJINatRumpi
Tue Aug 25 04:53:48 PDT 2015 --  min @rumpi_ttv undang duo pendatang baru @YujinMusik dong,, #InviteYUJINatRumpi
Tue Aug 25 05:01:47 PDT 2015 --  DAAANNN.. satu persatu YA mulai beraksi :') #InviteYUJINatRumpi @rumpi_ttv
Tue Aug 25 05:01:45 PDT 2015 --  @YujinMusik minn " @rumpi_ttv: Ayooooo.. mention ke rumpi siapa idola kalian yang sangat ditunggu-tunggu untuk ngobrol seru bersama Kak rose
Tue Aug 25 05:00:58 PDT 2015 --  Butuh yg segeeeeeerrrrr @YujinMusik https://twitter.com/rumpi_ttv/status/635690547714195456 …
Tue Aug 25 04:56:29 PDT 2015 --  Ayo jadiin TTI biar yujin ke rumahku(?) RT @Fitratun281: #WidyaBedaSendiri(?) https://twitter.com/stywdya09/status/636143535373225984 …
Tue Aug 25 04:50:12 PDT 2015 --  #UndangYujinAtRumahku
Tue Aug 25 04:49:02 PDT 2015 --  Ayooo YA bom mention ke @rumpi_ttv dengan HT #InviteYUJINatRumpi biar @YujinMusik di rumpiin sm kak Rose(?)
Tue Aug 25 04:46:30 PDT 2015 --  Min @rumpi_ttv undang duo pendatang baru ini dong @YujinMusik #InviteYUJINatrumpi
Tue Aug 25 04:45:26 PDT 2015 --  Terserah mau #InviteYUJINatRumpi atau #UndangYUJINatRumpi yg penting @YujinMusik duo cogan itu di undang di @rumpi_ttv
Tue Aug 25 04:41:00 PDT 2015 --  Jadikan TTI perbanyak RETWEET soalnya yg banyak retweet cepet masuk TTI, INGAT : 1 tweet 1 hastag #InviteYUJINatrumpi
Tue Aug 25 04:42:27 PDT 2015 --  Gitar gada kemistri sama rejeki, kemistrinya sama piano(?) RT @Fitratun281: Sampai skarang blum dapat chemistry dari pemain HSLS -,-
Tue Aug 25 04:41:01 PDT 2015 --  Siwil's time!
Tue Aug 25 03:43:10 PDT 2015 --  Telat ngakaknya phew RT @Nisaica_amalia: @stywdya09 bhaakk! :v gue ngakak
Tue Aug 25 03:42:45 PDT 2015 --  Ims apaan ka? RT @yennieHR15: Mention ke IMS net kali aja mau undang yujin, biasanya yg pendatang baru nongol disana
Tue Aug 25 01:29:35 PDT 2015 --  God is Good https://instagram.com/p/6zLfmvNpRA/ 
Tue Aug 25 00:59:51 PDT 2015 --  RT @LinAuliya: Bahagia itu sederhana, ketemu anak ic lovers di tempat kerja contohnyaa haha
Tue Aug 25 00:37:32 PDT 2015 --  Trus mereka jadi nyanyi2 lagu itu
Tue Aug 25 00:36:59 PDT 2015 --  "Aku sampe kirim sms buat alv dulu, pas alv keluar aku dukung rio wkwk" | "iya suaranya alus bgt" | "apalagi pas nyanyi simponi yg indah"
Tue Aug 25 00:34:46 PDT 2015 --  Pas beberapa temen kampus ngeflashback rioalv jaman icil gara2 w kasih mv yujin, kek ada manis2nya gitu di kuping
Sat Aug 22 17:31:25 PDT 2015 --  Selamat pagi Rise happy sunday yaw ttp semangat dan selalu bersyukur pic.twitter.com/YDxy3cRe0q
Mon Aug 24 19:51:53 PDT 2015 --  Terima kasih buat tmn2 yg sampai saat ini masih terus support kebanggaan kita semoga ttp sprti ini dan percaya saja indah pada waktunya :)
Mon Aug 24 19:48:09 PDT 2015 --  Dan yg terpenting jgn membandingkam krn Tuhan sudah memberikan seseorang dengan kelebihan masing2
Mon Aug 24 21:06:42 PDT 2015 --  Temen kelas seketika heboh pas w kirimin vc yujin, seketika flesbek bhakk
Mon Aug 24 20:45:29 PDT 2015 --  4 jam bersama pak piki...
Mon Aug 24 09:15:08 PDT 2015 --  Syukurlah, bobok yuk RT @ariyantinovaa: @stywdya09 Aku gak akan baper kok kak(?)
Mon Aug 24 09:01:00 PDT 2015 --  Yah nyautin deh dia... RT @ariyantinovaa: Tanpa sadar ray mau nimpuk ify(?) https://twitter.com/stywdya09/status/635826987492229120 …
Mon Aug 24 08:00:02 PDT 2015 --  @SiviaBlink @ifyalyssa @SCTV_ #HUTSCTV25 #SCTV25 pic.twitter.com/PT7RtSGwiE
Mon Aug 24 07:52:21 PDT 2015 --  Trus pas ditengah tawuran tiba2 ipi muncul berusaha melerai (kaya kenal alurnya)
Mon Aug 24 07:51:41 PDT 2015 --  Mana pas awal depan sendiri rioalv, udah kek mau mimpin pasukan tawuran, pasukan biru dan orens...
Mon Aug 24 07:31:34 PDT 2015 --  YA BIASA WAE KAK RT @ainuuun_: FIX GUE SETUJU PARAAAH!! https://twitter.com/stywdya09/status/635821056729743360 …
