Sat Aug 01 21:25:13 PDT 2015 --  ﺍﮔﺮ ﺁﭖ ﻭﺍﻗﻌﯽ ﺧﻮﺩ ﮐﻮ ﺍﻣﯿﺮ ﻣﺤﺴﻮﺱ ﮐﺮﻧﺎ ﭼﺎﮬﺘﮯ ﮨﯿﮟ ﺗﻮ ﺍﭘﻨﯽ ﺍﻥ ﭼﯿﺰﻭﮞ ﮐﻮ ﮔﻨﻨﺎ ﺷﺮﻭﻉ ﮐﺮﺩﯾﮟ ﺟﻮ ﭘﯿﺴﮯ ﺳﮯ ﻧﮩﯿﮟ ﺧﺮﯾﺪﯼ ﺟﺎ ﺳﮑﺘﯿﮟ
Thu Aug 06 16:42:14 PDT 2015 --  16 people followed me and 11 people unfollowed me // automatically checked by http://fllwrs.com 
Thu Aug 06 12:06:52 PDT 2015 --  Love saggitarious... F.R.A Oye stupid cupid.... ! *kiya tumhain wo nazar nae aya... so please...next time hit both of us *
Wed Aug 05 23:45:58 PDT 2015 --  Best of luck @imfarwa512 wish you good luck for your exams as well as your feuture
Wed Jul 08 11:06:35 PDT 2015 --  Being President of Pak during Lal Masjid Operation, #musharraf is being trialed, why these courts haven't summoned terrorist Abdul Aziz yet?
Wed Aug 05 09:02:33 PDT 2015 --  @SenFaisalAbidi سچے انسان صرف اللہ سے ڈرتے هیں اور کوئی ایسی حرکت هی نهیں کرتےجس سے شرمندہ هونا پڑےسوچ کربات کرنا سمجهدار انسان کاکام هوتاهے
Wed Aug 05 05:56:50 PDT 2015 --  @SenFaisalAbidi after so many years first true justice done by Supreme Court. We do need military Court & otherwise no way to get results.
Tue Aug 04 23:51:56 PDT 2015 --  Heloooo everyone
Mon Aug 03 11:00:33 PDT 2015 --  “At one point of your life you’re going to get heartbroken. It’s okay. Life goes on. Even the deepest wounds heal. I promise.”
Mon Aug 03 11:06:07 PDT 2015 --  Lovely henna pic.twitter.com/EDWbRMAeqb
Sun Aug 02 03:37:35 PDT 2015 --  صدا آباد رہیں دوست میرے ۔۔ #MyFriendsMyProud ...... pic.twitter.com/jVp7rlz96c
Sun Aug 02 13:56:49 PDT 2015 --  13 people followed me and 9 people unfollowed me // automatically checked by http://fllwrs.com 
Thu Jul 30 12:10:13 PDT 2015 --  Lake Braies in the Dolomites, Italy pic.twitter.com/HiMbcrcwIQ
Wed Jul 29 13:20:10 PDT 2015 --  26 people followed me and 19 people unfollowed me // automatically checked by http://fllwrs.com 
Wed Jul 29 03:58:45 PDT 2015 --  Eid è Sageer Mubarak Ho. Ajj Shiayat Ka QatiL Malik Ishaq or Gulam Rasool Apny Dono Beton Or 8 Sathion K Sath Wasil E Jahanam Hogya ha.
Wed Jul 29 03:43:37 PDT 2015 --  ساقا اور اِس قبیل کے لوگ صحابہ کے نام پر سب سے بڑا دھبہ سب سے بڑی گستاخی ہیں اِنکو دیکھ کر کوئی بھی صحابہ سے متنفر ہی ہو سکتا ہے #MalikIshaq
Wed Jul 29 03:46:25 PDT 2015 --  کیا اگلا نمبر میرا ہے؟ #MalikIshaq #MullahOmar pic.twitter.com/lkmmHwwvVY
Mon Jun 22 08:36:18 PDT 2015 --  Switzerland is a beauty pic.twitter.com/DLSxbKY0aQ
Sun Jul 26 06:24:44 PDT 2015 --  Any fool can criticize, condemn, and complain - and most fools do.
Mon Jul 27 11:40:20 PDT 2015 --  Way to Fairy Meadows pic.twitter.com/MyyLB1tJQO
Mon Jul 27 11:39:49 PDT 2015 --  Lovely Fairy Meadows... Nanga Parbat view pic.twitter.com/gX7MRl8b4y
Mon Jul 27 11:38:48 PDT 2015 --  Fairy Meadows ...Pakistan pic.twitter.com/KvMmh7eXXc
Sat Jul 25 15:19:13 PDT 2015 --  dozens of people followed me and dozens of people unfollowed me // automatically checked by http://fllwrs.com 
Thu Jul 23 10:27:58 PDT 2015 --  It's much beautiful/better than Switzerland! Because It's - Gulmarg #Kashmir - pic.twitter.com/rLNwmCAJY7
Wed Jul 22 14:45:43 PDT 2015 --  Aaozzo billahe minashaitan irajeeem
Wed Jul 22 12:23:04 PDT 2015 --  pic.twitter.com/iolJXZ7rBG
Tue Jul 21 23:23:37 PDT 2015 --  All things happen in God's perfect time.
Tue Jul 21 13:40:20 PDT 2015 --  dozens of people followed me and 24 people unfollowed me // automatically checked by http://fllwrs.com 
Sun Jul 19 06:31:22 PDT 2015 --  Be thankful for the bad things in life. They open your eyes to see the good things you weren't paying attention to before.
Mon Jul 20 20:30:53 PDT 2015 --  Don't chase people. Work hard and be yourself. Under these two principles, the right people will find their way into your life.
Tue Jul 21 06:58:01 PDT 2015 --  pic.twitter.com/TOT5BnhvFy
Sun Jul 19 02:30:52 PDT 2015 --  The worst person to be around is someone who complains about everything and appreciates nothing.
Sat Jul 18 22:22:27 PDT 2015 --  @StrategyDC Doing nice things for people is a choice which I try to practice every day. It's a lifestyle.
Sun Jul 19 01:50:05 PDT 2015 --  کوئی بھی فیصلہ کرتے وقت دوسرے پر کیا اثر پڑ سکتا ھے. احساس ضرور کیجئے
Sat Jul 18 22:25:43 PDT 2015 --  Sometimes it's just easier to fake a smile, than to explain why you're sad.
Wed Jul 15 10:08:55 PDT 2015 --  “I do not know what makes a writer, but it probably isn’t happiness.” — William Saroyan
Wed Jul 15 09:31:54 PDT 2015 --  ہم کسی اور کے دروازے پے جائیں کیونکر آسرا ہم کو اگر ہے خــــــــــــدایا تیرا
Tue Jul 14 17:10:44 PDT 2015 --  کوئی کتنا سخی دل ھے اس کا اندازہ ٹویٹر سے بخوبی لگایا جا سکتا ھے. جو مفت کا آر ٹی نہ دے سکے وہ اپنی جیب سے پیسے کیسے نکالے گا. #ہوشیار باش
