Thu Aug 13 19:22:53 PDT 2015 --  今から昼ごはん～ 懐かしいメンバーと久しぶりにプール来たけどやっぱ楽しい pic.twitter.com/oEZlRGXSDm
Fri Aug 14 04:20:10 PDT 2015 --  こやで まっすー「チャーハンご飯で」 チャーハンご飯とか初めて聞きました
Fri Aug 14 03:05:42 PDT 2015 --  iPhoneの人 絵文字、android側からしたら みえん(笑) 空白(笑) pic.twitter.com/XHAXwigFI6
Thu Aug 13 16:40:37 PDT 2015 --  しゅっぱーーーーつ pic.twitter.com/xh4MJxwQY2
Thu Aug 13 15:53:03 PDT 2015 --  今日の自分服とかめっちゃ気合い入っとる笑笑 てことで総社へ行ってきます
Thu Aug 13 06:06:33 PDT 2015 --  にこるんすっぴんのほうが 普通だった
Thu Aug 13 04:55:09 PDT 2015 --  明日の用意開始しよ
Thu Aug 13 04:37:18 PDT 2015 --  気比のみんなおつかれさまでした。 最終回、篠原くんの打席で観客から 篠原コールと手拍子。鳥肌たった。 最高のチームに出会えたことに感謝！ 応援できてよかった！ありがとう pic.twitter.com/VCzJz6i9x0
Thu Aug 13 01:12:17 PDT 2015 --  温泉とか行きたいな～ おんせんおんせん～ ほのかの湯でゆっくりしてこよかな～
Thu Aug 13 00:54:20 PDT 2015 --  あーだる いらいらするなー。（笑） どーしよっかなー
Wed Aug 12 23:25:02 PDT 2015 --  負けてしもうたか～～ ざんねん
Wed Aug 12 07:09:06 PDT 2015 --  ごめん、やり直す ソフトテニス してる子 ＲＴ ソフトテニス してた子 ＲＴ ソフトテニス した事ある ＲＴ 気になる子 フォローします！ pic.twitter.com/Q0wI6cVNpz
Wed Aug 12 18:22:20 PDT 2015 --  早稲田実業勝った勝った めっちゃええ試合やったなあー
Wed Aug 12 16:53:04 PDT 2015 --  代打ノリノリやん（笑）
Wed Aug 12 06:31:05 PDT 2015 --  ちょっと今からギター買ってくる
Wed Aug 12 06:25:49 PDT 2015 --  ギターしたらモテるんですか！ へえー！
Wed Aug 12 04:42:47 PDT 2015 --  寝る用意と家事さっさすませて 脱獄みんといけんわ
Wed Aug 12 03:04:00 PDT 2015 --  ねとった これはもう夜ねれんやつ
Tue Aug 11 18:00:44 PDT 2015 --  市役所なうひまなう あ、バイトうかった 場所はSecret
Tue Aug 11 06:49:22 PDT 2015 --  だからあ なんでえ さいきんん 通知があ こないんですかあ
Tue Aug 11 06:46:36 PDT 2015 --  さっさ家事終わらして ゆっくりしよっと
Tue Aug 11 00:44:32 PDT 2015 --  この場面で任されて結果を出すことの出来る代打の城間くんに拍手を送りたい🏻
Mon Aug 10 23:30:06 PDT 2015 --  進撃 ミニオン ボルト ジュラパ 全部みたひ
Mon Aug 10 16:45:33 PDT 2015 --  よし 各教科１日１０ページで進めていけば １週間で終わる はず。
Mon Aug 10 16:13:28 PDT 2015 --  １１時くらいまで課題しよーっと ３個くらい終わらしたいな～ がんばろーっと
Mon Aug 10 08:34:05 PDT 2015 --  ねますおやすみエイエンニ
Mon Aug 10 08:05:46 PDT 2015 --  平井しんじ誕生日おめでとんかつ pic.twitter.com/di00B1yFWu
Mon Aug 10 07:24:11 PDT 2015 --  くそ茶番わらける（爆笑）（爆笑）
Mon Aug 10 06:59:19 PDT 2015 --  はいきた暇な時間 だれかDMでもlineでもいいから 話そっぜー
Mon Aug 10 05:48:15 PDT 2015 --  しょーた性格わる ゆがんでやがる
Mon Aug 10 02:33:08 PDT 2015 --  13日 サントピア 急遽中止 14楽しみましょううう
Sun Aug 09 21:19:24 PDT 2015 --  俺の父さんが解説しとる うそです
Sun Aug 09 21:13:10 PDT 2015 --  学芸館のみつなりって人 なんかすげー(　˙-˙　)
Sun Aug 09 17:56:38 PDT 2015 --  すぎうらゆうとほんまきもい ほんまにへんたい まぢで家畜わどろであそんどきゃあええのに。 ひろやすもひろやすやけどな。笑
Sun Aug 09 17:55:29 PDT 2015 --  三宅ひなた相変わらずきもい うえきん相変わらずおもろい この違い
Sun Aug 09 17:50:20 PDT 2015 --  頭おかしんやねん言われとるでうえきん（爆笑）
Sun Aug 09 17:45:37 PDT 2015 --  なんなんうえきん（笑）
Sun Aug 09 07:13:28 PDT 2015 --  だれかまじ話そ(^o^) 寝れん暇(^o^)
Sun Aug 09 07:02:06 PDT 2015 --  がちで暇な感じです だれか ダレカ
Mon Jun 01 04:19:58 PDT 2015 --  昨日ゎまどかと先輩たちで竹島行ってけた(๑ゝω╹๑)ど楽しかった!!! 途中変な人にぼわれたリしたけど（笑） pic.twitter.com/9OhRTkne6r
Sun Aug 09 04:14:25 PDT 2015 --  今回の結構こわい
Sun Aug 09 02:39:48 PDT 2015 --  みずきがリア充なっとるが これは許せん
Sat Aug 08 22:41:10 PDT 2015 --  ４時から面接～ うかってほしいけど 受かってほしくない（笑）
Sat Aug 08 19:40:56 PDT 2015 --  13 14 サントピア 二日連続(^o^)…
Sat Aug 08 07:55:42 PDT 2015 --  くそ豚のせいで めんどいことなるくたばれ食われろ
Sat Aug 08 04:48:44 PDT 2015 --  @kashita_lv これは辛口で文句がいえない めっちゃ綺麗 ごめんけど100点です pic.twitter.com/u6wR3FY2R5
Sat Aug 08 04:43:33 PDT 2015 --  くるかわからんけど、ヘッダー画像採点俺もやってみます！！ とぷが採点のときと真逆で 辛口でやってみます！ 辛口だとこないよなぁ多分 #RTでやる pic.twitter.com/Qe4pP4Exdz
Sat Aug 08 02:12:21 PDT 2015 --  狩野のオシャレしりとりしてみたい
Fri Aug 07 17:56:31 PDT 2015 --  今日はなにしよう 課題しよう
Fri Aug 07 08:51:53 PDT 2015 --  寝れん暇 どうしよ
Fri Aug 07 08:07:20 PDT 2015 --  おれもとぷが採点したいな 明日してみよたのしみじゃ
Fri Aug 07 07:48:20 PDT 2015 --  ジュラパ終わったから ひまになった 誰か話そうぜい
Fri Aug 07 07:12:29 PDT 2015 --  くるか分からんけど トプ画採点あたしもしてみる！ まぁ飽きたらやめるけど！ お世辞なし！！ガチの本音でいきます！！ 絡みない人でも誰でもRT！ とりまみんなRTね🏻🏻 pic.twitter.com/jnID1fiilN
Fri Aug 07 05:13:06 PDT 2015 --  @kashita_lv 2人ともイケメンすぎな！ 中々のできや！ 96点！ pic.twitter.com/0yi04pCO0Z
Fri Aug 07 05:14:14 PDT 2015 --  ちゃんみつ楽しかったぞ またテニスするぞ pic.twitter.com/ECcSzexKy6
Fri Aug 07 04:57:11 PDT 2015 --  来ん気がするけど便乗する！w トプ画採点やってみる！ 初めてだから甘口 RTしてくれた人フォローします！ これくるんかな？w #RTした人にやる pic.twitter.com/Q1Cv1GwZH0
Fri Aug 07 04:30:44 PDT 2015 --  だる( ￣▽￣)
Fri Aug 07 01:02:26 PDT 2015 --  こどものビール飲んでますwww pic.twitter.com/CAJsNZoMxn
Fri Aug 07 00:58:40 PDT 2015 --  先ほど杉浦とおまち堂いってきた pic.twitter.com/qNm82gewhO
Thu Aug 06 23:48:24 PDT 2015 --  いま思ったけど岡輝って 結構ええかんじの場所じゃね、、 いろんなとこ近いし
Thu Aug 06 18:44:13 PDT 2015 --  あー 黒子のバスケ漫画買おっかな（笑）
