Wed Jun 17 21:55:54 PDT 2015 --  9 bodies. Bodies. That word feels so heavy and hollow and empty and weighty. They are gone. Killed before the cross with Bibles open. Jesus.
Wed Jun 17 19:56:44 PDT 2015 --  Hey @MickJagger, love that purple jacket! #StonesNashville pic.twitter.com/Oi96yfJilw
Wed Jun 17 18:33:43 PDT 2015 --  Now Joe Walsh joins @BradPaisley for "Life's Been Good." #StonesNashville pic.twitter.com/lZNu1LKOth
Wed Jun 17 16:23:06 PDT 2015 --  @stewartscreekhs 2015 grad Jy'lan Washington @swaghead23 signs with @LATechHoops #redzone pride!!! pic.twitter.com/6l4BkEnx8G
Wed Jun 17 11:50:21 PDT 2015 --  At the Nashville Parthenon pic.twitter.com/7kWZkZzhSH
Tue Jun 16 11:50:07 PDT 2015 --  Don Henley’s first solo album in 15 years is worth wait http://tnne.ws/1J1Yoyq  via @tennessean
Mon May 04 17:15:16 PDT 2015 --  Don't waste time with people who don’t value your gifts or what you have to offer. You are approved, accepted, and anointed.
Thu May 14 06:01:41 PDT 2015 --  Forget what somebody has spoken over you & start renewing your mind. Start believing that you’re redeemed & valuable.
Sat Jun 13 20:21:49 PDT 2015 --  Thoroughly enjoying this AFI tribute to @SteveMartinToGo #AFILife
Sat Jun 13 20:03:42 PDT 2015 --  That time you Opie goes on TV and says "dick" a dozen times in a 30 second interview clip. LOL! #AFILife
Fri Jun 12 09:12:17 PDT 2015 --  Heartfelt recount of Jim Ed Brown's hospital bedside induction into the @CountrymusicHOF. RIP JE http://billanderson.com/wired/june-11-2015/ … via @WhisperinBill
Thu Jun 11 18:06:52 PDT 2015 --  Love this! https://twitter.com/CNN/status/609162980723326977 …
Thu Jun 11 17:12:15 PDT 2015 --  @eaglesonline September 18th street date
Thu Jun 11 17:27:33 PDT 2015 --  Don Henley's album is finally coming out soon & it looks like the song I sang BGVs on made the cut! This made my day! pic.twitter.com/RQNzpwbXGM
Thu Jun 11 16:53:17 PDT 2015 --  YAY!!! I'm so happy! Thank you! https://twitter.com/julie_segovia/status/609145862934134784 …
Thu Jun 11 15:11:03 PDT 2015 --  RIP to The American Dream... #RIPDustyRhodes
Sat Jun 06 12:58:43 PDT 2015 --  "Love and Mercy" is outstanding. If you ever even remotely appreciated The Beach Boys & Brian Wilson, go see this. https://www.swarmapp.com/c/ixLVgSFUBsP 
Thu Jun 04 20:44:00 PDT 2015 --  Fyi, avoid I-24 E in Rutherford County. Bumper to bumper. #traffic #trafficjam
Thu Jun 04 17:40:04 PDT 2015 --  If you want to see your team completely shut down, that's the way to do it.
