Sat Mar 28 17:29:21 PDT 2015 --  Yo! I made a rap song in #AutoRap by #Smule, and it's awesome. Listen to it here: http://www.smule.com/p/354619704_114469190 …
Sat Mar 28 17:27:42 PDT 2015 --  Yo! I made a rap song in #AutoRap by #Smule, and it's awesome. Listen to it here: http://www.smule.com/p/354619704_114468894 …
Sat Mar 28 12:39:27 PDT 2015 --  Yo! I made a rap song in #AutoRap by #Smule, and it's awesome. Listen to it here: http://www.smule.com/p/354619704_114378268 …
Sat Mar 28 12:38:50 PDT 2015 --  Yo! I made a rap song in #AutoRap by #Smule, and it's awesome. Listen to it here: http://www.smule.com/p/354619704_114378136 …
Sat Mar 28 12:37:20 PDT 2015 --  Yo! I made a rap song in #AutoRap by #Smule, and it's awesome. Listen to it here: http://www.smule.com/p/354619704_114377628 …
Sat Mar 28 12:16:29 PDT 2015 --  Yo! I made a rap song in #AutoRap by #Smule, and it's awesome. Listen to it here: http://www.smule.com/p/354619704_114370620 …
Sat Mar 28 12:15:44 PDT 2015 --  Yo! I made a rap song in #AutoRap by #Smule, and it's awesome. Listen to it here: http://www.smule.com/p/354619704_114370356 …
Tue Mar 10 21:36:38 PDT 2015 --  Retweet this if you can spot a difference on this level of #WhatsTheDifference! http://WhatsTheDifferenceApp.com  pic.twitter.com/Bym64RhjLy
Fri Feb 27 17:12:35 PST 2015 --  Djhnv
Fri Feb 27 17:11:16 PST 2015 --  Little boy graving lots of pop lol these girls just starring at him lol https://vine.co/v/O2jWTlD0PFQ 
Fri Feb 20 04:34:45 PST 2015 --  Watching tv pic.twitter.com/JqaqwPseS8
