Thu Jan 20 10:12:32 PST 2011 --  @donadai http://bit.ly/h2Ul0F e olha o preço quase acertou =P http://bit.ly/gxSSkl
Thu Jan 20 10:10:51 PST 2011 --  @donadai placas da ATI (AMD) nao sao tao caras...bm mais em conta q as da Nvidia e atualmente bm melhores...o caro sao os monitores xP
Thu Jan 20 10:07:22 PST 2011 --  @donadai nao ter choque entre as duas e faz uma carcaça nova
Thu Jan 20 10:07:06 PST 2011 --  @donadai o jeito mais facil eh mod. =P pega a sua tv compra outra igual e tira a carcaça dela junta as duas passando uma borracha "u" so pra
Thu Jan 20 10:01:29 PST 2011 --  @donadai =} realmente muito bom xD imagina com uma tv boa e um filme bom tb hAUISDhasuiohioduah (inveja -.-') =P
Thu Jan 20 09:59:56 PST 2011 --  o.O imagina isso num filme em full hd 1080p xD RT @tecnoblog: Como é jogar Street Fighter 4 em 6000 x 1600 pixels - http://migre.me/3IdNE
Thu Jan 20 09:50:55 PST 2011 --  @lairao ow eu te passei um livro meu de estruturas de dados em C++? um grande meio roxo????
Thu Jan 20 06:50:36 PST 2011 --  o.O RT @kanashiki: bom dia pra kem não dormiu ainda! o/
Wed Jan 19 07:48:44 PST 2011 --  @lairao ahsuidfhauiosh tah pode deixar
Wed Jan 19 07:44:14 PST 2011 --  @lairao nao sei...quero levar ela xD vmos ver se vai dar
Wed Jan 19 07:42:29 PST 2011 --  @lairao hasuiohdauifhaodfu xD fevereiro to ai =P
Wed Jan 19 03:54:07 PST 2011 --  @lairao huhuhuh eh manolo boa sorte...eu por enqto so to lendo as apostilas da caelum e uma apostila do sebrae =P
Wed Jan 19 03:52:13 PST 2011 --  Bom dia meu povo o/
Tue Jan 18 12:22:22 PST 2011 --  LINK CORRETO! Continuem participando do sorteio, apenas RT esse tweet: http://twitter.com/#!/asusbr/statuses/27350066993827840
Tue Jan 18 10:36:35 PST 2011 --  Segundo o @TacioP da nada nao hAUISDHOAusdhauish RT @kanashiki: @RafaKeikun @LuizCarvalho e depois temos q tomar banho da mangueira :x
Tue Jan 18 10:04:40 PST 2011 --  hashfush RT @kanashiki: @RafaKeikun @LuizCarvalho qndo eu estiver aí.... podemos mexer, xerar, beber akele troço roxo
Tue Jan 18 10:03:11 PST 2011 --  @kanashiki eh rodamo @LuizCarvalho a japonêisia nao deixou nois mexer na birita hUIASHDUIOasdhuioAHSDUI
Tue Jan 18 10:01:19 PST 2011 --  @kanashiki a tikira amor hAIDHUSIODHIOAudh
Tue Jan 18 09:43:45 PST 2011 --  @lylavieira as mesmas coisas de sempre...nenhuma novidade
Mon Jan 17 05:36:43 PST 2011 --  @lylavieira e ai como q foi o show?
Mon Jan 17 05:29:12 PST 2011 --  @LuizCarvalho Bora marcar mesmo esse fds...vmo falar com o @TPicolli e o @cnsrd e marcar essa joça =P
Mon Jan 17 05:27:18 PST 2011 --  @LuizCarvalho serio? tenho um pouco lah em casa...era da @kanashiki ahdfuoashdfuiashi se quiser no prox milito a gente toma xD
Mon Jan 17 05:26:08 PST 2011 --  @LuizCarvalho O @TacioP eh qm conhece bm hasioufhaouifhadsiouf tomei uma dose pra nunca mais o.O
Mon Jan 17 05:22:13 PST 2011 --  ops....TiquiraRT @LuizCarvalho: Pinga de Mandioca kkkkk RT @LeoStrini: Tocantins investe na produção de álcool neutro extraído da mandioca
Mon Jan 17 05:21:30 PST 2011 --  Pinga de Mandioca kkkkk RT @LeoStrini: Tocantins investe na produção de álcool neutro extraído da mandioca
Thu Jan 13 05:26:25 PST 2011 --  ASUS apresenta linha de tablets na CES 2011 - Adrenaline On The Roads http://ontheroad.adrenaline.com.br/tecnologia/noticias/7137/asus-apresenta-linha-de-tablets-na-ces-2011.html …
Thu Jan 13 05:27:35 PST 2011 --  @kanashiki lol amor vc foi mais rapida q o blog da @asusbr mandando essa noticia =P
Fri Jan 07 11:05:26 PST 2011 --  #FF@taciop @kanashiki @lylavieira @pseudocoisa @Alan_Marduk @TPiccoli @RKanashiki @_gabiii @LuizCarvalho @duardoribeiro @barbarald
Thu Jan 06 06:16:34 PST 2011 --  @kanashiki =* jah sinto sua falta =/
Thu Jan 06 05:29:27 PST 2011 --  Sigam e RT @lojadoaltivo #sorteio em 14/01 Monitor/TV 24" Full HD Samsung #P2470HN http://kingo.to/oDQ
Fri Dec 24 19:54:21 PST 2010 --  Feliz natal a todos e boas festas xD
Tue Dec 21 11:36:42 PST 2010 --  @lylavieira todas as fases sao lindas xD o/
Tue Dec 21 11:33:53 PST 2010 --  @lylavieira @kanashiki hauisdhasuiodfhaisudfh tb prefiro ela sem barba =}
Tue Dec 21 11:31:25 PST 2010 --  @kanashiki moooooorrrrr o/
Mon Dec 20 09:19:48 PST 2010 --  @myeggs lol vc viu a imagem do site? o Mario e o controle do Xbox...algo esta errado nao? =P
