Sat Aug 22 10:41:45 PDT 2015 --  Con Felipao tienes un 10 que asiste además de un goleador no tan efectivo.
Sat Aug 22 10:37:37 PDT 2015 --  Se lo ve mejor físicamente a Felipe Caicedo, parece que se justifica su ausencia en la Copa América
Fri Aug 21 16:04:53 PDT 2015 --  Apuesto por una final River/Liga vs Emelec pic.twitter.com/5JfZbvvB08
Thu Aug 20 18:39:34 PDT 2015 --  Carlos Amarilla se cae durante el partido de #Emelec ante #LeonDeHuánuco: https://vine.co/v/eD5Tbp99WBe 
Thu Aug 20 13:09:24 PDT 2015 --  Pedro se quedó a un gol de los 100 con el Barça, se va con 99 goles y muchos títulos.
Thu Aug 20 09:22:18 PDT 2015 --  No hay control con las personas que se parquean en donde no deben y en doble espacio @uees_ec pic.twitter.com/VCkYGwl5ul
Thu Aug 20 06:49:18 PDT 2015 --  Se hace oficial el fichaje de Pedro por el Chelsea pic.twitter.com/TVcvO5Wrpy
Wed Aug 19 05:48:00 PDT 2015 --  Pedro al Chelsea, delantera letal la de Mou
Tue Aug 18 18:11:39 PDT 2015 --  Me gusta mucho uniforme de la U. Católica
Tue Aug 18 15:57:24 PDT 2015 --  El golazo de Marcelo que le da el trofeo Bernabéu al Real Madrid https://vine.co/v/ep9XgrlYFzi 
Tue Aug 18 15:56:21 PDT 2015 --  James y CR7, no dejan que Marcelo haga la entrevista https://vine.co/v/ep9XgrlYFzi 
Tue Aug 18 15:51:31 PDT 2015 --  Real Madrid campeón de la Copa Bernabéu pic.twitter.com/RgJ0YfLFMT
Tue Aug 18 15:15:06 PDT 2015 --  Una Copa amistoso, la hinchada pitaba CR7 y aplaude a Sneijder!!!?? Esto es inaceptable
Tue Aug 18 15:09:55 PDT 2015 --  La parada de Navas http://vine.co/v/ep9qFbOizaD 
Tue Aug 18 12:55:15 PDT 2015 --  pic.twitter.com/resDrnM3Jf
Tue Aug 18 13:01:04 PDT 2015 --  Rooney no podrá ser el mejor de su equipo ahora, pero lo pones en cualquier posición y rinde sin quejarse
Tue Aug 18 12:56:36 PDT 2015 --  Antonio Valencia ha perdido su puesto en el 11 del United, pero es una banca de primer nivel
Tue Aug 18 07:12:23 PDT 2015 --  #WelcomeToRealMadridMateoKovacic pic.twitter.com/cNX9xevJDw
Mon Aug 17 20:07:25 PDT 2015 --  Uno de los mejores delanteros que vi en mi vida, elegancia total y lo ganó todo. Feliz cumpleaños Henry pic.twitter.com/oVnOLLUvH9
Mon Aug 17 15:14:22 PDT 2015 --  Me critican por hablar del partido siendo del Madrid, se han olvidado que el azulgrana se hizo blanco y negro cuando la Juve nos eliminó
