Thu Jul 16 19:31:14 PDT 2015 --  A great relationship is about two things: First, appreciating the similarities and second, respecting the differences.
Thu Jul 16 14:31:41 PDT 2015 --  If someone sticks by your side through your worst times, they're the ones who deserve to be with you through your best times.
Thu Jul 16 18:55:33 PDT 2015 --  The struggle hate when this happens http://vine.co/v/ev1BtQ3E5pE 
Fri Jul 17 06:57:41 PDT 2015 --  #FBF to that time @Drake & @ItsBMcKnight brought the house down with their song "Side Pieces" at the 2014 #ESPYS: http://es.pn/1GqdPJD 
Fri Jul 17 06:31:56 PDT 2015 --  I know there's days when you just want to up and quit. But when it comes to lovin' me, baby you make it look so easy #EricChurch
Fri Jul 17 07:14:31 PDT 2015 --  "I can't wait to get out of this place." (Comes back to stay for life) #GrowingUpInASmallTown
Fri Jul 17 07:55:31 PDT 2015 --  The game has a cleanness. If you do a good job, the numbers say so. You don't have to ask anyone or play politics. #SandyKoufax
Thu Jul 16 20:19:51 PDT 2015 --  Thankful for all the many blessings in my life
Wed Jul 15 05:12:46 PDT 2015 --  Lionel Messi scores his first ever goal for Barcelona at the age of 17 (2005) pic.twitter.com/7cYAHARWoa
Tue Jul 14 14:52:08 PDT 2015 --  WTF HOW pic.twitter.com/fu49ow2orc
Tue Jul 14 14:06:27 PDT 2015 --  If leg day is this bad today, I don't wanna think about tomorrow @Z_Scoops15
Tue Jul 14 13:05:53 PDT 2015 --  "But only in their dreams can men be truly free. It was always thus and always thus will be." -Robin Williams
Tue Jul 14 11:51:51 PDT 2015 --  Yesterday, I was grateful. Tomorrow, I'll be thankful. But for now, I'm BLESSED. 🏻
Mon Jul 13 19:37:25 PDT 2015 --  I mus say that was a good #HomeRunDerby
Mon Jul 13 19:38:52 PDT 2015 --  2015 Dinger Derby Champion pic.twitter.com/fhmfb7NoTO
Mon Jul 13 19:39:24 PDT 2015 --  I actually liked the new format. Didnt think I would but very exciting!
Mon Jul 13 17:45:34 PDT 2015 --  The hype is real in CINCY
Mon Jul 13 19:34:56 PDT 2015 --  That was the most exciting Home Run Derby I have ever watched. Awesome format.
Mon Jul 13 19:34:57 PDT 2015 --  I thought this HR derby was gonna be whack...actually very exciting.
Mon Jul 13 19:35:21 PDT 2015 --  #THIS. A Derby for the ages! pic.twitter.com/aQ3Znzw7Vj
Mon Jul 13 19:35:30 PDT 2015 --  The Toddfather!
Mon Jul 13 19:35:16 PDT 2015 --  GO GET YOUR MONEY TODD!
Sun Jul 12 21:29:13 PDT 2015 --  True love is watching pageants with your girlfriend @hbsears13
Sun Jul 12 21:05:55 PDT 2015 --  Man am I gonna miss summer baseball
Fri Jul 10 10:57:08 PDT 2015 --  When I hear these songs I just: pic.twitter.com/wB6CogNcoY
Mon Jul 06 19:12:46 PDT 2015 --  "The Republicans can't win in 2016" pic.twitter.com/d6thefVG6z
Fri Jul 10 21:06:51 PDT 2015 --  Happy 5 Months to my best friend! @hbsears13
Fri Jul 10 09:55:19 PDT 2015 --  Kentucky retweet! #VoteCueto pic.twitter.com/Uq6vlbvwPD
Tue Jan 27 02:46:59 PST 2015 --  pic.twitter.com/8xfUgYLeRd
Fri Jul 10 08:22:33 PDT 2015 --  Happy Birthday Fuzz! See you soon! @BaileeONeill
Wed Jul 08 20:47:39 PDT 2015 --  Kinda wanna be president one day kinda dont..
Wed Jul 08 07:37:23 PDT 2015 --  Wake and rake.
Mon Jul 06 09:57:45 PDT 2015 --  Lmao https://vine.co/v/e1n6lXez3Az 
Mon Jul 06 06:37:45 PDT 2015 --  There's somebody out there prayin for what you have. Be thankful & grind!!
Sun Jul 05 16:18:44 PDT 2015 --  This isn't even fair.....
Sun Jul 05 16:17:43 PDT 2015 --  USA USA USA pic.twitter.com/gb3xE8RYOk
Sun Jul 05 16:21:19 PDT 2015 --  Japan right now pic.twitter.com/GuXkX2U83q
Sun Jul 05 16:23:12 PDT 2015 --  You're my best friend
Mon Jun 15 10:11:55 PDT 2015 --  I love SO hard. I will never ever change that. Love should never be mediocre. Whether it's a friend, family or soulmate.
Sun Jul 05 07:02:31 PDT 2015 --  Only 364 days until the 4th of July. Merica.
Sun Jul 05 06:47:06 PDT 2015 --  Bryce Harper used an American flag bat yesterday #toosweet pic.twitter.com/EKOFDAuqNr
Sun Jul 05 06:37:22 PDT 2015 --  Kentucky Wildcat fans getting their own dating site wow
Sun Jul 05 06:01:07 PDT 2015 --  https://twitter.com/cloydrivers/status/617470584860082176 …
Fri Jul 03 07:43:31 PDT 2015 --  When you catch your own son’s home run ball … #BaseballDads https://amp.twimg.com/v/54a263ab-ddd9-4d79-ada2-461485c2ac0a …
Fri Jul 03 07:47:02 PDT 2015 --  You don't get any medal for trying something, you get medals for results. #BillParcells
Fri Jul 03 07:13:22 PDT 2015 --  Two of my favorite things: Merica and Baseball
Fri Jul 03 07:12:39 PDT 2015 --  Really hope it's not raining in Lex... There's baseball to be played this holiday weekend!
Fri Jul 03 06:12:47 PDT 2015 --  This weather is awesome
Fri Jul 03 00:00:20 PDT 2015 --  Lionel Monkey pic.twitter.com/l2EfrcXfnN
Thu Jul 02 21:25:39 PDT 2015 --  Jk Han is a lot smarter than I am haha
Thu Jul 02 21:25:22 PDT 2015 --  SHE FINALLY ADMITTED IT pic.twitter.com/mqkgU6APHG
Thu Jul 02 10:16:55 PDT 2015 --  My Jeep would have transmission problems..
Wed Jul 01 19:35:27 PDT 2015 --  Why is @Z_Scoops15 not here watching #Hitch with me?!? #datedoctor #WillSmithTheLegend
Wed Jul 01 16:48:17 PDT 2015 --  #SquadGoals pic.twitter.com/Dqd2jburlQ
Wed Jul 01 16:41:08 PDT 2015 --  Clear Eyes, Full Hearts, Can't Lose.
Wed Jul 01 08:41:24 PDT 2015 --  When your boyfriend loves you pic.twitter.com/ik9WTEKXkl
Tue Jun 30 09:02:35 PDT 2015 --  John Calipari just made his thoughts on the Sacramento Kings job pretty clear. https://twitter.com/UKCoachCalipari/status/615911401597448193 …
Mon Jun 29 20:01:29 PDT 2015 --  It's crazy to me how so many people have lost sight of how a relationship works.
Sun Jun 28 20:17:53 PDT 2015 --  Quality over quantity.
Thu Jun 25 19:01:23 PDT 2015 --  If she loves Jesus and George Strait, she's a keeper
Tue Jun 16 13:33:32 PDT 2015 --  BRUH pic.twitter.com/5gYIwfreDt
Thu Jun 25 12:30:22 PDT 2015 --  When grandpa decides to teach the youth a lesson pic.twitter.com/KhcEkdqkOk
Fri Jun 26 09:07:18 PDT 2015 --  Don't worry America, we still have baseball!
Fri Jun 26 08:26:07 PDT 2015 --  One man. One woman.
Fri Jun 26 08:24:21 PDT 2015 --  One man. One woman.
Fri Jun 26 08:17:06 PDT 2015 --  One man. One woman.
Fri Jun 26 07:35:50 PDT 2015 --  It becomes an addiction pic.twitter.com/M8NVHfIDVt
Thu Jun 25 23:56:42 PDT 2015 --  Bo Jackson was not from this planet.. https://vine.co/v/M3KHvpBlFHn 
Thu Jun 25 21:00:24 PDT 2015 --  It’s a longshot, baby, I know it’s true, but if anyone can make it, I’m bettin’ on me and you. -Keith Urban
Thu Jun 25 20:38:39 PDT 2015 --  Phoenix, Kentucky.
Thu Jun 25 09:43:03 PDT 2015 --  Best day of my life. pic.twitter.com/yoODfmdJyc
Thu Jun 25 06:53:49 PDT 2015 --  If you build it, he will come. -Field of Dreams pic.twitter.com/zb7ccfaTJS
Fri Jun 19 11:04:58 PDT 2015 --  Darth Maul is half the man he used to be
Wed Jun 24 21:14:09 PDT 2015 --  That may have been a worse coaching call than Pete Carrol passing on the goal line.. #smh
Wed Jun 24 21:13:43 PDT 2015 --  What kind of pinch-hit call was that?
Sun May 17 18:39:36 PDT 2015 --  Smart girls... pic.twitter.com/9EMXxda9tO
Wed Jun 24 15:48:37 PDT 2015 --  I'm sorry CP3 pic.twitter.com/f3JNIBUjgN
Wed Jun 24 11:49:22 PDT 2015 --  Jeep waves all day every day #JeepLife I I I I I I I
Mon Jun 22 11:02:38 PDT 2015 --  Jeep waves https://vine.co/v/e5mE9MJaUth 
Wed Jun 24 07:45:07 PDT 2015 --  A young @Indians fan wasn't afraid to playfully talk it up w/ @MiguelCabrera. So the @tigers star made the kid's day. http://es.pn/1FB74Eo 
Wed Jun 24 07:57:40 PDT 2015 --  Me as a father. @MLB #WebGem https://vine.co/v/e5wpVFbWZFT 
Wed Jun 24 08:03:22 PDT 2015 --  I'm your new catcher and you just got lesson number one: don't think, it can only hurt the ballclub. -Bull Durham pic.twitter.com/Vk9nv0mNCy
Wed Jun 24 07:19:21 PDT 2015 --  "They give you a round bat and a round ball. And they tell you to hit it square..." #BaseballLogic
Tue Jun 23 10:57:28 PDT 2015 --  . @j_gaines20 getting interviewed by @WYMT's best @Z_Scoops15 and @Bmill_13 pic.twitter.com/KhMEMfGCVX
Tue Jun 23 07:13:08 PDT 2015 --  Happy Birthday to my dude @jordan_amburgey !! Have a good one bro!
Mon Jun 22 20:07:57 PDT 2015 --  Life is so good
Sun Dec 14 11:46:48 PST 2014 --  You have to dunk on your kids, it builds character... pic.twitter.com/ohxfvfpd6a
Mon Jun 22 00:00:27 PDT 2015 --  got like 3 real friends... im okay with that
Sun Jun 21 15:41:25 PDT 2015 --  Ready to be reunited with my Brotha @Z_Scoops15 tonight..been too long pic.twitter.com/aUjLX1ZNBv
Sun Jun 21 14:57:29 PDT 2015 --  I've always wanted to hit a homerun for my dad on Father's Day. That one's for you pops! #dinger
Sun Jun 21 09:14:21 PDT 2015 --  Retweet if your dad introduced you to the greatest game pic.twitter.com/vcSWmidMMd
Sun Jun 21 08:40:56 PDT 2015 --  Dale Jr. gettin married, buh! #DaleYeah
Sun Jun 21 08:30:21 PDT 2015 --  Merica. pic.twitter.com/FGQdotLWkh
Sun Jun 21 08:18:25 PDT 2015 --  Happy Father's Day pic.twitter.com/3vUkogFkfR
Sun Jun 21 08:30:43 PDT 2015 --  It’s the little things in life, that mean the most. -Zac Brown Band
Sun Jun 21 08:06:44 PDT 2015 --  It's tough knowing I played my last game for you this month. But just know I wouldnt be goin where I am w/o you. #HFD pic.twitter.com/tzbEMb7lg8
Sat Jun 20 21:49:54 PDT 2015 --  He's given up one hit in his past two starts...cmon
Sat Jun 20 21:48:10 PDT 2015 --  Why is everyone hating on Scherzer for hitting the guy with 2 outs in the 9th?! This man just threw a NO-HITTER #nono
Mon May 25 15:13:56 PDT 2015 --  This is genius pic.twitter.com/LxpXHTuNBH
Thu May 28 19:00:13 PDT 2015 --  Bat flip of the century pic.twitter.com/E8q1MKR4sA
