Sat Jun 06 13:16:04 PDT 2015 --  Liverpool fans acting like Suarez is on loan to Barcelona.
Sat Jun 06 13:10:34 PDT 2015 --  2 - Morata is the second player to score in both semi-final legs and the final in a single #UCL season after Robben in 2012/13. Occasion.
Sat Jun 06 13:17:48 PDT 2015 --  RIP Juve... its game over #UCLfinal NOW the 4th official wants to get involved. You had the whole champions league fella!
Sat Jun 06 13:10:03 PDT 2015 --  The cops who shot and killed 17-year-old Jessie Hernandez will not face charges... http://bit.ly/1T27bDh  pic.twitter.com/gvQDZ2Nzsu
Thu Jun 04 20:36:25 PDT 2015 --  Here is a visual representation of the word "sorry". http://twitter.com/TheFunnyTeens/status/604122748835774464/photo/1pic.twitter.com/HaEICBapKt 
Sat Jun 06 13:01:52 PDT 2015 --  Moraaatata #UCLfinal #toomuchvine
Sat Jun 06 13:00:59 PDT 2015 --  Game on! #UCLfinal How was that for luck! What a back heal! Lucky break
Mon Jun 01 13:21:40 PDT 2015 --  #bleh who needs #BraaiMonday anyways! Home made Tuna burgers #nomnom https://instagram.com/p/3ZlaoerX3L/ 
Mon Jun 01 06:47:26 PDT 2015 --  The worst about today, worse than the fact I had my first exam... and pretty much all Mondays... for… https://instagram.com/p/3Y4TM4rXzT/ 
Mon Jun 01 05:00:20 PDT 2015 --  @Sloodja @bushfirefest Good times and they deserve an entry in the hall of fame. The Barn was on fire. #MTNBushfire2015
Sat May 30 11:50:42 PDT 2015 --  Im in tears http://vine.co/v/ehz5tuxTgxH 
Sat May 30 12:07:48 PDT 2015 --  . @Arsenal are the winners of the 2015 FA Cup! pic.twitter.com/ZoItki8qHj
Sat May 30 11:45:09 PDT 2015 --  STARTED FROM THE BOTTOM pic.twitter.com/OYT8YpOerS
Sat May 30 11:42:34 PDT 2015 --  The Arsenal Way. Well deserved. #AFCLive pic.twitter.com/yQsK7Ejcw6
Sat May 30 11:25:09 PDT 2015 --  Oh no, here come the awkward Wenger celebrations! #COYG #Celebrations #Backtoback #Goonerforlife
Sat May 30 11:23:14 PDT 2015 --  6 - Arsene Wenger is only the second manager to win six FA Cups, joining Aston Villa's George Ramsay. Professor.
Sat May 30 11:23:16 PDT 2015 --  VIDEO Arsenal fans and players celebrate their resounding #FACupFinal victory over #AVFC. pic.twitter.com/Ow2BhlAiMq
Sat May 30 11:23:24 PDT 2015 --  12 - Arsenal are the first team to ever win the FA Cup 12 times. Glory.
Sat May 30 11:21:33 PDT 2015 --  AND THERE'S THE FINAL WHISTLE! #FACupFinal #WeAreArsenal pic.twitter.com/HmDgGmVrfK
Sat May 30 11:21:22 PDT 2015 --  GAME... SET... AND MATCH!!! Let' dance till the time runs out! @Arsenal #FACupFinal #Impactsubs #COYG
Sat May 30 11:15:09 PDT 2015 --  Metal Detector - pic.twitter.com/ZNxtZs3O2s
Sat May 30 11:11:59 PDT 2015 --  Stay classy, Villa fans… #AFCLive #AVFC #AFC pic.twitter.com/o0WINnGbS5
Sat May 30 11:11:16 PDT 2015 --  Aston Villa fans are going to blame the ref... only 3 calls have gone against Villa fans. The rest were all valid. #FACupFinal
Sat May 30 11:00:28 PDT 2015 --  Tim Sherwood only faking for camera deep down inside he's celebrating and will be at parade. pic.twitter.com/19x44ookfC
Sat May 30 10:52:55 PDT 2015 --  https://vine.co/v/OEXFUdlUnOx 
Sat May 30 10:52:52 PDT 2015 --  You know it's real when the commentators pull out the ugly stats. "Aston Villa is yet to score a goal against the gunners this SEASON" #bruh
Sat May 30 10:51:19 PDT 2015 --  11 - Arsenal have scored 11 times against Villa this season and are yet to concede. Domination.
Sat May 30 10:51:19 PDT 2015 --  GET IN THERE!!!! @mertesacker on the scoresheet. Rare and appreciated! #SkippermySkipper #COYG #FACupFinal
Sat May 30 10:50:05 PDT 2015 --  Arsenal just playing with their food now. Villa on toast.
Sat May 30 10:38:31 PDT 2015 --  FINALLY GET'S IT! HIS FAVOURITE MOVE!!! He scores when he wants, he scores when he waaaants, @Alexis_Sanchez, he scores when he wants! #COYG
Sat May 30 10:21:53 PDT 2015 --  Walcott (By Clive Rose) pic.twitter.com/nuO8i3Gx58
Sat May 30 10:34:16 PDT 2015 --  No letting up ke @Arsenal just because we are ahead, only half the job is done!
Sat May 30 10:22:46 PDT 2015 --  Here's the first half in stats for you people who are into that kind of thing... #AFCLive pic.twitter.com/GAoeAZ2aZB
Sat May 30 10:16:48 PDT 2015 --  36 - Alexis Sánchez has been involved in 36 goals this season for Arsenal (all comps), a club-high since Van Persie in 2011/12 (46). Class.
Sat May 30 10:18:14 PDT 2015 --  HALF TIME: Arsenal 1-0 Villa #FACupFinal #COYG #AFCLive pic.twitter.com/xzzUd83YMG
Sat May 30 10:17:18 PDT 2015 --  One nil, to the @Arsenal!! One nil, to the Arsenal!! One nil to the Arsenal, one nil to the Arsenal #FACupFinal #COYG
Sat May 30 09:39:48 PDT 2015 --  #COYG (By Michael Regan) pic.twitter.com/WAmfkKJudj
Sat May 30 10:13:05 PDT 2015 --  Villa fans right now... #AFCLive #FACup pic.twitter.com/Vqv5MyNl6u
Sat May 30 10:11:46 PDT 2015 --  GOOOOOOOOOOOOOOOLLLLLLOOOOOOOOOOOOOOOOOOOOOOOOOOOOO @theowalcott #FACupFinal
Sat May 30 09:56:56 PDT 2015 --  Eish, no big man for @HectorBellerin to aim for in the middle. @_OlivierGiroud_ wouldn't have scored though lol #COYG
Sat May 30 09:54:48 PDT 2015 --  Haaaaaayi man @theowalcott!!! How did he miss? #FACupFinal #COYG
Sat May 30 09:25:11 PDT 2015 --  And it's @Arsenal, ARSENAL FC!!! We by far the greatest team, the world has ever seen!!! #COYG
Sat May 30 09:22:37 PDT 2015 --  Here we go!!! For the record! #FACupFinal #COYG
Sat May 30 08:59:50 PDT 2015 --  This match is getting me really pumped up! @Arsenal all the best! #COYG
Sun May 24 06:54:27 PDT 2015 --  How can Rosburg even be celebrating! #YUCK Crappy sportmanship from @MercedesBenz
Sun May 24 06:42:24 PDT 2015 --  Reset... here we go again! Can @LewisHamilton regain the lead on thoae fresh tyres?
Sun May 24 06:40:22 PDT 2015 --  What an epic flop by team @MercedesBenz, why don't you guys want @LewisHamilton to win? Tobbed by his own @F1 team. Yhooo
