Sun Jul 05 14:07:50 PDT 2015 --  كلما أستغفرت الله إنحلتّ عنك عُقده من عُقد همكّ وأنهلت على قلبِك النِعم.
Sat Jul 04 14:30:53 PDT 2015 --  الحمد الله الحين ارتحت 🏻🏻🏻
Fri Jul 03 22:34:30 PDT 2015 --  I don't need people in my life that are all about negativity and nagging all the time. I need people with ambitions, goals, passion.
Sat Jul 04 03:07:00 PDT 2015 --  ليس هناك شخص يستطيع ان يسعدك اكثر من نفسك،لذلك ثقتك بنفسك هى اهم مصادر سعادتك
Fri Jul 03 14:59:41 PDT 2015 --  الحمدلله. pic.twitter.com/A9kBG5gbg3
Fri Jul 03 05:43:53 PDT 2015 --  pic.twitter.com/UwsYShxPxX
Wed Jul 01 16:48:46 PDT 2015 --  اللَّهُمَّ كُن لإخواننا في #غزة: عونًا ومعينًا، وحافظًا وناصرًا، وأمينًا
Thu Jul 02 14:19:51 PDT 2015 --  بالفعل الأخ موسى رغم الاعاقة البصرية إلا أنه نحّات متميز، حيث يصنع مشغولات فخارية غاية في الإبداع والإتقان . @zadg4 pic.twitter.com/UUHbdrGIv6
Thu Jul 02 14:09:35 PDT 2015 --  اللهم إنا نعوذ بك من زوال نعمتك.
Wed Jul 01 19:07:54 PDT 2015 --  يارب احسن خاتمتنا وتوفنا وانت راض عنا اللهم يسر حسابنا اللهم ادخلنا الجنة من غير حساب 🏻اللهم امين pic.twitter.com/QQLUZJ8cbg
Tue Jun 30 14:25:43 PDT 2015 --  الان يمكنك ايضا التبرع لكسوة العيد و افطار صائم و كفالة اسرة و كفالة طالب و الصدقة في عمان افنيوز مول… https://instagram.com/p/4kFgzLt3qm/ 
Wed Jul 01 18:50:34 PDT 2015 --  شتقتلها اختي
Wed Jul 01 18:39:51 PDT 2015 --  الحمد الله الف الحمد الله" الحمد لله الذي عافانا مما ابتلى به كثير من الناس وفضلنا على كثير من خلقه تفضيلا"
Wed Jul 01 14:25:05 PDT 2015 --  أخلاق الإنسان هو العطر الوحيد الذي لا تزول رائحته حتى و إن رحل من الدنيا.
Wed Jul 01 09:42:39 PDT 2015 --  صعب تفرض نفسك على احد حتى لو كنت ماتقدر تكمل يومك بدونه بس الأهم تبعد اذا ما لقيت لك قيمة عنده ،عزة نفسك فوق كل شيء
Tue Jun 30 17:12:52 PDT 2015 --  اللهم أكتب لي تغييّراً للأفضل في نفسي و حالي و حقق لي ما اتمنى ، يارب اني استودعتك كل ما اخشى فقدانه.
Tue Jun 30 19:25:58 PDT 2015 --  الله يصبرني..
Tue Jun 30 13:55:39 PDT 2015 --  لازم اجرب pic.twitter.com/X1aZCFrxxy
Tue Jun 30 13:17:14 PDT 2015 --  بعض الاماكن ذكرى تهمس لنا بصمت pic.twitter.com/grN0rSWHz8
Tue Jun 30 00:37:19 PDT 2015 --  Today's #weather forecast for #Muscat. pic.twitter.com/1GV1zJx4Wr
Mon Jun 29 15:00:47 PDT 2015 --  بعض القرارات : رضا للعَقل وألم للقلب
Mon Jun 29 14:54:14 PDT 2015 --  تفهم الحياه صح لما تبتعد عن كل شخص ينكد عليك مهما كانت مكانته عندك🏻.
Mon Jun 29 14:42:38 PDT 2015 --  الى اي مدى تحكمنا الذكريات ؟؟
Sat Jun 27 11:08:50 PDT 2015 --  قد تدعوك كمية الإحباط الموجودة من حولك للهروب من واقعك بحثا عن الخلاص.. ولن تجد الخلاص في شيء مثل الحرية .. وتلك لا يملك ثمنها إلا القلّة
