Thu Aug 13 20:25:47 PDT 2015 --  My Tweets are worth $492.48, according to Tweet Buzz Values. Click to see how much yours are worth free at: http://twitvaluesjeet.com 
Thu Aug 13 18:22:03 PDT 2015 --  . @AmandaDilks well, there ARE worse things to find in a purse but this is #TeenNickTop10 pic.twitter.com/Stp8tOqZrC
Thu Aug 13 20:16:27 PDT 2015 --  Ending our FaceTimes are always awkward It was fun though! Finally get to FaceTime her my morning her night yay!!! @jaydesanford
Thu Aug 13 16:48:53 PDT 2015 --  But... What do I do if we hit 10 million views?? #GLG #musicvideo
Thu Aug 13 18:55:34 PDT 2015 --  @HayleyKiyoko @ginamarie762 short movie/movie 🏻
Thu Aug 13 13:32:10 PDT 2015 --  I feel....I feel....i feel... pic.twitter.com/ipMPIIw6su
Thu Aug 13 18:23:01 PDT 2015 --  People these days...
Thu Aug 13 15:50:08 PDT 2015 --  @ginamarie762 @SarahFisher28 I totally feel you, but hey we can do it
Thu Aug 13 14:57:48 PDT 2015 --  What is Sarah&#039;s lie? http://talknerdywithus.com/2015/08/13/exclusive-interview-with-sarah-fisher/ …
Thu Aug 13 14:13:40 PDT 2015 --  Interview w/ @SarahFisher28 http://fb.me/3MU8zUpGS . We discuss @Degrassi @FullOutMovie @LostAfterDark & FRIENDS. #girlcode #Girlcrush
Thu Aug 13 13:32:25 PDT 2015 --  No one ever encourages me to meet @SarahFisher28 & @jaydesanford . But then like they do to literally everyone else...
Sun Aug 09 15:45:41 PDT 2015 --  I love boyfriends who you can just lay around all day with, eating pizza, watching Netflix… thanks for always being there, couch.
Thu Aug 13 09:13:28 PDT 2015 --  The amount of stuff I haven't done this summer because I've been sitting on my couch is astounding
Thu Aug 13 12:52:08 PDT 2015 --  I never thought about that. Deep... but for real though, Vince as a hero? https://twitter.com/BARON_VON_BLACK/status/630524657339338752 …
Thu Aug 13 12:55:49 PDT 2015 --  Photo: http://tmblr.co/ZXmigx1rwXhSB 
Thu Aug 13 13:03:47 PDT 2015 --  i think my therapist saw my previous lockscreen which was gracevas on the beach yikes !!!!!!
Thu Aug 13 12:34:59 PDT 2015 --  Who do you think you are, running around leaving scars, collecting your jar of hearts, and tearing love apart. ~Jar Of Hearts by Christina P
Thu Aug 13 10:50:21 PDT 2015 --  We will be interviewing @melindashankar next Monday! Tweet us your questions.
Mon Aug 10 15:20:30 PDT 2015 --  One day i'll go to Toronto, i'm still waiting for that day...
Wed Aug 12 00:47:32 PDT 2015 --  @TalkNerdyWithUs @SarahFisher28 Is it a dream of you, to tour around the world?
Wed Aug 12 21:51:53 PDT 2015 --  Is it just me or in the middle of the night whenever I go to the bathroom I run because I'm scared like Bloody Mary's there or something?
Wed Aug 12 20:54:08 PDT 2015 --  But I told someone I would video tape it....
Wed Aug 12 20:53:46 PDT 2015 --  I really want to see the storing stars tonight at 4 am and make a wish but I already know they will come true and I'm soooo tired.
Wed Aug 12 20:16:17 PDT 2015 --  "They try to pick me up, I'm turning them down, don't mean to sound rude but we don't want you around." ~Girl Code by @SarahFisher28
Wed Aug 12 19:55:36 PDT 2015 --  Sorryy! I lied!! You will see my interview with @TalkNerdyWithUs this Friday!! :D Thank you for all your questions ;)
Wed Aug 12 17:30:49 PDT 2015 --  @FazeMagazine i wanna see @SarahFisher28 perform
Wed Aug 12 20:06:07 PDT 2015 --  Omg stopiii have the nerdy girl crush!! https://twitter.com/talknerdywithus/status/631563678790381568 …
Wed Aug 12 13:31:29 PDT 2015 --  Absolutely adore @SarahFisher28!! Can't wait to share our exclusive interview with y'all. We have a huge girl crush now.
Wed Aug 12 20:01:24 PDT 2015 --  Just watched the end of season 3 of glee where Finn lets go of Rachel again.. I'm in tears.
Wed Aug 12 17:51:25 PDT 2015 --  I'm so bored.
Wed Aug 12 17:23:00 PDT 2015 --  [My Best Fans] @Sonerrill @stampycatlolz @LiamZahGod @ginamarie762 @PrestlanFTW via http://anatweet.com/bestFan  pic.twitter.com/qLhQWZgLil
Wed Aug 12 15:37:38 PDT 2015 --  Is it weird I wanna meet @LaneDorsey ? Maybe we can do a photo shoot together Hahahahahahahah in my dreams.
Tue Aug 11 18:27:37 PDT 2015 --  "I’d pick Degrassi over an actual school any day." - @lukebilyk1 from @PostCity
Wed Aug 12 13:46:42 PDT 2015 --  This takeover was so much fun! Love talking to you guys but its time for me to get back to work! Xx -Ana
Wed Aug 12 13:49:52 PDT 2015 --  #IAmCait I love this show so much
