Mon Jan 12 05:44:40 PST 2015 --  Happy Birthday Okama! God bless. http://instagram.com/p/xwYsZ0muXV/ 
Mon Jan 12 05:32:34 PST 2015 --  Meet my mom and dad! #missingthem #huhubells @ Samal Island, Davao City Philippines http://instagram.com/p/xwXT3XmuVW/ 
Fri Jan 09 07:27:36 PST 2015 --  Haha gtripan ni Akbar. XD LOL. Gaya2 ng pose si ateeey. hahahah. http://instagram.com/p/xo2FraGuRx/ 
Fri Jan 09 06:49:51 PST 2015 --  @ Uic Main Library http://instagram.com/p/xoxxNkmuZ8/ 
Wed Jan 07 00:31:50 PST 2015 --  First groufie for this year! @ University of the Immaculate Conception http://instagram.com/p/xi848dGucC/ 
Sat Jan 03 17:14:11 PST 2015 --  Weeew! Kasya pa sa akin. HAHA http://instagram.com/p/xaccuqGubm/ 
Fri Jan 02 05:48:40 PST 2015 --  Worry does nothing but steal your joy and keep you very busy doing nothing.
Fri Jan 02 06:10:46 PST 2015 --  Accept your past without regret, handle your present with confidence, and face your future without fear.
Fri Jan 02 06:21:17 PST 2015 --  With my girlfriends. pic.twitter.com/G7AWjQYhWb
Thu Jan 01 06:07:04 PST 2015 --  New DP 1/365 http://instagram.com/p/xUGg47muTd/ 
Wed Dec 31 07:06:39 PST 2014 --  11:11 wish! happy new year! http://instagram.com/p/xRoibhmuTW/ 
Wed Dec 31 06:29:45 PST 2014 --  Happy new year! :)
Fri Dec 26 06:25:17 PST 2014 --  http://instagram.com/p/xEr1ANGucL/ 
Thu Dec 25 06:12:06 PST 2014 --  Catching up with her. http://instagram.com/p/xCFhqpGuaQ/ 
Thu Dec 25 04:51:16 PST 2014 --  pic.twitter.com/sodTZDbIyA
Thu Dec 25 04:50:38 PST 2014 --  Demure. pic.twitter.com/AZhGmzQ9JM
Thu Dec 25 03:06:20 PST 2014 --  Spending christmas with my long time friend for almost 8 years and still counting. Thank you… http://instagram.com/p/xBwRELGuRC/ 
Wed Dec 24 20:59:19 PST 2014 --  Merry Christmas! http://instagram.com/p/xBGQ4AGucS/ 
Wed Dec 24 19:52:06 PST 2014 --  My ideal christmas is spending it with you! #Echos #JK Merry Christmas Everyone w/ . :) Lovelots. pic.twitter.com/7VmzUfr92s
Wed Dec 24 08:58:44 PST 2014 --  My favorite viand. http://instagram.com/p/w_zzPrGuVb/ 
Tue Dec 23 04:18:18 PST 2014 --  Cutie popoii. #InstaSize #Igdaily http://instagram.com/p/w8u6U1muQE/ 
Tue Dec 23 01:57:02 PST 2014 --  This year 2014, It's my first time to ride a bus. What makes it special? It's because I'm with HIM!… http://instagram.com/p/w8evtKGucm/ 
Sat Dec 20 18:20:01 PST 2014 --  New kicks! thanks mom. #InstaSize #Keds http://instagram.com/p/w2g2sAmuWp/ 
Sat Dec 20 06:23:39 PST 2014 --  Ayaw ifeel na gihatag niya to sa imo. Hahaha kay in the first place ikaw rah ang nangayo. Hahaha #shameonyoubiatch
Sat Dec 20 06:02:10 PST 2014 --  Selfie with bae! Hahahaha! #relationshipgoals #bae #selfie #yesterday… http://instagram.com/p/w1MahTmuVK/ 
Sat Dec 20 05:40:00 PST 2014 --  Dinner with them. Yaaaay! Kakukulit talaga nila oyy. Hahaha atleast lingaw man pud sila kauban. Hehe… http://instagram.com/p/w1J4IvmuRb/ 
Sat Dec 20 05:31:47 PST 2014 --  May gatas pa sa labi. Hahaha! @ Pet Par's Bldg. http://instagram.com/p/w1I7_cmuf9/ 
Thu Dec 18 07:53:07 PST 2014 --  Belated happy Birthday beeeybiii! love you! #latepost #beeeybiii yakimix @… http://instagram.com/p/wwPhSomuRK/ 
Mon Dec 15 07:01:24 PST 2014 --  Makainis talaga yang tao na walang isang salitaaa! Pagsinabing tayo ang magkasama dapat tayo,ndi yung nang-iiwan sa ere!
Sun Dec 14 06:03:04 PST 2014 --  May bigla lang nagtxt sa akin kung nasaan ba daw ako. Hahaha! Tapos nagpapamadali pang pababain ako.… http://instagram.com/p/wlvvzUGuZd/ 
Sun Dec 14 05:52:55 PST 2014 --  No one could ever replace the kindness of this girl! Love you kriz! #InstaSize #krizzy!… http://instagram.com/p/wluliImuXr/ 
Sat Dec 13 05:35:30 PST 2014 --  Yeah right! pic.twitter.com/3VjjHVEt2n
Sat Dec 13 03:06:04 PST 2014 --  #determined! #reality! @ Petpars Building http://instagram.com/p/wi2sjKGuTs/ 
Fri Dec 12 21:03:04 PST 2014 --  pic.twitter.com/pqLkglxS6b
Thu Dec 11 05:55:56 PST 2014 --  Tired
Thu Dec 11 03:48:25 PST 2014 --  #selfie pic.twitter.com/ANnUJt1Hpm
Wed Dec 10 03:54:25 PST 2014 --  Bayuta nimo diria bae oyy. #bae! #King #Jef @ Yoh Froz Davao http://instagram.com/p/wbN2GcmuYQ/ 
Wed Dec 10 02:51:27 PST 2014 --  Yogurt #InstaSize @ Yoh Froz Davao http://instagram.com/p/wbGo4DGuaY/ 
Sun Dec 07 21:48:02 PST 2014 --  #InstaSize #Groupie #UICian @ University of the Immaculate Concepcion (Annex Campus) http://instagram.com/p/wVaUy3muTo/ 
Sun Dec 07 21:32:13 PST 2014 --  #UICFiesta #UIC109Years @ University of the Immaculate Concepcion (Annex Campus) http://instagram.com/p/wVYY-HmuXO/ 
Sun Dec 07 21:31:07 PST 2014 --  Just posted a video @ University of the Immaculate Concepcion (Annex Campus) http://instagram.com/p/wVYY-HmuXO/ 
Sun Dec 07 06:26:46 PST 2014 --  Its not bad to change, for the better. pic.twitter.com/JeErscQOyX
Sat Dec 06 21:00:07 PST 2014 --  Yeah! @ Pet Par's Bldg. http://instagram.com/p/wSwC-wGuWl/ 
Sat Dec 06 09:45:22 PST 2014 --  Having fun! #qualityTime #InstaSize @ Chicken Charlie - The Peak, Gmall http://instagram.com/p/wRi1DhGuZk/ 
Fri Dec 05 02:13:08 PST 2014 --  Coz I'm still into you! #theEPICband #battleOfThebands @ San Pedro College http://instagram.com/p/wOKR4CGufT/ 
Fri Dec 05 00:10:52 PST 2014 --  Trying to be gorgeous just like this. @krzrnhrmstph #IthisGirl… http://instagram.com/p/wN8SVSGuc2/ 
Thu Dec 04 23:45:33 PST 2014 --  Day three! @ San Pedro College http://instagram.com/p/wN5ZATmuRt/ 
Thu Dec 04 00:45:49 PST 2014 --  Pharmacy days! #Daytwo @ San Pedro College http://instagram.com/p/wLbfgBmuZS/ 
Wed Dec 03 22:46:08 PST 2014 --  #InstaSize @ San Pedro College http://instagram.com/p/wLNy8TGuZm/ 
Wed Dec 03 21:51:53 PST 2014 --  Pharmacy days 2014! #2ndDay #spc #OpeningProgram @ San Pedro College http://instagram.com/p/wLHldrmuRJ/ 
Wed Dec 03 05:31:57 PST 2014 --  Just posted a photo @ University of the Immaculate Conception http://instagram.com/p/wJXcP3GueP/ 
Tue Dec 02 19:52:09 PST 2014 --  Go jjdingdong25 and Asuy! Hahahha Bibo kaayo diria nga side. Hahaha! @ University of… http://instagram.com/p/wIVFrKmuSi/ 
Tue Dec 02 19:39:35 PST 2014 --  Pharmacy week! #1styr #BisanPa #happy @ University of the Immaculate Conception http://instagram.com/p/wITpmuGuah/ 
Fri Nov 28 00:37:00 PST 2014 --  Going home! #InstaSize @ Pet Par's Bldg. http://instagram.com/p/v79tr9muWZ/ 
Thu Nov 27 03:54:28 PST 2014 --  Foodporn! #InstaSize @ Pet Par's Bldg. http://instagram.com/p/v5vhFdmuUY/ 
Tue Nov 25 02:29:16 PST 2014 --  #InstaMag-MobileApp @fotorusofficial @ University of the Immaculate Conception (UIC shapes) http://instagram.com/p/v0cLP9Guao/ 
Mon Nov 24 05:03:20 PST 2014 --  While we are doing our activity in Ethics! itsmenoby #InstaMag-MobileApp #balloon #friends… http://instagram.com/p/vyJA1smuY_/ 
Sun Nov 23 22:22:53 PST 2014 --  Forgive us, Oh Lord! #happy #relieved #unburdened @ University of the Immaculate Conception http://instagram.com/p/vxbL3EGuRV/ 
