Thu May 07 00:32:54 PDT 2015 --  اختصر تاريخ النصر في ٧ دقايق اتحدى اي نصراوي يجحد اللي يشوفه بالمقطع. http://youtu.be/WaVg44rD2Mc  #النصر_صغير_اسيا
Wed May 06 14:12:02 PDT 2015 --  يامسكرررره #النصر_لخويا #فابيان_يعتدي_على_لاعب_لخويا_الكوري pic.twitter.com/dYfPvyzzPy
Wed May 06 15:04:34 PDT 2015 --  ايوه تقول النصر راح يأكل الخوايا pic.twitter.com/2MTXaYCRPo #النصر_الخويا #فابيان_يعتدي_على_لاعب_لخويا_الكوري
Tue Apr 28 18:38:36 PDT 2015 --  انشهد انه جاب ولد #اوامر_ملكيه pic.twitter.com/d0m19drsTK
Tue Apr 28 18:27:21 PDT 2015 --  وَقُرْآنَ الْفَجْرِ ۖ إِنَّ قُرْآنَ الْفَجْرِ كَانَ مَشْهُودًا #اوامر_ملكيه
Fri Apr 24 03:07:02 PDT 2015 --  اللي عنده رونالدو ما يخشى أي فريق يواجهه ..! #قرعة_دوري_ابطال_اوروبا pic.twitter.com/nNP9iqJTVi
Sat Apr 18 10:27:02 PDT 2015 --  ولا عشت ' الأمان الا معك تدري , , ”
Fri Apr 17 11:45:10 PDT 2015 --  انا لله وانا اليه راجعون انتقل الى رحمة الله / فهيد فرحان القعياني والصلاه عليه غدا الظهر في مسجد الراجحي نسأل الله له الرحمه والمغفره
Fri Apr 17 13:30:47 PDT 2015 --  #الهلال_الاتحاد مبروووووووووووكككك للزعيم pic.twitter.com/OjYwB75g0y
Thu Apr 16 23:15:45 PDT 2015 --  #الهلال_الاتحاد ايها الفرح ؟ أوصيك بالهلال خيراً.
Thu Apr 16 07:46:15 PDT 2015 --  لا تدع تعصبك الكروي يفقدك احد اصدقائك ولا تستخدم السب سلاح بينكم غداً فإن فاز الهلال فـ الف مبروك وهذا شي معروف وان فاز الاتحاد يخسى ويعقب!
Wed Apr 15 06:08:26 PDT 2015 --  لله درك يا هلال بأمرك أنت تصرف الرواتب والمكافآت #الاتحاد_يرصد_10_الاف_للفوز_على_الهلال
Wed Apr 15 06:06:47 PDT 2015 --  جمهوور الزعييم ختم كل شي وصار يسوي تيفوو ب الفلاشات جمماااااال pic.twitter.com/EgeyA8ZgUM" #الهلال_الاتحاد
Tue Apr 14 23:28:48 PDT 2015 --  وش رايكم المرة هذي نعطيهم عشرة #الهلال_الاتحاد pic.twitter.com/J05vpPnimp”
Tue Apr 14 23:27:17 PDT 2015 --  : #الدرة_فل_في_الكلاسيكو http://youtu.be/GC1iMq8ooNE  نبي نكرر هذي ونكرر هذي http://youtu.be/njFgD0W3FB0  #الهلال #الهلال_الاتحاد”
Sat Mar 28 16:14:58 PDT 2015 --  (امي) #اسباب_سعادتي_هي
