Tue Jul 14 03:27:56 PDT 2015 --  Wow! I know they aren't real BUT Esmeralda And Belle #Stunning https://twitter.com/Disney_360/status/595351253690920960 …
Tue Jul 14 03:23:21 PDT 2015 --  I am majorly crushin on Scott Eastwood The Longest Ride | Official Trailer [HD] | 20th Century FOX https://youtu.be/FUS_Q7FsfqU  via @YouTube
Mon Jul 13 23:54:23 PDT 2015 --  Breathing and eating #thestruggleisreal https://twitter.com/velvetgh0st/status/620716926285692928 …
Mon Jul 13 12:08:53 PDT 2015 --  I LOVE #NewGirl #Comedy
Mon Jul 13 11:36:27 PDT 2015 --  https://www.facebook.com/bbcspotlight/videos/758458720886295/ …
Sat Jul 11 08:10:02 PDT 2015 --  . @diegtristan8 "she is built like a man". Yeah, my husband looks just like this in a dress. You're an idiot. pic.twitter.com/BCvT10MYkI
Sat Jul 11 07:47:23 PDT 2015 --  #SerenaSlam! I love her. What an athlete, what a role model, what a woman!
Mon Jul 13 08:49:40 PDT 2015 --  YES! #GirlCrushing Left, Right And Centre <3 https://twitter.com/CauseWereGlRLS/status/618392274033082368 …
Mon Jul 13 07:44:42 PDT 2015 --  Leg game is on point right now #HardWork #Legs #Gym #GirlsThatLift #Progress pic.twitter.com/ITpmIkyubV
Mon Jul 13 05:31:03 PDT 2015 --  Such a #Powerful and #Inspiring video YOU LOOK DISGUSTING https://youtu.be/WWTRwj9t-vU  via @YouTube
Sun Jul 12 11:29:07 PDT 2015 --  Finally watching #OrangeIsTheNewBlack session 1!
Sun Jul 12 08:05:24 PDT 2015 --  pic.twitter.com/K240Vagi2b
Sun Jul 12 08:03:49 PDT 2015 --  My foal is too gorgeous for words ️ #Horse pic.twitter.com/JUna9Kft6B
Sun Jul 12 06:16:30 PDT 2015 --  #Wimbledon final #Exciting pic.twitter.com/SyEAcTMygH
Sun Jul 12 05:13:40 PDT 2015 --  My mummy very recently beat cancer. She's the strongest woman I know and always been a fighter 🏼 #FuckCancer pic.twitter.com/R8zRgpfCZa
Sun Jul 12 05:04:20 PDT 2015 --  Little snippet of #EDC #ElectricDaisyCarnival the stage looked so cool pic.twitter.com/xgDJK5Mq00
Sun Jul 12 04:59:04 PDT 2015 --  Catching up on @TheBeautycrush videos. She's so gorgeous and the nicest girl
Sun Jul 12 03:25:21 PDT 2015 --  #EDC pic.twitter.com/BRYxV3xUx6
Sun Jul 12 01:24:44 PDT 2015 --  It's nice to be nice #Kindness #Quote pic.twitter.com/XpMI0hlI7W
Sat Jul 11 12:33:18 PDT 2015 --  EDC #Selfie #MiltonKeynes #Rave pic.twitter.com/Rc4EOafc7n
Fri Jul 10 12:33:32 PDT 2015 --  David Beckham really is too sexy https://twitter.com/pa_ward1/status/619589338477821952 …
Fri Jul 10 12:31:14 PDT 2015 --  Oh Murray you were destroyed! #Wimbledon
Fri Jul 10 05:14:00 PDT 2015 --  Oh so naughty @Missguided https://twitter.com/Missguided/status/617966366382006272 …
Fri Jul 10 05:07:48 PDT 2015 --  #NoTimeForThat https://twitter.com/BestofGemini/status/619348084523409409 …
Fri Jul 10 05:06:28 PDT 2015 --  Had my iphone 6 for a week and the novelty still hasn't worn off! Camera is amazing! #LateOnTheBandwagon
Thu Jul 09 07:11:11 PDT 2015 --  It scares me how some girls dress for an interview. You want a job but you look like you've got lost looking for a strip club #Goodbye
Wed Jul 08 06:30:20 PDT 2015 --  Decided to give #HotYoga a go! Could be fun
Wed Jul 08 02:46:54 PDT 2015 --  Crazy hair pic.twitter.com/gfsUpjThDg
Wed Jul 08 02:14:16 PDT 2015 --  There's a big difference between a booty and a big bum that's just fat. Just sayin
Tue Jul 07 15:41:52 PDT 2015 --  When your gorgeous man looks so cute sleeping that you don't want to wake him! He never falls asleep… https://instagram.com/p/42h9R4Rw1H/ 
Tue Jul 07 15:11:10 PDT 2015 --  #Hero #inspiration https://twitter.com/fitnessstrong/status/618540814076088322 …
