Mon Jul 13 00:15:03 PDT 2015 --  Friends aren't always the ones you talk to every day. Some of the beat of friends are those who don't talk daily and be in each other's face
Mon Jul 13 00:19:59 PDT 2015 --  Might just make this trip to IHOP
Sun Jul 12 15:11:15 PDT 2015 --  Some of yall need to worry about getting saved before you worrying about getting a spouse
Sun Jul 12 15:03:19 PDT 2015 --  Some of you be trying so hard to find your cogic husband maybe he's not even cogic and he should be looking for you.
Sun Jul 12 15:03:36 PDT 2015 --  Ppl will say "if you don't worship God on Saturday keeping the sabbath you gonna go to hell" ppl be worrying bout the day rather than GOD
Sun Jul 12 15:02:51 PDT 2015 --  https://twitter.com/__HeyJessie__/status/620351703607422976 …
Sun Jul 12 15:00:26 PDT 2015 --  Call forth whatever you need to make it through difficult experiences. Call forth strength, courage, wisdom, insight, power and love.
Sun Jul 12 14:57:33 PDT 2015 --  A lot of ppl think you gotta speak in tongues to be saved....it's just grace through faith you are saved.
Sat Jul 11 18:54:10 PDT 2015 --  THEEE @KimBurrellLove...her story is so powerful! Watch this and check her out on the Festival of Praise Tour! https://amp.twimg.com/v/05827f12-25b2-403a-af58-8e9af8518d31 …
Sat Jul 11 18:52:00 PDT 2015 --  Can't share your vision with everyone. Some people have minds too small to understand your goals.
Wed Jul 08 19:49:32 PDT 2015 --  Lord keep my eyes focused on you
Fri Jul 10 10:20:49 PDT 2015 --  Warning comes before Destruction ......you've been giving chance after chance ....warned time and time again! So don't act surprised ...
Fri Jul 10 10:03:43 PDT 2015 --  I mean if you're comfortable in your sin...ok! But don't try to drag others into it or get mad because they don't agree with you.....
Sat Jul 04 12:09:12 PDT 2015 --  Kid is the original Rachel Dolezal pic.twitter.com/OxAC159Vgh
Wed Jul 08 07:57:45 PDT 2015 --  A renewed mind knows that vision isn't limited by sight. #SeeClearly
Wed Jul 08 07:57:55 PDT 2015 --  Twitter should host a concert with Tweet. Tweet should sing the theme song for Twitter.
Wed Jul 08 08:03:39 PDT 2015 --  So thankful God allowed my family & I to see another day.
Mon Jul 06 15:48:19 PDT 2015 --  Women don't let these men disrespect your body. If your a virgin, STAY a virgin!
Mon Jul 06 16:00:36 PDT 2015 --  Everybody don't need to know everything. That's why people run your name around. You're revealing and telling too much. Low is the way.
Mon Jul 06 16:01:31 PDT 2015 --  Safe sex - get married and stay faithful.
Mon Jul 06 13:04:30 PDT 2015 --  It's never too late to begin again....as long as you have breath things can change.
Mon Jul 06 14:40:14 PDT 2015 --  We need to stop just finding verses in the bible that make us feel good. It's important to know & read the Whole story. #LetsGrow
Sat Jun 27 23:34:42 PDT 2015 --  Women with higher IQ's have a harder time finding a mate. Intelligent women would rather remain single than be with the wrong person.
Sat Jun 27 23:33:11 PDT 2015 --  Mommy brought her baby to #Ted2 ... So much profanity & sexual talk - instead of ABC's her first words will be "f*^ #K YOU MuthAF%]*#¥{KER!"
Sat Jun 27 23:25:55 PDT 2015 --  The misconception that silence is equivalent to fear is preposterous. The bible teaches us silence can be associated with wisdom & strategy.
Sat Jun 27 23:10:09 PDT 2015 --  https://twitter.com/balog_official/status/615034715192602624 …
Sat Jun 27 23:11:51 PDT 2015 --  I'm not on this earth to prove I'm a Christian. I'm here to win souls
Sat Jun 27 23:42:51 PDT 2015 --  There's a fine line between tough love and straight up disrespect...
Sat Jun 27 23:46:56 PDT 2015 --  If someone doesn't correct your wrong, they don't love you. Anybody that wants to see you grow will help and show you your wrong
Sat Jun 27 23:24:47 PDT 2015 --  I remember when I first started my walk, I told God I want faith like Abraham. I must say my faith is strong but the process! CRAZY! lol
Sat Jun 27 23:22:52 PDT 2015 --  I'll state my case and go on with life...certain things aren't even up for an argument
Sat Jun 27 23:22:21 PDT 2015 --  Bragging about being humble is an oxymoron. Lol
Sat Jun 27 23:16:39 PDT 2015 --  In a world FULL of chaos, Jesus is my PEACE!
Thu Jun 11 07:51:17 PDT 2015 --  Just ate a muffin the size of a bean bag chair... By myself. I've made better decisions.
Sun Jun 14 09:43:44 PDT 2015 --  Your peers either protect or diminish your values.
Mon Jun 15 19:45:33 PDT 2015 --  Time doesn't heal all wounds. Time just gives space for you to forget hurts & be distracted. Dealing with wounds directly heals them.
Wed Jun 17 08:30:02 PDT 2015 --  Make plans to plan.
Fri Jun 12 07:20:34 PDT 2015 --  RT @AmenAfterShave: We pretend everyday; and nobody says anything pic.twitter.com/RHOILmQf92
Mon Jun 15 07:31:21 PDT 2015 --  Accept what is, let go of what was, believe in what will be (See Phil 3:13)
Mon Jun 15 18:29:14 PDT 2015 --  I love Shakina on #LHHATL . She's fun!
Mon Jun 15 17:17:01 PDT 2015 --  People can cast out a pit-bull demon out of somebody else but cant get fee of their chiwawa demon.
Mon Jun 15 14:59:54 PDT 2015 --  yall hate slavery but love wearing cotton #TwitterComparisons
Sun Jun 14 22:44:35 PDT 2015 --  No Sleep Zone
Sat Jun 13 12:28:57 PDT 2015 --  Stop entertaining the negative words of people who cannot vote you in or out of heaven. God's words will sustain you.
Sun Jun 14 05:41:52 PDT 2015 --  The word of God is the cure for wrong thinking.
Sun Jun 14 07:32:46 PDT 2015 --  @DerronEShort I will even though I don't understand
Sun Jun 14 06:50:30 PDT 2015 --  Trust God even though you do not understand why this is happening.
Sun Jun 14 09:52:27 PDT 2015 --  Right now you are learning to trust in the Lord, to be patient, and to endure hardness as a good soldier, for HIS GLORY. That's why.
Sun Jun 14 15:22:31 PDT 2015 --  You are pregnant with possibilities but you will only give birth to the dreams you work to push out.
Sun Jun 14 19:17:30 PDT 2015 --  God will permit the test to come to you first so you can pass it to provide the wisdom for the next person.
Sun Jun 14 10:29:31 PDT 2015 --  #Jesus did not say things would be comfortable but he did say that he would always be with you. Don't give up.
Sun Jun 14 18:15:42 PDT 2015 --  We make so many commitments to God but are not faithful. The Bible says it's better that u should not vow than that u should vow & not pay.
Fri Jun 12 20:27:39 PDT 2015 --  Order my steps, guide and lead me.
Sat Jun 13 13:10:48 PDT 2015 --  Never put the key to your happiness in someone else's pocket
Fri Jun 12 20:11:01 PDT 2015 --  Never let people's negative thoughts about you hinder you from accomplishing what God put in your heart. Dare to dream and dare to live it.
Fri Jun 12 16:19:25 PDT 2015 --  Do not conform to the ways of this world.
