Sun Jul 19 11:28:48 PDT 2015 --  I just voted for #TeenChoice 2015 winners! Vote for your faves & more at http://teenchoice.com !
Sun Jul 19 14:32:43 PDT 2015 --  @Poodletoes1 #notreplaceable https://twitter.com/zmaddieziegler/status/621510363591258112 …
Sun Jul 19 14:34:41 PDT 2015 --  @Poodletoes1 #notreplaceable https://twitter.com/sandrajbarnes/status/621134043631894528 …
Sat Jul 18 18:43:49 PDT 2015 --  This pretty much explains our weekend at nationals! https://instagram.com/p/5TLpIGvL7k/ 
Sat Jul 18 20:22:22 PDT 2015 --  U thought you'd come to nationals & beat us because of what you see on #dancemoms but in reality #CADC #cleanshouse
Sat Jul 18 12:49:55 PDT 2015 --  Find your #balance in life photo by #MiaPINK https://instagram.com/p/5SjJBOEsLs/ 
Sat Jul 18 13:19:26 PDT 2015 --  Studio 19 High score Junior large group!! National Champions "Break the silence" pic.twitter.com/GxGMq4XmRA
Sat Jul 18 07:33:37 PDT 2015 --  Chloe Lukasiak, a #truestar no #fakewins and the most #humble #gracious girl 2 come from that awful show, #DanceMoms pic.twitter.com/zZA6TF5IBP
Fri Jul 17 20:18:36 PDT 2015 --  @gcbec8 @TargetNews @Target @DanceMomLies @BrianChelton Melissa and Abby's school of deceit and fakery!
Fri Jul 17 23:28:35 PDT 2015 --  @KathyNeeds @gcbec8 @TargetNews @Target @DanceMomLies @BrianChelton: MZ & AM are both homeschooled! JoJo only one who wears your cloths!
Thu Jul 16 07:17:04 PDT 2015 --  Official @TLC statement: http://ow.ly/PHhrp  https://twitter.com/AP/status/621682201214775297 …
Tue Jul 14 21:21:14 PDT 2015 --  @BewilderedPawn @ThePopCulWriter Abbys complaining that LT didn't have even one IF post about DM I can't laugh hard enough
Wed Jul 15 10:40:55 PDT 2015 --  Why did you pick Maddie Z who doesn't go to school or even wear your clothes Boycotting your store. http://stylenews.peoplestylewatch.com/2015/07/14/maddie-ziegler-target-back-to-school-exclusive-video/ …
Tue Jul 14 19:08:19 PDT 2015 --  Hi guys I just love dance and I want to show you that everything else is just fluff thank you
Mon Jul 13 17:45:56 PDT 2015 --  @ShayDances so true! You have to be careful! So many fakes.
Sun Jul 12 20:17:12 PDT 2015 --  @ALDCFanfare @nikki70833295 @brenniexoxo @TeenChoiceFOX @FOXTV Toss all votes of @nikki70833295 & @brenniexoxo Cyber bullying is a crime!!!
Sun Jul 12 19:57:00 PDT 2015 --  @nikki70833295 @brenniexoxo #TeenChoice #ChoiceDancer @TeenChoiceFOX @FOXTV Please disqualify Nikki & Brennies votes pic.twitter.com/IPDFYWXvge
Tue Jun 23 17:11:45 PDT 2015 --  We don't care for @Abby_Lee_Miller ! We @Poodletoes1 pic.twitter.com/jjJYVZgRLK
Thu Jul 09 07:53:48 PDT 2015 --  Thank you Nia Nation for 3 million views of #StarInYourOwnLife .. Special thanks to @AubreyODay @MIKEYMINDEN @R8DIO pic.twitter.com/UlicAnvehl
Sun Jul 05 00:54:58 PDT 2015 --  @KathyNeeds @KindTonia @johnbr3548 @thebeej1966 kinky was always right...team kinky all the way!
Sat Jul 04 11:30:45 PDT 2015 --  Happy 4th of July! Proud to be an American ... where at least I am free to be me. pic.twitter.com/MDAPve5B7C
Wed Jul 01 17:01:19 PDT 2015 --  Hey guys :) I have some time off so if any of you have questions I'll be answering them for the next 30 minutes
Tue Jun 30 19:25:44 PDT 2015 --  @ShayDances @ThePopCulWriter @DanceMoms @CollinsAveEnt Collins are wimps for not showing that fight. #weak
Sat Jun 27 17:20:36 PDT 2015 --  @HTTRSkins1 I will be the first to show both of them the door,these two helped ruin the show,favoritism and abuse have no place in kids show
Fri Jun 26 11:58:07 PDT 2015 --  #LoveWins
Thu Jun 25 16:43:03 PDT 2015 --  That is awesome Kathy. So much love for this little boy. https://twitter.com/KathyNeeds/status/614109725769084928 …
Thu Jun 25 13:21:47 PDT 2015 --  @troubletonia @kiragirard @brenniexoxo @DanceMomLies You know how Abby is about her "precious". pic.twitter.com/7Fv4dlCDkO
Wed Jun 24 08:44:14 PDT 2015 --  @ThePopCulWriter @kiragirard Lisa obviously doesn't know what a vile disgusting abusive person Abby is.
