Wed Aug 06 14:00:15 PDT 2014 --  Let's take a classy date pic.twitter.com/usUe8fRZCR
Sun Aug 10 17:48:31 PDT 2014 --  We to cute for Nickelodeon pic.twitter.com/ELohTfui14
Sun Aug 10 14:06:47 PDT 2014 --  Chilling with @TheMattEspinosa pic.twitter.com/QeipSO72Ga
Fri Aug 21 18:48:40 PDT 2015 --  #ShesKindaHotVMA pic.twitter.com/AUBiQBy7VC
Fri Aug 21 18:59:41 PDT 2015 --  Nosotras votando #ShesKindaHotVMA pic.twitter.com/GpqGwHiMww
Fri Aug 21 19:24:36 PDT 2015 --  #ShesKindaHotVMA Love you @Michael5SOS pic.twitter.com/RwV7vrEIJF
Fri Aug 21 15:46:27 PDT 2015 --  #WeLoveYouMichael pic.twitter.com/4yUs33ZLKk
Thu Jan 29 08:06:20 PST 2015 --  Lolz pic.twitter.com/v0gkmTbUJT
Fri Aug 21 06:19:38 PDT 2015 --  me too please #ShesKindaHotVMA https://vine.co/v/OXXmiIlTdeM 
Fri Aug 21 06:19:45 PDT 2015 --  cutie omfngn #ShesKindaHotVMA pic.twitter.com/UZsE80N2A1
Fri Aug 21 06:19:49 PDT 2015 --  CALUM IS ME IN THE MORNING #ShesKindaHotVMA pic.twitter.com/rLKPzsuf4V
Fri Aug 21 05:20:42 PDT 2015 --  good morning america! (Vine by @thinkclifford) https://vine.co/v/eDrW3zap2H6  #5SOSonGMA -M
Fri Aug 21 13:05:18 PDT 2015 --  Dear Luke #ShesKindaHotVMA pic.twitter.com/SVAIABOmj8
Fri Aug 21 05:21:15 PDT 2015 --  6AM WOO pic.twitter.com/9UA96eHX3W
Fri Aug 21 04:05:50 PDT 2015 --  THANK YOU FOR COMING NY! @GMA it's a good day to rock out in Central Park 🏼️ pic.twitter.com/myxtfbG6pV
Fri Aug 21 04:02:29 PDT 2015 --  pic.twitter.com/AdxZ2O1t2K
Fri Aug 21 02:09:49 PDT 2015 --  retweet if you want 5sos to win song of the summer at the vmas!! #ShesKindaHotVMA pic.twitter.com/YMDbpmY0zx
Thu Aug 20 20:48:03 PDT 2015 --  MUKE ES VIDA MUKE ES RELIGIÓN MUKE ES REAL #ShesKindaHotVMA pic.twitter.com/cUL9ScEbby
Thu Aug 20 21:11:44 PDT 2015 --  #ShesKindaHotVMA pic.twitter.com/v1FpAtcdqr
Thu Aug 20 21:42:48 PDT 2015 --  #ShesKindaHotVMA pic.twitter.com/VqjpU5hd6H
Thu Aug 20 14:25:21 PDT 2015 --  been waiting hours for a flight and I've progressively looked more and more like a junkie. LET ME FLYYYYYYYY pic.twitter.com/UbNn5m5ZkK
Thu Aug 20 14:11:56 PDT 2015 --  5H fans are saying it's unfair because 5SOS have more followers but Justin Bieber has 66M and he's not in first either #ShesKindaHotVMA
Wed Aug 19 19:44:11 PDT 2015 --  11) ¿Harry Potter o Los juegos del hambre? A: Vamos, Harry Potter Michael: LOS JUEGOS DEL HAMBRE! #ShesKindaHotVMA pic.twitter.com/1aacEO5WQO
Wed Aug 19 19:35:28 PDT 2015 --  10) ¿Instagram o Twitter? Ashton: Insta-twitter. #ShesKindaHotVMA pic.twitter.com/sk3I6y9ghS
Wed Aug 19 19:33:08 PDT 2015 --  9) Palo de selfie: ¿Yay o Nay? = ¿Si que si o Nope? Luke: Nay = Nope #ShesKindaHotVMA pic.twitter.com/1TzLNJtpDQ
Wed Aug 19 19:24:22 PDT 2015 --  7) ¿Palabrota Favorita? M: Oh mierda! A: No puedes decir eso en Buzzfeed M: A LA MIERDA SI PUEDES! #ShesKindaHotVMA pic.twitter.com/B84P1Evrg2
Wed Aug 19 19:21:47 PDT 2015 --  7) ¿Palabrota Favorita? Michael: Oh mierda! Ashton: No puedes decir eso aqui en Buzzfeed. #ShesKindaHotVMA pic.twitter.com/vQd2FFL1eJ
Wed Aug 19 19:13:41 PDT 2015 --  5) Kendall o Kylie Jenner? L: ...Scott #ShesKindaHotVMA pic.twitter.com/UTR2Zehet1
Wed Aug 19 19:00:05 PDT 2015 --  1) Como pronuncias "GIFS"? 5SOS: JIFS. #ShesKindaHotVMA pic.twitter.com/lDYMjogV1N
Wed Aug 19 19:03:09 PDT 2015 --  2) Canción con BUENA LETRA o BUENA MELODIA? 5SOS: BUENA LETRA! #ShesKindaHotVMA pic.twitter.com/03ziW9ohx7
Wed Aug 19 19:06:28 PDT 2015 --  3) ¿Suena bien o se siente bien? 5SOS: Uhh... Se siente bien. #ShesKindaHotVMA pic.twitter.com/HYwEunyUGl
Wed Aug 19 19:13:01 PDT 2015 --  4) ¿Kendall o Kylie Jenner? L:El tipo con el peinado hacia atrás que ni siquiera es parte de ellas.. #ShesKindaHotVMA pic.twitter.com/F0ARCMVjZ8
Wed Aug 19 19:40:53 PDT 2015 --  Detroit pic.twitter.com/Yopb3ZA2w0
Wed Aug 19 19:31:37 PDT 2015 --  pic.twitter.com/H0OcLBYPHl
Wed Aug 19 15:25:40 PDT 2015 --  When Calum dies but you have a show to perform #ShesKindaHotVMA pic.twitter.com/XjyRszP3VB
Wed Aug 19 15:53:04 PDT 2015 --  @5SOSLA_NOTICIAS Yo después de conocer a 5sos #ShesKindaHotVMA pic.twitter.com/VaawNwaHCo
Wed Aug 19 16:42:22 PDT 2015 --  #ShesKindaHotVMA 5SOSFAM
Wed Aug 19 16:04:57 PDT 2015 --  @5SOSLA_NOTICIAS Ash se cree dios, Calum tiene cara de sufrimiento akdjakdkks amé esta foto akdjkakdkakd pic.twitter.com/Qt8WYUW6I1
Wed Aug 19 07:29:04 PDT 2015 --  CURITIBA TO COSTA RICA - I'm excited to get🏻2 ON🏻with the dope @tinashe opening select dates on… https://instagram.com/p/6kX3SUP-ds/ 
Wed Aug 19 16:29:27 PDT 2015 --  @5SOSLA_NOTICIAS <3 #ShesKindaHotVMA pic.twitter.com/ywBD8ItyV9
Wed Aug 19 14:55:40 PDT 2015 --  RT por Cake #ShesKindaHotVMA pic.twitter.com/2BCQJKrrnM
Wed Aug 19 14:00:01 PDT 2015 --  When the 5sos fam is so good at voting people think 5sos are cheating #ShesKindaHotVMA pic.twitter.com/Pq2R80mjAm
Wed Aug 19 13:37:07 PDT 2015 --  holy shit can't believe we're in the lead for the #ShesKindaHotVMA thank you all for voting it means buttloads to us! thank you again!
Tue Aug 18 14:02:51 PDT 2015 --  Ashton has 7 kids (via insider @calum5sos) #ShesKindaHotVMA https://vine.co/v/ep0EUQVKAx1 
Tue Aug 18 22:57:04 PDT 2015 --  People with there insults People with there opinions People with there judgement People who fly above it!
Tue Aug 18 16:51:33 PDT 2015 --  This will be the whole fam if 5sos wins @5SOS @5SOS_Daily #ShesKindaHotVMA pic.twitter.com/tgI0mzYPqX
Tue Aug 18 18:34:39 PDT 2015 --  Gracias @5SOSLatinoA Encerio fue como sorpresa :) pic.twitter.com/sPAI2WoENN
Tue Aug 18 18:30:04 PDT 2015 --  Los ganadores del DM con Ashton fueron @OMGHAASSGRIER @catalinafc14 @meli_larrea @pxrnmgc @Majito_te ¡felicidades!
Tue Aug 18 18:25:19 PDT 2015 --  before I got my haircut and I felt like a shaggy dawg pic.twitter.com/P4T6XH48rN
Tue Aug 18 18:20:57 PDT 2015 --  Me cago en todas las directioners que ayudan a 5H 5SOSFAM ganemos esto #ShesKindaHotVMA pic.twitter.com/8GWxoG67bz
Tue Aug 18 17:51:17 PDT 2015 --  "5SOS no tienen talento" #ShesKindaHotVMA pic.twitter.com/MPRtICajWj
Tue Aug 18 18:04:45 PDT 2015 --  eSTOY LLORANDO. #ShesKindaHotVMA pic.twitter.com/KCiqNV7uWl
Tue Aug 18 18:13:39 PDT 2015 --  Den RT a este tweet y escogeré 5 personas al azar y esas tendrán el DM con Ashton. ¡Suerte! #ShesKindaHotVMA
Tue Aug 18 17:20:40 PDT 2015 --  #ShesKindaHotVMA vote !!!!!
