Mon Aug 03 10:35:30 PDT 2015 --  I've harvested 995 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 10:35:30 PDT 2015 --  I've collected 5,872 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 10:35:25 PDT 2015 --  I have Cottage on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 08:12:51 PDT 2015 --  Has anyone tried these? pic.twitter.com/vbLRyX7ooT
Mon Aug 03 08:11:53 PDT 2015 --  LUNCH TIME!!!!! pic.twitter.com/kxhuvSaSx8
Mon Aug 03 05:16:15 PDT 2015 --  I've harvested 1,155 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 05:14:56 PDT 2015 --  I've harvested 979 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 05:14:56 PDT 2015 --  I've collected 8,441 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 03:17:44 PDT 2015 --  I've collected 10,888 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 03:16:30 PDT 2015 --  I've harvested 388 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 02 19:32:22 PDT 2015 --  I've collected 6,771 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 02 19:31:11 PDT 2015 --  I've harvested 115 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 02 19:30:04 PDT 2015 --  I've harvested 40 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 02 19:30:04 PDT 2015 --  I've collected 3,012 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 02 19:29:36 PDT 2015 --  I have Lumber Mill on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 02 15:32:36 PDT 2015 --  I've harvested 1,017 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
