Sun Jun 28 05:18:36 PDT 2015 --  "Rabbi yassir wala tu'assir" Tuhanku, permudahkanlah & jgn persulitkan. "Rabbi tammim bilkhair" Tuhanku, sempurnakanlah ia dgn kebaikan.
Sun Jun 28 05:20:11 PDT 2015 --  Setitik air mata ibu yang tumpah disebabkan perbuatan kita samalah pedihnya seperti sebutir peluru yang menembusi dada.
Sun Jun 28 05:20:54 PDT 2015 --  Bila seseorang mencintai Allah dgn bersungguh, Allah akan kurniakan padanya jodoh yg mencintainya dgn bersungguh.
Fri Jun 26 04:06:10 PDT 2015 --  Iftar jama'i with @tehahahmad94 @mairuzasmara @rohashima #masjidUmt pic.twitter.com/U2d1uK583f
Fri Jun 26 01:58:19 PDT 2015 --  Muka di waktu petang ketika bulan puasa. pic.twitter.com/8wcl3XEf8v
Wed Jun 24 03:34:01 PDT 2015 --  BTOB's Ilhoon to make his acting debut as lead in 'Tundra Show'! http://www.allkpop.com/article/2015/06/btobs-ilhoon-to-make-his-acting-debut-as-lead-in-tundra-show … pic.twitter.com/IuCMPRVEq1
Mon Jun 22 11:41:54 PDT 2015 --  Be with someone who makes you smile, laugh, feel special, and supports you.
Tue Jun 23 14:30:14 PDT 2015 --  I sleep less, I'm tired. I sleep more, I'm tired. Life is impossible...
Tue Jun 23 05:47:23 PDT 2015 --  Ni nak pesan, "Jangan berlakon jadi orang lain, jadi diri sendiri lagi baik"
Tue Jun 23 05:52:15 PDT 2015 --  Mmg tak boleh blah. Tiba2 stalk ig adik sendiri. Hahaha. Adoyaii
Mon Jun 22 02:04:56 PDT 2015 --  Too much sleep.
Sat Jun 20 09:35:15 PDT 2015 --  Red Velvet's Joy surprises BTOB's Sungjae on their first meeting on 'We Got Married' http://www.allkpop.com/article/2015/06/red-velvets-joy-surprises-btobs-sungjae-on-their-first-meeting-on-we-got-married … pic.twitter.com/IvWbVIqyxe
Sun Jun 07 04:19:23 PDT 2015 --  "Tak risau ke long distance relationship ni, tak takut dia curang ?" Apa nak risau Allah ada. Kalau dia tak jujur, nanti Allah tunjuk juga
