Wed Jul 22 17:07:41 PDT 2015 --  And this is why nobody in the U.S. gives a fuck about soccer... https://twitter.com/espnstatsinfo/status/624005113938636801 …
Wed Jul 22 14:53:40 PDT 2015 --  Slow your roll, we all knew this was coming, here's to Bill Murray passing on Ghostbusters for this... https://twitter.com/shockerhoops/status/623973351233490944 …
Wed Jul 22 12:49:40 PDT 2015 --  I heard @NICKIMINAJ took over his handle yesterday, must still b on... https://twitter.com/meekmill/status/623940221349011456 …
Wed Jul 22 11:19:21 PDT 2015 --  Saw this last night.. Don't fuggin miss it! https://twitter.com/comingsoonnet/status/623910774654767104 …
Tue Jul 21 13:42:32 PDT 2015 --  I sure hope Team @alwayssunny gonna b involved too! https://twitter.com/comingsoonnet/status/623579789148884992 …
Tue Jul 21 12:46:21 PDT 2015 --  . @alwayssunny creator and star @RMcElhenney to direct the #Minecraft movie! http://bit.ly/1MiTrkZ  pic.twitter.com/J0kgfrNxi2
Tue Jul 21 12:34:48 PDT 2015 --  Emoji movie in development at @SonyAnimation http://bit.ly/1gMKWmb  pic.twitter.com/ZH0Fgy8GTl
Tue Jul 21 11:27:36 PDT 2015 --  I love the name #BlackKnights for the potential Las Vegas hockey team. #hockey #nhl
Sun Jul 19 16:55:07 PDT 2015 --  . @Pebler18 @Wjosh7 @darrenrovell @RobDemovsky @jtgritz09 FUCK we've called him that for years!
Sat Jul 18 21:08:39 PDT 2015 --  #Francona @AroundtheHorn @PTI https://twitter.com/espnstatsinfo/status/622616502152380416 …
Sat Jul 18 20:16:42 PDT 2015 --  Goddamn Harry Potter 1 on @ABCNetwork right now... Damn I'm old... #NotOldEnoughToDoACID
Sat Jul 18 15:49:08 PDT 2015 --  #SummerSpurs https://twitter.com/KyleAnderson5/status/622535531679748096 …
Sat Jul 18 15:07:59 PDT 2015 --  . @cisow77 @ScottyDReports @sharistu @HollowClay AP gonna bring his Switch just in case. pic.twitter.com/jga5WMzPHm
Sat Jul 18 14:49:30 PDT 2015 --  @ScottyDReports @sharistu @HollowClay Jesus! witness AP rush for over 250, very nice
Sat Jul 18 14:59:24 PDT 2015 --  . @ScottyDReports don't forget, never forget @Favre4Official!
Sat Jul 18 14:56:49 PDT 2015 --  . @ScottyDReports why don't u go retire like the rest of ur team! #CapKiller
Sat Jul 18 14:55:24 PDT 2015 --  . @ScottyDReports @sharistu @HollowClay @cisow77 #AP #AllDay
Sat Jul 18 14:47:47 PDT 2015 --  This place is about to be PACKED. #FavreHOF pic.twitter.com/VsxAPnhzdf
Sat Jul 18 14:24:55 PDT 2015 --  the dood @PackersNotes sure has a hard on for those too. Can't touch 3 straight MVPs.. I was mad too.. But it's time to come home @Pebler18
Sat Jul 18 14:16:44 PDT 2015 --  . @PackersNotes have you come around yet?? https://twitter.com/espnstatsinfo/status/622509920173207552 …
Sat Jul 18 12:48:12 PDT 2015 --  I'll see ya'll in Chicago for @lollapalooza! https://twitter.com/kidcudi/status/622484470340325376 …
Fri Jul 17 19:45:41 PDT 2015 --  What the FUCK is up with Matt Cain @ScottyDReports? Against the DBAGS too! #ChristAlmighty
Fri Jul 17 16:37:07 PDT 2015 --  #CurtisYoung Talks Childhood In Compton, Meeting His Father Dr. Dre | http://www.ballerstatus.com/2015/07/16/curtis-young-talks-childhood-in-compton-meeting-his-father-dr-dre/ … pic.twitter.com/iBUj2EDbi0
Fri Jul 17 08:26:59 PDT 2015 --  Ummmm I'm just looking out for u @CarterLeathers... https://twitter.com/comingsoonnet/status/622049370918244352 …
Thu Jul 16 18:15:12 PDT 2015 --  On Repeatttt
Thu Jul 16 15:11:20 PDT 2015 --  Travi$ Scott Announces September Date For Debut, “Rodeo” | http://www.ballerstatus.com/2015/07/16/travi-scott-announces-september-date-for-debut-rodeo/ … @trvisXX pic.twitter.com/y7sDmdhf7n
Thu Jul 16 11:43:12 PDT 2015 --  Birdman & Weezy "Stuntin' Like My Daddy" - Chase N. Cashe Remix https://soundcloud.com/crownbearers/chase-n-cashe-stuntin-like-my-daddy-remix …
Thu Jul 16 11:32:21 PDT 2015 --  @AdamWingard's THE GUEST is going up on Netflix next week, so if you haven't seen it yet, do yourself a favor & fucking watch it.
Wed Jul 15 11:03:17 PDT 2015 --  I see you @JonesinJuice https://twitter.com/darrenrovell/status/621371483525394432 …
Wed Jul 15 09:10:32 PDT 2015 --  Give 'er a watch https://twitter.com/sportscenter/status/621332442222358528 …
