Tue Aug 18 18:05:31 PDT 2015 --  RT BC EVERYBODY DESERVES TO HAVE THIS ON THEIR TL #ShesKindaHotVMA pic.twitter.com/wfG7IRykCQ
Tue Aug 18 18:18:39 PDT 2015 --  Muke in minute 3:30 (Hey Violet on AwesomenessTV) https://www.youtube.com/watch?v=fZ_g7K3LCPk … | (via timeline) | lara #ShesKindaHotVMA pic.twitter.com/vOCSSMHZ4U
Tue Aug 18 10:58:06 PDT 2015 --  Watch @Ashton5SOS @Calum5SOS @Michael5SOS and @Luke5SOS of @5SOS surprise some huge fans! #5SOSonGMA THREE DAYS!!! https://amp.twimg.com/v/8994dfc2-5ee7-44f2-bcf3-931adcd19759 …
Tue Aug 18 18:11:35 PDT 2015 --  I would rather be a fangirl than anything else
Tue Aug 18 18:14:18 PDT 2015 --  Basically pic.twitter.com/TVwrN8AHIN
Tue Aug 18 10:45:02 PDT 2015 --  "My @5SOS tat is in a #TimBurton inspired style. I met my best friends thru this band" - @Never_Sometimes #tattoosday pic.twitter.com/KSydy3JP6g
Tue Aug 18 17:40:25 PDT 2015 --  How the fuck can michael move his left arm with all those bracelets? I'm wearing five bracelets and it's like i'm a robot #ShesKindaHotVMA
Tue Aug 18 17:54:14 PDT 2015 --  Michael clifford means the world to me #ShesKindaHotVMA
Tue Aug 18 18:04:48 PDT 2015 --  You ruined my cookies Michael Clifford. #ShesKindaHotVMA pic.twitter.com/RQDG3bSD19
Tue Aug 18 18:00:07 PDT 2015 --  How deep do @5SOS go on new album? "Balls deep," the boys tell us at @Vevo Certified show http://blbrd.cm/96Vhic  pic.twitter.com/jc1orXP9nv
Tue Aug 18 18:10:26 PDT 2015 --  HAHA https://twitter.com/billboard/status/633805610971201538 …
Tue Aug 18 15:02:28 PDT 2015 --  Michael Clifford follows you Luke Hemmings follows you Calum Hood follows you Ashton Irwin follows u #ShesKindaHotVMA pic.twitter.com/5YiFG3x8Ne
Tue Aug 18 17:18:33 PDT 2015 --  So apparently Michael bought an apple watch...
Mon Aug 17 13:23:29 PDT 2015 --  ¯\_(ツ)_/¯ ¯\_(ツ)_/¯ ¯\_(ツ)_/¯ ¯\_(ツ)_/¯ ¯\_(ツ)_/¯ ¯\_(ツ)_/¯ ¯\_(ツ)_/¯ ¯\_(ツ)_/¯ ¯\_(ツ)_/¯ ¯\_(ツ)_/¯ ¯\_(ツ)_/¯ ¯\_(ツ)_/¯
Tue Aug 18 17:19:00 PDT 2015 --  We're behind by 49K! #ShesKindaHotVMA pic.twitter.com/HWMT6diNWS
Tue Aug 18 17:16:32 PDT 2015 --  OMG EVERYONE TAG CALUM IN THIS #SHESKINDAHOTVMA https://vine.co/v/epvjrWdP3wd 
Tue Aug 18 17:20:29 PDT 2015 --  can we just take a moment to appreciate how adorable michael looks running around with his guitar in his hands pic.twitter.com/FtHeC2KzwO
Tue Aug 18 17:18:27 PDT 2015 --  Michael feels in 3... 2... 1... #ShesKindaHotVMA pic.twitter.com/aSW9n36cZA
