Fri Sep 26 07:26:17 PDT 2014 --  Man jeets is legendary. I don't think our generation will have a more classy guy. You will be missed #DerekJeter #RE2PECT #2
Thu Sep 25 18:38:43 PDT 2014 --  How ironic is this.. pic.twitter.com/S5fVbsI1jq
Sat Sep 20 16:04:21 PDT 2014 --  A coulple years ago @Folty25 and I were Astros POTY. Congrats kids @Brett_Phillips8 and @jhader17 well deserved! Keep it going.
Thu Sep 18 11:13:18 PDT 2014 --  #tbt my dream http://instagram.com/p/tGLOe3p30J/ 
Tue Sep 16 14:17:51 PDT 2014 --  " @D_heben: On that @gspringer_4 workout, listening to the new jam @NikyeeHeaton http://twitter.com/D_heben/status/511977129932648448/photo/1pic.twitter.com/Cqm8TwuV2n " she bad
Sun Sep 14 12:18:11 PDT 2014 --  I'm disappointed right now.
Wed Sep 10 08:24:58 PDT 2014 --  Looks like it's just gonna be me and dal today.
Wed Sep 10 06:33:45 PDT 2014 --  Every KING has a story. #kinglife #leosrule http://fb.me/3hckN2ySN 
Tue Sep 09 20:53:14 PDT 2014 --  I'm dead AF lmao pic.twitter.com/9ArbnqKYcN
Sun Sep 07 14:17:43 PDT 2014 --  Romo trippin
Sun Sep 07 11:43:24 PDT 2014 --  “ @_Happy_Gilmore: When you realize its the first Sunday of the NFL season... http://vine.co/v/Ou02TzB7zXY ” @tonykemp6 @LinoDeShields
Sun Sep 07 05:59:25 PDT 2014 --  Kid's got moves. #gentleman http://fb.me/6GBOt0qFI 
Wed Sep 03 19:00:18 PDT 2014 --  “ @SnitchingKermit: http://twitter.com/SnitchingKermit/status/498988717709987840/photo/1pic.twitter.com/w3tWEAwmNZ ” @tonykemp6 @LinoDeShields
Sat Aug 30 13:39:17 PDT 2014 --  “ @spang19: cant believe my childhood dream has come true! want to thank my family friends and all the support from the #570!” Congrats bro!
Fri Aug 29 04:03:54 PDT 2014 --  The Lord is My Protector, He is my Strong Fortress. My God is my Protection, and with Him I am Safe. `Palms... http://fb.me/3pvo6ga1Q 
Wed Aug 27 10:49:25 PDT 2014 --  We can never have a normal conversation without having a roasting session @dsmith25blujay @DenzelMcCoy @DGrissom_3 never a dull moment lmao
Wed Aug 27 07:19:54 PDT 2014 --  Go Mo'Ne ! http://fb.me/6HTBJJ8lh 
Tue Aug 26 12:21:59 PDT 2014 --  Anyone in corpus looking for some brand new mattresses. If so let me know need to get rid of a couple.
Sun Aug 24 07:51:46 PDT 2014 --  HA! cam Newton With the SLAP! #camnewton #georgia #collegepark #gatorade http://fb.me/1hv3zOOIp 
Sun Aug 24 07:34:13 PDT 2014 --  Congratulations to Chicago's Jackie Robinson West team for winning the 2014 Little League World Series. This is... http://fb.me/73fKQD4ym 
Sat Aug 23 13:31:47 PDT 2014 --  #greatlakes
Mon Aug 18 13:28:03 PDT 2014 --  Kings stand alone. #leo http://instagram.com/p/r2mAQMp39Y/ 
Sun Aug 17 11:35:13 PDT 2014 --  Great way to end my birthday last night. Got the W and got to do #ALSicewaterchallenge… http://instagram.com/p/rz0S7XJ39z/ 
Fri Aug 15 21:59:02 PDT 2014 --  Mustache Men ! His is better RT RT“ @JayneWTHB: Love this one of @tonykemp6 and @LinoDeShields pic.twitter.com/N2BXWUcwYO”
Wed Aug 13 10:35:29 PDT 2014 --  Thoughts and prayers to the Mackenzie family! Rest in peace Gordy!
Sun Aug 10 21:15:14 PDT 2014 --  I've been craving fruity pebbles.
Sun Aug 10 15:33:07 PDT 2014 --  “ @WowSoPunny: I know you get stuck on that pic.twitter.com/BYmptUPKGz” @yagirlKD
