Mon Aug 17 08:31:26 PDT 2015 --  "It is a rough road that leads to the heights of greatness." - Lucius Annaeus Seneca #100DaysOfZen pic.twitter.com/lQ5j72HHiJ
Mon Aug 17 08:31:13 PDT 2015 --  "The best road to progress is freedom's road." - John F. Kennedy #100DaysOfZen pic.twitter.com/IpgYEZFns8
Mon Aug 17 08:30:53 PDT 2015 --  "The moon is a friend for the lonesome to talk to." -Carl Sandburg #100DaysOfZen pic.twitter.com/EUpJUca68r
Mon Aug 17 08:30:33 PDT 2015 --  "Aim for the moon. If you miss, you may hit a star." -W. Clement Stone #100DaysOfZen pic.twitter.com/DPg502y56O
Mon Aug 17 08:29:58 PDT 2015 --  Fireworks are flowers in the garden sky! #100DaysOfZen pic.twitter.com/pI89r2lcXL
Mon Aug 17 08:29:31 PDT 2015 --  “We see the world, not as it is, but as we are or, as we are conditioned to see it.” ―Stephen R. Covey #100DaysOfZen pic.twitter.com/BEvIa7pAAn
Mon Aug 17 08:28:58 PDT 2015 --  "It is a beautiful and delightful sight to behold the body of the Moon"- Galileo Galilei #100DaysOfZen pic.twitter.com/sQkDYahDB7
Mon Aug 17 08:28:31 PDT 2015 --  "Painting is silent poetry, and poetry is painting that speaks" - Plutarch #100DaysOfZen pic.twitter.com/9oxxN9CjyG
Mon Aug 17 08:28:07 PDT 2015 --  "The sky broke like an egg into full sunset and the water caught on fire." - Pamela Hansford Johnson #100DaysOfZen pic.twitter.com/kR1mTPiySG
Mon Aug 17 08:27:43 PDT 2015 --  "The city is not a concrete jungle, it is a human zoo." - Desmond Morris #100DaysOfZen pic.twitter.com/Gz1HJKpbBI
Mon Aug 17 08:26:44 PDT 2015 --  "Binoculars see from far when near the eyes. Far from self, near the heart, in love." #100DaysOfZen pic.twitter.com/x8ahG5lfxw
Mon Aug 17 08:26:26 PDT 2015 --  "A lie can travel half way around the world while the truth is putting on its shoes" - Charles Spurgeon #100DayOfZen pic.twitter.com/5UHHJQ06M2
Mon Aug 17 03:08:04 PDT 2015 --  Again ...........
Mon Aug 17 02:51:07 PDT 2015 --  Galaxy Note 5 International Giveaway!
Mon Aug 17 02:46:16 PDT 2015 --  Galaxy Note 5 International Giveaway @androidauth https://wn.nr/bSmj6 
Sun Aug 16 21:42:21 PDT 2015 --  Need more sleep
Sun Aug 16 21:40:58 PDT 2015 --  Hello @mainedcm https://twitter.com/9GAG/status/633118554959839232 …
Sat Aug 15 11:25:20 PDT 2015 --  "Failures are finger posts on the road to achievement." - C. S. Lewis
Sat Aug 15 12:25:26 PDT 2015 --  "It is a rough road that leads to the heights of greatness." - Lucius Annaeus Seneca #100DaysOfZen pic.twitter.com/F7CWdn2Dm9
Sat Aug 15 12:25:04 PDT 2015 --  "The best road to progress is freedom's road." - John F. Kennedy #100DaysOfZen pic.twitter.com/I8kkuThySG
Sat Aug 15 12:24:39 PDT 2015 --  "The moon is a friend for the lonesome to talk to." -Carl Sandburg #100DaysOfZen pic.twitter.com/bhhgFE3AQ4
Sat Aug 15 12:24:19 PDT 2015 --  "Aim for the moon. If you miss, you may hit a star." -W. Clement Stone #100DaysOfZen pic.twitter.com/kOsY4L6hZj
Sat Aug 15 12:23:51 PDT 2015 --  Fireworks are flowers in the garden sky! #100DaysOfZen pic.twitter.com/dJI66iQuT0
Sat Aug 15 12:23:28 PDT 2015 --  “We see the world, not as it is, but as we are or, as we are conditioned to see it.” ―Stephen R. Covey #100DaysOfZen pic.twitter.com/G5kN4o4HgX
Sat Aug 15 12:23:10 PDT 2015 --  "It is a beautiful and delightful sight to behold the body of the Moon"- Galileo Galilei #100DaysOfZen pic.twitter.com/opn0OHFqZD
Sat Aug 15 12:22:44 PDT 2015 --  "Painting is silent poetry, and poetry is painting that speaks" - Plutarch #100DaysOfZen pic.twitter.com/PQM5cXfcwD
Sat Aug 15 12:22:21 PDT 2015 --  "The sky broke like an egg into full sunset and the water caught on fire." - Pamela Hansford Johnson #100DaysOfZen pic.twitter.com/vpRVyqEABk
Sat Aug 15 12:22:02 PDT 2015 --  "The city is not a concrete jungle, it is a human zoo." - Desmond Morris #100DaysOfZen pic.twitter.com/wYLhcdmFF5
Sat Aug 15 12:21:23 PDT 2015 --  "Binoculars see from far when near the eyes. Far from self, near the heart, in love." #100DaysOfZen pic.twitter.com/1XVRdBr2P6
Sat Aug 15 12:20:50 PDT 2015 --  "A lie can travel half way around the world while the truth is putting on its shoes" - Charles Spurgeon #100DayOfZen pic.twitter.com/6zXuqIVtpO
Sat Aug 15 12:19:53 PDT 2015 --  In a relationship with my bed!!! Ha ha
Sat Aug 15 11:54:47 PDT 2015 --  OnePlus 2 International Giveaway @androidauth https://wn.nr/Abrvp 
Sat Aug 15 10:50:46 PDT 2015 --  I forgot deym
Fri Aug 14 12:49:41 PDT 2015 --  It's almost 4am and em still up, tsk
Fri Aug 14 12:30:48 PDT 2015 --  Some words are better left unsaid. BUT SOMETIMES YOU JUST HAVE TO SAY IT. okay
Fri Aug 14 12:28:59 PDT 2015 --  New favorite, the raspberry flavored red tea!
Fri Aug 14 11:43:46 PDT 2015 --  This is so accurate! Haha I did this and I never thought that it will turn out to something . . . .bad, really bad! pic.twitter.com/BOEEMLEXb3
Fri Aug 14 11:33:46 PDT 2015 --  Ha ha hell yeah! ! ! ! https://twitter.com/9GAG/status/632257979748851713 …
Fri Aug 14 11:21:38 PDT 2015 --  Moments like this always reminds me of Wreck It Ralph! ! !
Fri Aug 14 11:20:37 PDT 2015 --  Always my fault aha, great
Fri Aug 14 11:20:18 PDT 2015 --  Currently feeling frustrated about something. . . . .
Fri Aug 14 11:02:31 PDT 2015 --  On point https://twitter.com/DavidRoads/status/631735991854874624 …
Thu Aug 13 18:53:55 PDT 2015 --  It is hard to fail, but it is worse never have tried to succeed. - Theodore Roosevelt
Fri Aug 14 10:24:22 PDT 2015 --  I can accept failure, everyone fails at something. But I can't accept not trying. -Michael Jordan
Fri Aug 14 10:44:49 PDT 2015 --  "The best road to progress is freedom's road." - John F. Kennedy #100DaysOfZen pic.twitter.com/sz1RakI6Vf
Fri Aug 14 10:43:48 PDT 2015 --  "The moon is a friend for the lonesome to talk to." -Carl Sandburg #100DaysOfZen pic.twitter.com/p9wzyRJKhj
Fri Aug 14 10:40:11 PDT 2015 --  "It is a rough road that leads to the heights of greatness." - Lucius Annaeus Seneca #100DaysOfZen pic.twitter.com/9In30SjTpv
Fri Aug 14 10:37:31 PDT 2015 --  "Aim for the moon. If you miss, you may hit a star." -W. Clement Stone #100DaysOfZen pic.twitter.com/i7dX5gs6NT
Fri Aug 14 08:38:18 PDT 2015 --  Fireworks are flowers in the garden sky! #100DaysOfZen pic.twitter.com/9XFupFWDrA
Fri Aug 14 08:37:49 PDT 2015 --  “We see the world, not as it is, but as we are or, as we are conditioned to see it.” ―Stephen R. Covey #100DaysOfZen pic.twitter.com/is6vGDSWzo
Fri Aug 14 08:37:27 PDT 2015 --  "It is a beautiful and delightful sight to behold the body of the Moon"- Galileo Galilei #100DaysOfZen pic.twitter.com/twuPHqYwPU
Fri Aug 14 08:37:06 PDT 2015 --  "Painting is silent poetry, and poetry is painting that speaks" - Plutarch #100DaysOfZen pic.twitter.com/7hiD6k8SJ3
Fri Aug 14 08:36:45 PDT 2015 --  "The sky broke like an egg into full sunset and the water caught on fire." - Pamela Hansford Johnson #100DaysOfZen pic.twitter.com/cYDRVu5VT7
Fri Aug 14 08:36:28 PDT 2015 --  "The city is not a concrete jungle, it is a human zoo." - Desmond Morris #100DaysOfZen pic.twitter.com/3AYsOzRNJs
Fri Aug 14 08:35:59 PDT 2015 --  "Binoculars see from far when near the eyes. Far from self, near the heart, in love." #100DaysOfZen pic.twitter.com/VDNpK08Z7D
