Mon Aug 17 15:36:43 PDT 2015 --  @LuisUnleashed @IGGYAZALEA she's in Australia because her cartel is going international
Mon Aug 17 15:40:20 PDT 2015 --  Who ever doesn't have tickets to the show tonight come by the tour bus!!
Mon Aug 17 15:46:41 PDT 2015 --  No me gustan los shots.
Mon Aug 17 15:54:36 PDT 2015 --  Nicks having trouble adjusting, but im ready to go out. #HiAustralia pic.twitter.com/C8r6UnHsEz
Mon Aug 17 13:57:05 PDT 2015 --  Sorry not sorry https://twitter.com/sheer_love_life/status/633379108089671681 …
Mon Aug 17 11:41:27 PDT 2015 --  Cmon bro. Really? pic.twitter.com/f3KgIBuApH
Mon Aug 17 10:00:56 PDT 2015 --  Esta cuenta me esta sacando los trapitos al sol Jajajaja https://twitter.com/esde_gordos/status/633322480032083968 …
Sun Aug 16 21:12:24 PDT 2015 --  11:11 tú pic.twitter.com/S8PB5TbOLp
Sun Aug 16 21:11:01 PDT 2015 --  11:10 Voy a pedir un "Casi-deseo"
Sun Aug 16 20:50:09 PDT 2015 --  Getting ready for this next single..... #BeckyGWarmup pic.twitter.com/qazwR1tJps
Sat Aug 15 16:05:40 PDT 2015 --  Gracias por el préstamo @mariobautista_ #KCAMexico2015 pic.twitter.com/Q2NdpBX4mw
