Mon Apr 06 23:43:59 PDT 2015 --  Zayn i'm not saying i hate you ...but if you were hurt really bad and i had a phone to call an ambulance i'd order a pizza.
Mon Apr 06 22:43:55 PDT 2015 --  1 Day left to vote for http://Bestfandom.com.ar  We're losing by 20K. Tap "vote" to vote, no need to tweet it. pic.twitter.com/kaCh29lkIs
Mon Apr 06 22:05:59 PDT 2015 --  Ok that's it for now. All the best for everything...love exams increments hugs. Hav a good day. I am out of answers. Now bak to my questions
Mon Mar 30 19:48:50 PDT 2015 --  All of a sudden typing 4/4 doesn't hurt so much.
Wed Apr 01 05:59:10 PDT 2015 --  “ @OTRADaily: "Zayn and Perrie are arranging their papers to get married in Paris."” i thought this was a 1d update acc...who's zayn...
Sun Apr 05 04:23:53 PDT 2015 --  Doris & Ernest loved cuddles with their brother pic.twitter.com/vKqa95jlYy
Sun Apr 05 06:01:03 PDT 2015 --  @zaynsmyidiott @zaynmalik OH MY GOD. ALMOST 200,00 TWEETS. I SALUTE YOU GIRL. HANDS DOWN BLESS YOUR SOUL I HOPE ZAYN FOLLOWS YOU
Sun Apr 05 05:34:14 PDT 2015 --  …& my boys r in full strength. KKR squad r now ready & all set to play their hearts out. Love you guys…see u on 8th. pic.twitter.com/GsXNOI9rRD
Sun Apr 05 04:32:45 PDT 2015 --  i'm laughing so hard omf I vote for #TheVamps "Somebody to You" #MusicalMashup @radiodisney pic.twitter.com/rcRdnWSufk
Thu Apr 02 10:01:30 PDT 2015 --  “ @Phoebetommo04: love him. http://twitter.com/Phoebetommo04/status/580317993068044288/photo/1pic.twitter.com/oXnEXQYgch ” the best brother @Louis_Tomlinson
Sun Apr 05 05:24:09 PDT 2015 --  I vote for #TheVamps “Somebody To You” #MusicalMashup @radiodisney
Sat Apr 04 23:13:20 PDT 2015 --  Vote stats right now: 1D: 243K/hour 5H: 177K/hour Status: Leading by 2K #OneDirection #TheyreTheOne @radiodisney
Sat Apr 04 23:15:23 PDT 2015 --  Our Kraken did its job pretty good. #OneDirection #TheyreTheOne @radiodisney
Sat Apr 04 23:21:40 PDT 2015 --  Best Music Group: Leading by 15K Fiercest Fans: Leading by 6K Best Crush Song: Leading by 701K #OneDirection #TheyreTheOne @radiodisney
Sun Mar 29 01:25:19 PDT 2015 --  Great game from both Quicks so far @AppStore http://tw.appstore.com/AustraliaVsNewZealand … pic.twitter.com/LFsy2KD5Fr
Sat Apr 04 15:39:03 PDT 2015 --  “ @lNDIE1RWIN: @MaxGeorge it is unfair how you can wear woman's clothing and still look good... pic.twitter.com/xzOH055cJD” hmmm
Sun Apr 05 01:05:51 PDT 2015 --  Quote this with your country and i'll add it on the time conversion list. #OneDirection #TheyreTheOne @radiodisney
Sun Apr 05 00:49:20 PDT 2015 --  We are now leading by 120K in Best Music Group and 17K in Fiercest Fans. #OneDirection #TheyreTheOne @radiodisney
