Mon Dec 29 13:46:51 PST 2014 --  Long drives make me mad with no good scenery!!!!!!
Mon Dec 29 11:56:33 PST 2014 --  “ @Gold_Slugga: My big brotha! The realist DB in the NFL @Salute_me17 keep grindin” salute
Mon Dec 29 11:45:25 PST 2014 --  Guess I have no friends from that area haha
Mon Dec 29 11:40:43 PST 2014 --  Atlanta what's good?
Thu Dec 25 08:53:12 PST 2014 --  Merry Christmas to everyone pic.twitter.com/5wRnWsMhdQ
Mon Dec 22 07:49:29 PST 2014 --  Where Am I hanging today? What's poppin?
Sat Dec 20 21:38:26 PST 2014 --  Battles are won in your mind before you even take the field. The game is already won upon our imagination
Wed Dec 10 13:27:34 PST 2014 --  @Salute_me17 & I are brothers..brothers fight..I have respect for Bree..we will take this passion to the field Sunday #boysWILLBEboys #HTTR
Sat Nov 29 13:05:38 PST 2014 --  Feels good to be a tiger alum today hahahaha GO TIGERS wish I could have enjoyed this one with Yal boys
Thu Nov 20 15:33:03 PST 2014 --  Ashburn lights up at night huh?
Fri Oct 31 20:30:29 PDT 2014 --  “ @jwat14: I see you my boy @Salute_me17 ! Great game” thanks bro
Fri Oct 31 10:14:31 PDT 2014 --  “ @BPringley: I'm bout to give my puppy some gum, his breathe be stank af” not that's funny
Tue Oct 07 13:39:07 PDT 2014 --  What's to do on a Tuesday afternoon in DC?
Tue Oct 07 12:30:29 PDT 2014 --  What's up Twitter?
Mon Sep 15 05:09:13 PDT 2014 --  My photo of Bashaud Breeland before the game on Sunday. @salute_me17 pic.twitter.com/cKNwaLKFVo
Thu Aug 28 21:02:18 PDT 2014 --  Out with the preseason in with the regular season! Let's see what the regular season have in store for me!
Thu Aug 28 20:10:43 PDT 2014 --  God is so good man. Whatever happens these next 36 hours I'm extremely blessed regardless!!!!
Tue Aug 19 12:45:34 PDT 2014 --  Confidence has no competition #WindmillWisdom
Tue Aug 19 05:19:59 PDT 2014 --  Shoutout to everybody that showed me love last night I appreciate it!!
Mon Aug 11 05:27:02 PDT 2014 --  Ima dog, she a dog too #eerrrr if she a shootah ima shootah too! # #trap http://instagram.com/p/rjtZDmir75/ 
Thu Jul 31 09:42:38 PDT 2014 --  https://vine.co/v/MEw3aJhgzKp  Learning from these vets while competing against them! #TannaMan #redskins #HTTR #competition
Tue Jul 29 08:44:28 PDT 2014 --  Can't wait to see @Salute_me17 in action this season he got lots to learn but he got that down
Mon Jul 28 10:37:01 PDT 2014 --  One ACC coach said Florida State and Clemson are “different animals.”
Sun Jul 27 19:01:41 PDT 2014 --  “Thanks @Justin_Lax_6: edit I did of you!! Good luck this season!! Hope to see you at camp tomorrow! #HTTR #Redskins pic.twitter.com/Yu8gNVwyo9”
Sun Jul 27 10:24:26 PDT 2014 --  “ @BranchNout90: CAMP DAYS #TeamWindmill pic.twitter.com/Fm9HCVPXij” The visor cold AF
Sun Jul 27 09:05:02 PDT 2014 --  Some of your friends want you to have life but not better then them so watch out
Thu Jul 24 08:47:12 PDT 2014 --  @iTezDavis7 bet bra everything gon work out jus stay focused and keep workin. We all tryna get to the same place. No matter how we get there
Mon Jul 21 11:47:43 PDT 2014 --  Training Camp
Wed Jul 16 04:35:37 PDT 2014 --  The reason you should continue to Smile when facing adversity and ignorance is you know without a doubt that God has your back! TRUTH
Wed Jul 16 04:47:12 PDT 2014 --  Good morning world
Sun Jul 13 20:52:11 PDT 2014 --  Tomorrow is a brand new day and I refuse to feel like this!
Wed Jul 09 23:42:32 PDT 2014 --  They love who we are so I show them what we do
Thu Jul 03 11:52:06 PDT 2014 --  Being a father is a gift! What more you could want than putting your hands on someone life and raised them how you want people in da wld 2b!
Tue Jul 01 05:59:18 PDT 2014 --  Workouts at ten then back to chill mode I go! Kick my feet up type of day today! #WorkHardChillHard
Tue Jun 24 09:03:57 PDT 2014 --  @Salute_me17 @slong_61 @MORGANMOSES_78 @TMurphy_93 and I were teaching life lessons out there at the Play 60 event today. #TheGauntlet
Tue Jun 24 04:18:05 PDT 2014 --  @Salute_me17 Httr baby
Tue Jun 24 04:14:37 PDT 2014 --  Yo Gotti real ninja go ham can't stop listening to it
Tue Jun 24 03:56:26 PDT 2014 --  I never really got the hold of this tweeting thing my followers don't interact at all what's the point anyway Lol
Tue Jun 24 03:42:40 PDT 2014 --  “ @SicilianInHeels: Edward Scissorhands. pic.twitter.com/1nhB9eQ2Ad” fine piece of art!
Wed Jun 11 16:01:48 PDT 2014 --  Winners never quit and quitters never win.
Sun Jun 15 09:51:35 PDT 2014 --  Pretty disappointing that I don't have any pics with my real father!
Sun Jun 15 07:27:15 PDT 2014 --  Feels good to be a father today haha enjoying mine! Happy Father's Day to all you other fathers out there! Cherish your kids #sumbodywill
Thu Jun 12 19:56:00 PDT 2014 --  I’m logging back off lol RT @BiggieShortyXD: you niggas dumb lol pic.twitter.com/21xmUw6QsD
Thu Jun 12 20:28:07 PDT 2014 --  If this Miami Heat vs Spurs game was 2k... they would be like pic.twitter.com/UBLBCpi4sB
Tue Jun 10 12:54:20 PDT 2014 --  What's good twitter?
Mon Jun 09 05:35:33 PDT 2014 --  Do you love your line of work? Or feel like this is all you have left too do? Im loving and feeling bless to have another day at work! #NFL
Sun Jun 08 11:49:23 PDT 2014 --  @LeeDoss_2 @Salute_me17 good meeting u guys last night lets get turnt before you guys ship off to Richmond #HTTR
Thu Jun 05 12:49:18 PDT 2014 --  “ @sammywatkins: Tigernet be putting all my info out please stop a lot of out here ”I know right
Mon May 26 07:24:39 PDT 2014 --  “ @dmcdani2: And everybody thought Gucci was just crazy when he dissed Tiny on T.I diss lol #whatkindofKing”I know right
Mon May 26 07:14:58 PDT 2014 --  “ @BrandonofCB1: @Salute_me17 looking forward to seeing you and Amerson locking down WRs for many years to come! #HTTR!” Yes indeed
Mon May 26 07:13:56 PDT 2014 --  Waiting at the airport is just boring to me! Don't know nobody and you don't talk to nobody! Everybody just look so out of it!
Mon May 26 05:59:17 PDT 2014 --  What's up twitter world?
Wed May 21 22:05:41 PDT 2014 --  @Salute_me17 Got you in Madden already getting clutch INT's over Dez #HTTR pic.twitter.com/QyywASu2oj
Wed May 21 11:06:32 PDT 2014 --  I'm having anxiety from being SO bored & sitting in one place doing nothing
Mon May 19 10:59:45 PDT 2014 --  @TajhB10 @sammywatkins @BTOM63 @ThaBestUNO @Salute_me17 @dowonders25 @TheCatMan39 We Believe!!!! Clemson Tigers Coming #ClemsonTigerNation
Wed May 14 17:50:06 PDT 2014 --  I only want to be rich in spirit Lord. Please guide me.
Thu May 15 06:46:24 PDT 2014 --  Washington here I come!!! Let's turn up #championjourney
Sat May 10 10:14:20 PDT 2014 --  Please officially welcome @ThaBestUNO to #SteelersNation! pic.twitter.com/VU8yD3HAhR
Wed May 14 12:01:26 PDT 2014 --  Already hard at work. pic.twitter.com/gEEoLvkIKO
Wed May 14 11:40:01 PDT 2014 --  I love the game so it's made just for me! #thegrind
Wed May 14 06:19:31 PDT 2014 --  Had a blast back home! They showed a lot of love the community is really behind me! They gave me my own day! #may13 #allendalestandup
Tue May 13 05:21:14 PDT 2014 --  One learns to ignore criticism by first learning to ignore applause #WindmillWisdom
Tue May 13 05:22:17 PDT 2014 --  Through the rigors of life I've lost Family members,Friends,Valuable items,Time,Money and My way BUT I've NEVER lost Hope! TRUTH
Mon May 12 13:12:55 PDT 2014 --  Downloaded the Redskins' new roster on madden & had a pick-6 @Salute_me17 !!! pic.twitter.com/NTIiplzJPb
Mon May 12 13:45:18 PDT 2014 --  Lol....andddd another pick-6 with @Salute_me17 pic.twitter.com/4Jr6Fq0PhJ
Tue May 06 09:06:28 PDT 2014 --  “ @Stunnaman_15: Ready for big bra @Salute_me17 to get picked in the upcoming draft. One of the realest since day 1. #salute #803” thank bro
Fri May 02 09:16:43 PDT 2014 --  Clemson's Bashaud Breeland runs the gamut for us. CB or Safety? Martavis or Sammy? Drake or Kendrick? http://www.nfldraftgeek.com/bashaudbreeland_interview.html … @Salute_me17
Sun Apr 27 11:50:19 PDT 2014 --  I hate being ignored !! That'll get you cut from my life forever if I find out you ignore me #realtalk
Tue Apr 15 04:36:11 PDT 2014 --  How do u continue 2 doubt yourself but TRUST & BELIEVE in someone whom has let you down continuously?! YOU can do all things baby! TRUTH
Tue Apr 15 05:03:18 PDT 2014 --  “ @TonyVillani: @NFLDraftGeek and you are right do not sleep on @Salute_me17 .... great size and length and positional skills!” TFL Tony V
Sun Apr 13 07:22:14 PDT 2014 --  “ @timbiv: @Salute_me17 is the best CB on NCAA” thanks for the love
Mon Apr 07 22:37:33 PDT 2014 --  Females expectations too unrealistic they want a thug who is also nice, won a NBA title a NFL Super Bowl IQ level over 140
Sun Apr 06 20:30:09 PDT 2014 --  Remember everyone is replaceable don't get it twisted
Mon Apr 07 04:53:11 PDT 2014 --  It is possible to outgrow people. Stop dragging them into a place where they no longer belong.
Mon Apr 07 08:54:08 PDT 2014 --  Making up new SHREDmill® workouts today showing how an athletes stride and form controlled the speed...not the matchine. #XPE®
Fri Apr 04 09:06:50 PDT 2014 --  It's not possible to Achieve something worth having without Sacrifice. You must give in order to get your true desires. "Sacrifice" #TRUTH
Fri Apr 04 08:01:15 PDT 2014 --  WHAT? pic.twitter.com/qPkAW9bf5m
Fri Apr 04 07:50:06 PDT 2014 --  I hate long layovers
Fri Apr 04 06:52:19 PDT 2014 --  Just got off a long flight from buffalo! Slept the whole way but still tired what's up with that?
Thu Apr 03 04:55:42 PDT 2014 --  Early morning travels I vibe the most on lol #coolin #living #buffalobills
Mon Mar 31 06:16:13 PDT 2014 --  Your tomorrow starts today with the Belief that you can!!! It's up to you to make the Impossible Possible. You Gotta Believe! TRUTH
Mon Mar 31 06:16:22 PDT 2014 --  What's to do today?
Sat Mar 22 06:45:40 PDT 2014 --  Hey "ballers," u listen to Lil Wayne right? "Life is a choice and debt is a decision." Have a good weekend.
Thu Mar 20 08:49:38 PDT 2014 --  “ @OHYEAH_BIG12: @ghost_0836 @skipp2_mylou @Salute_me17 and Jp ....WE NEED TO GET BACK IN THE GRILL TODAY” yea Jp be busin on the grill
Wed Feb 19 15:09:17 PST 2014 --  How many rts for him? pic.twitter.com/RjgeBRVLGP
Tue Mar 18 14:41:09 PDT 2014 --  Ladies Listen most men NEED to be NEEDED so if u show them u don't need them they will show u as well. Truth
Tue Mar 18 10:27:46 PDT 2014 --  Had lunch w/my oldest Michaela whose birthday is 2day.6 yrs ago she came into this world a gift from our Father God Thank u 4 this Blessing
Tue Mar 18 08:40:13 PDT 2014 --  I do what I do, too make sure my family eats for life!! #GrindEnoughFor20Men #MatchMyIntensity
Tue Mar 18 07:55:54 PDT 2014 --  I got my weight up! #Grindmode#CBOTY #letsgo pic.twitter.com/nWMmxBTEVY
Tue Feb 18 11:09:15 PST 2014 --  What's good twitter?
Tue Feb 11 07:27:41 PST 2014 --  If you say can't around me I don't need you on my team we'll find a way #truth
Tue Feb 11 06:48:39 PST 2014 --  Clemson be like: pic.twitter.com/uOUVsF2gYW
Sat Jan 04 15:24:42 PST 2014 --  I feel live sold bashaud breeland a phone today
Sat Jul 27 11:32:25 PDT 2013 --  Heard she can do some tricks wit mouth nigga!
Fri Jul 26 09:25:14 PDT 2013 --  “ @YouuCookIEat: @Salute_me17 lol shut up. I'm a lowkey softie.” And talk so hard!! Oh it's the cover up lol
Wed Jul 24 21:23:21 PDT 2013 --  I love this emoji she's just like DUH bitch lol i don't give a fuck you're ugly whatcha gonna do about it whatever bitch
Fri Jul 26 08:44:17 PDT 2013 --  A ninja tired!! #workflow
Fri Jul 26 08:33:57 PDT 2013 --  “ @YouuCookIEat: When I wake up in the morning & he's not there. 330 hurrrry uppp!” Getin soft on me!
