Fri Aug 21 18:00:11 PDT 2015 --  Kembar Byun itu menyebalkan *ajak Moy kongkalikong galauin kembar byun* IT'S TIME FOR DAE GALAU!!! https://twitter.com/bygjjang/status/634892120713617408 …
Fri Aug 21 17:59:01 PDT 2015 --  Ckckck.... lo diapain jeh ampe nangis gitu? *inosen* https://twitter.com/bygjjang/status/634891501189775361 …
Fri Aug 21 17:39:45 PDT 2015 --  Cooling down dulu mamen wwwwwwwwww https://twitter.com/angevoce/status/634860078579847168 …
Fri Aug 21 16:11:03 PDT 2015 --  Magnum ^ pic.twitter.com/Z8LOhDwHEB
Fri Aug 21 16:30:13 PDT 2015 --  How to turn a bad situation into a good one http://twitter.com/TweetLikeAGirI/status/630773604028813315/photo/1pic.twitter.com/9VarnmoySo 
Fri Aug 21 17:00:12 PDT 2015 --  BAP - Warrior " @soompi: [Watch] 10 Iconic Ending Poses in K-Pop http://soompi.com/2015/08/20/10- … pic.twitter.com/VyUDhztO2v"
Fri Aug 21 17:14:55 PDT 2015 --  OMG SUGITAN!!!!! *colek @amyhongo dan Fuu* https://twitter.com/seiyu_mania/status/634875060847685632 …
Fri Aug 21 11:00:19 PDT 2015 --  14 Amazing Photos By Cassies Of TVXQ Past Hot Spots in Europe -- http://aegyo.me/5Hra  pic.twitter.com/fPv0pne1HN
Fri Aug 21 09:17:21 PDT 2015 --  Saya lagi gemes sama yang jadi avatar~~~ kamu bocah banget sih!!!! pic.twitter.com/qSpXyZV0AY
Fri Aug 21 08:23:18 PDT 2015 --  Semoga minggu ga ada lagi halangan jadi bisa nuntasin janji sama kakak. Untuk sekarang standby di rumah dulu sampai kondisi terkontrol.
Fri Aug 21 08:21:44 PDT 2015 --  Susah banget jodoh buat ketemu kak nana. Minggu kemarin batal krn kaki keseleo. Sabtu ini gagal krn kabar duka dari keluarga kaka ipar -
Fri Aug 21 03:29:13 PDT 2015 --  Dingin bgt cyyynnnb
Fri Aug 21 03:29:07 PDT 2015 --  Masuk angin wwwww
Fri Aug 21 02:00:16 PDT 2015 --  @blankfes @ruysheka @etheraels Aku terjebak oleh cinta terlarang... aku berusaha melawan tapi kutak sanggup #malahberpuisi #kabur
Fri Aug 21 01:43:00 PDT 2015 --  @ruysheka @blankfes @etheraels (............) Rigel akan move on..... tunggu ada calon yang mau aja *terdengar prihatin*
Thu Aug 20 21:42:44 PDT 2015 --  Sumpah ngantuk ngt
Thu Aug 20 21:37:05 PDT 2015 --  Kawaii~~~~ https://twitter.com/angevoce/status/634578964854345729 …
Thu Aug 20 21:22:46 PDT 2015 --  [Pics] 150821 Tohoshinki – ‘STAY’ Photobook Preview https://pinkrazy.wordpress.com/2015/08/21/pics-150821-tohoshinki-stay-photobook-preview … pic.twitter.com/2fjxDDyISH
Thu Aug 20 21:35:06 PDT 2015 --  Semoga gue ga kena sial lagi hari ini. Besok ayem mau jalan-jalan sama mba erni huhuhu
Thu Aug 20 21:34:34 PDT 2015 --  Kepala gue pusing
Thu Aug 20 21:11:03 PDT 2015 --  Swirled White Chocolate Cheesecake pic.twitter.com/j7jJ8F0V4v
