Sun Jun 07 10:36:28 PDT 2015 --  『キャノンボール』は続編が作られるぐらいのヒット作になったけれど、『爆走！キャノンボール』に至っては。https://www.youtube.com/watch?v=6eH8j-md9Fs … https://twitter.com/gotourannya/status/607579479217537024 …
Sun Jun 07 10:36:45 PDT 2015 --  自分が好きな戦争映画などというものは、何百本が束になろうがリアルさという視点では映像の世紀の１コマの重みに敵わない。ならば作り物＝物語という形を通して観る者にイメージとして戦争の多様な側面を伝えていくのが映画の役割なのだろう。ある時はそれが戦意高揚となり、ある時は反戦となったと。
Sun Jun 07 10:32:57 PDT 2015 --  ヒストリーチャンネルで映像の世紀やってたので途中から鑑賞。どこから見ても、何度見てもスゴイ。最近色々とお騒がせなNHKではあるけれど、こういった優れたドキュメンタリー・知的番組を作れる日本で唯一のテレビ局でもある。
Sun Jun 07 09:06:50 PDT 2015 --  そういえば、最近『〜キャノンボール』とみんなよく言うけど、実際の『キャノンボール』(ジャッキー・チェンとか出てるオールスター映画)を見たことがある人って何人くらいなんだろ。
Sun Jun 07 08:54:23 PDT 2015 --  昭和１７年の夏、役場から突然「猫を供出せよ」とのお達し…「アッツ島を守っとる兵隊さんのコートの裏毛になるんじゃ」。「女の気持ち：私の猫」『毎日新聞』2012年８月３日付。煙草吸いにリビング横切ったらタマが起きた。おれは絶対いややで。 pic.twitter.com/JlI9S9PKVi
Sun Jun 07 10:27:12 PDT 2015 --  イコライザー（２０１４）：孤高の必殺仕事人映画だが、まさか就活生にとってグッとくる中身の映画とは思わなかった。デンゼルさんが強すぎて吹きだしそうになるが、名言てんこ盛りでやはりカッコイイ。
Sun Jun 07 10:19:58 PDT 2015 --  イコライザー面白れぇ！
Wed Jun 03 10:24:34 PDT 2015 --  名言、拡散！ 「無知に過ぎる」！ pic.twitter.com/2EgISpBV7b
Fri Jun 05 07:00:41 PDT 2015 --  これは何とかしないと
Fri Jun 05 07:00:25 PDT 2015 --  祈られすぎ
Tue Jun 02 10:42:42 PDT 2015 --  ドキュメント72時間:今回は高尾山。いつもながら日々を懸命に生きる人々に寄り添う視線、過度に介入するでも突き放すでもない人間性への愛情が素晴らしい。NHKの良いところはこのようなドキュメント、ドキュメンタリーにある。
Tue Jun 02 00:14:11 PDT 2015 --  初の新宿東宝でセッション 粗い！激しい！熱い！ 血気盛んな若い監督にしか作れない映画よ！この時期に見といてよかった。
Mon Jun 01 19:50:51 PDT 2015 --  小泉博氏死去。ゴジラの逆襲とか東宝特撮を思い出す、、、
Sat May 30 02:15:32 PDT 2015 --  就活じゃが
Sat May 30 02:15:15 PDT 2015 --  東銀座から銀座、有楽町、東京へ
Wed May 27 18:05:04 PDT 2015 --  周りと比べるかどうかはチョイス 周りと比べる＝幸せになれない 必ずより優れている人いるから。世界一でも、いずれ引退する。自分が成長しているかどうかだけ見ればいい RT @notdepressedlol: 周りに比べて自分なんかと思って頑張ることができない、どうすればいい？
Wed May 27 07:42:23 PDT 2015 --  風邪で体調悪いのに調子乗って一人で白州飲みすぎた....(;;)おいしいけんしゃーないな。
Sat May 23 08:10:54 PDT 2015 --  ついに携帯の画面が死亡！格安スマホ乗り換えといきますか
Sat May 23 07:40:13 PDT 2015 --  寄り道して本当に良かった
Sat May 23 07:40:00 PDT 2015 --  直感は往々にして正しい
Fri May 22 02:10:14 PDT 2015 --  違う、違うだろ、俺達のテレビ東京なら、『マッドライダー』『カー・バイオレンス』『ブロンクス・ウォーリアーズ』『マッドストーン』『チェーン・リアクション』辺りで誤魔化して、最悪『バトルトラック』『処刑ライダー』だろ……。本家を胸張って放映するなんて、おまえはどこのテレ東なんだ……。
Wed May 20 19:16:30 PDT 2015 --  世界で一番有名な日本の論客が「古賀茂明と仲間たち」になっていくシナリオと、安部首相が同時通訳付きのハード・トークを繰り広げるシナリオ。どちらもあっていい。だけど、偏った発信ではなくバランス良く日本の全体像を伝えていったほうが平和・非戦・繁栄への近道ではないかと思うのです。
Wed May 20 19:13:35 PDT 2015 --  加えて「Newsザップ！」でも再三申しているように、安部首相のBBC「ハードトーク」やCNN「アマンプール」への出演を実現したい。その時、喜んでアドバイザーを努めたいと思います。世界のまともなメディアと日々ディベートをする週間を身につければ、与党の健全化にも貢献。一石三鳥です。
Wed May 20 19:38:43 PDT 2015 --  ドーン、と予算をいただければすぐに取り掛かります。偏った情報が暴走して防衛費が膨張するのよりも遥かに安く平和を実現するルートではないかと思います。ただ、クオリティーも最上級で全世界の人が感動するようなおもしろい内容であることが必要。 https://twitter.com/kamiyamasahiko/status/601211523952824320 …
Wed May 20 19:45:49 PDT 2015 --  日本の出版業界もフル・バイリンガルでやれば全世界で熱い読者層を獲得できる。でも役員以下、そんなこと考えたこともないでしょう？日本で廃刊間近な雑誌やウェブメディアに最低賃金のような原稿料で書くのではなく、英語で思い切り稼ぐ一群のライター出現に期待。その先駆けに小生もなりたい、かな？
Mon May 18 23:06:43 PDT 2015 --  #何度みてもよく分からない映画 キラーフィッシュ 恐怖の人喰い魚群
Wed May 13 08:58:04 PDT 2015 --  さしづめお父さんは「安倍のファシズム」を心配する言論人、お母さんは放射能が怖くて食べ物を全部検査、長男はネトウヨで二言目には「在日認定」「電通が」。お姉さんは秋葉系。ある日お姉さんの友達が朝鮮学校の制服を着て訪問、長男は当初毛嫌いするが恋に落ちて…みたいな。それをテレビで見たい。
Fri May 15 08:14:01 PDT 2015 --  エアポート80面白過ぎ！何でミサイルに追いかけられてコンコルドは余裕でかわせるのか、何で客は懲りずにモスクワ行きに乗るのか！ジョージケネディ（コバキヨ）とアランドロン（野沢那智）が操縦きてエマニュエルがCAのコンコルド！全てが笑いどころ。名吹替＆テレ東カットで実に見やすい。
Thu May 14 22:36:01 PDT 2015 --  午後ローで『エアポート'80』やってる。いまちょうどジョージ・ケネディがコンコルドの窓開けて信号弾撃つとこ
Thu May 14 22:36:16 PDT 2015 --  「コンコルド」「窓開けた」で「エアポート'80」の話だなって
Mon May 11 20:21:47 PDT 2015 --  こーゆー系 #男の子ってこういうのが好きなんでしょ pic.twitter.com/IBF9lRUZ2U
Sat May 09 06:44:36 PDT 2015 --  #男の子ってこういうのが好きなんでしょ 上は恐竜！下は61式戦車！ 男の子の2大ロマンを合体した革新的な怪獣ここにあり！ 名前もシンプル！恐竜戦車！ 甘く見てはいけません！とってもパワフル！尻尾の一撃は強力無慈悲だ！ pic.twitter.com/YSl5zcXJGU
Sat May 09 07:42:03 PDT 2015 --  #男の子ってこういうのが好きなんでしょ というか、全てをやり終えて夢を完全に叶えた男の例 pic.twitter.com/98WxyAUeGm
Sat May 09 08:28:06 PDT 2015 --  若者のピンチを知って古参兵が応援に駆けつける構図。 #男の子ってこういうのが好きなんでしょ pic.twitter.com/vfYVmxXf8m
Wed Apr 29 02:20:13 PDT 2015 --  一瞬血が吹き出てるのかと思った pic.twitter.com/dvpsRRblZ0
Sat Apr 25 04:47:57 PDT 2015 --  好きな帯文。 pic.twitter.com/DZ2ZZOn89H
Wed Apr 29 07:41:45 PDT 2015 --  ふもっふという京アニ最高傑作
Wed Apr 29 07:41:18 PDT 2015 --  久々にフルメタの主題歌聞いてウルトラ感動
Wed Apr 29 07:40:42 PDT 2015 --  成功者と成幸者
Wed Apr 29 07:33:10 PDT 2015 --  明日は引きこもってES書くので外に用事あるのは今月は今日でおしまい。で、今年最高の一日であった
Thu Apr 23 23:12:22 PDT 2015 --  本日、『恐怖の魔力／メドゥーサ・タッチ』ブルーレイ発売となりました。ロゴ＆キーアートを檜垣紀六さんにお願いしたのはお伝えした通りですが、『ファイナル・オプション』同様「もし劇場公開されてたら？」のデザインで、ポスターも作成してます。 pic.twitter.com/fNCSXVh141
Tue Apr 14 07:29:07 PDT 2015 --  素晴らしい、至福の時でした
Wed Apr 01 21:36:05 PDT 2015 --  ヴァーグ伝統カラー緑のペアルック兄弟が新歓ブースで君を待っている！ pic.twitter.com/PBEC4knlt5
Fri Mar 27 20:56:23 PDT 2015 --  何だか興味深い。
Fri Mar 27 20:56:02 PDT 2015 --  偏向放送としてテレビを批判して止まないネット民達が、生放送の場でテレビの偏向や圧力を告発した男の行動を「何だか面白かった」という無内容な理由ながらも、実質容認した！
Fri Mar 27 20:52:09 PDT 2015 --  意味のない罵り合いの場として有名な朝生だが、昨夜の放送は珍しく「見れる」レベルだったと思う。しかし報道ステーションの数分間、覚醒した生放送を前には到底勝負にならなかったのである。
Fri Mar 27 20:49:46 PDT 2015 --  報道ステーションの一件について。【朗報】として虚しくバンザイしている2chはさておき、あのヤフコメが古賀氏の行動を少々批判しつつも、実質容認するまさかの事態。
Thu Mar 26 06:28:20 PDT 2015 --  一度に複数のストレスにこの時期に接するのは、かなり精神衛生上よろしくないということが分かった
Wed Mar 25 16:31:04 PDT 2015 --  生き返った
Fri Mar 20 03:26:54 PDT 2015 --  わぁいガンマー第3号 宇宙大作戦　あかりガンマー第3号 宇宙大作戦大好き
Wed Mar 18 07:14:28 PDT 2015 --  南武線、11時台で三本しか電車ない…
Thu Mar 12 09:22:44 PDT 2015 --  金沢市に配布された資料 pic.twitter.com/RKT825j49i
Thu Mar 12 08:22:10 PDT 2015 --  キスマイブサイク、地味に面白い。
Wed Mar 11 20:34:54 PDT 2015 --  【フィルム発見】（新たに３本）「フィルムセンターが所蔵する十数本の記録映画には含まれていない場面も」全焼の警視庁、爆破倒壊…関東大震災の映像発見 : 社会 : 読売新聞（YOMIURI ONLINE） http://www.yomiuri.co.jp/national/20150312-OYT1T50015.html?from=tw … @Yomiuri_Online
Thu Mar 12 06:34:45 PDT 2015 --  大学3年の暮れにして、ようやくナイスなバイトにたどり着いた
Sat Mar 07 21:08:20 PST 2015 --  そこらへんの就活生よりもビックサイト慣れしてる自信はある
Sat Mar 07 22:52:57 PST 2015 --  コミケに眠気は無縁だが、今日のビックサイトは妙に眠気を誘う
Sat Mar 07 17:34:53 PST 2015 --  ビックサイト混みすぎとか言ってるのがいるが実に甘い。コミケに比べればガラガラである（断言）
Sat Mar 07 17:25:28 PST 2015 --  「ビックサイトに10万人」ってコミケの70%くらいだからそんなに混んでないのでは
Sat Mar 07 17:25:43 PST 2015 --  なお頒布価格は無料な模様
Sat Mar 07 17:24:11 PST 2015 --  コミケか
Sat Mar 07 17:23:31 PST 2015 --  ビックサイトに全体的に黒い服を着た人たちが各地から集結して、ブースを回っては薄い本を貰っていくイベントです(・ω・)ノ
Sat Mar 07 17:19:51 PST 2015 --  妙にスーツが多い新宿の埼京線ホームである
Wed Mar 04 22:07:26 PST 2015 --  「最近少年による凶悪犯罪が増えてる！少年法改正だ！」と言うなら最低限でもこれぐらいは目を通してからにして欲しいと思います。http://kangaeru.s59.xrea.com/toukei.html 　http://kangaeru.s59.xrea.com/G-Satujin.htm 
Mon Mar 02 07:30:26 PST 2015 --  手帳が残ってますように…
Mon Mar 02 05:51:41 PST 2015 --  寝たはずなのに寝不足で終日フラフラ、図書館でセキュリティに引っ掛かり、バイトには落ち、最悪な事に手帳を教室に忘れ、自暴自棄にカレンダーを見ると今日は赤口であった
Mon Mar 02 03:30:06 PST 2015 --  あれ？連絡こねえ
Mon Mar 02 02:40:12 PST 2015 --  はてなブログに投稿しました 話題の凡作『アメリカン・スナイパー』 - よろず屋小隊 http://last-panzer.hatenablog.com/entry/2015/03/02/194003 … pic.twitter.com/naIDoNo9Tp
Sun Mar 01 21:39:51 PST 2015 --  アセトアルデヒドが抜けない！
Sun Mar 01 20:51:53 PST 2015 --  好意を持った者同士がお互いに優しいのは当たり前。しかし、その人が客になった時、店員さンやタクシーの運転手などにどういう態度をとっているかをよく見るのだ。あなた以外の人への態度が、いずれあなたへの態度になる。(小池一夫)
Sun Mar 01 19:01:44 PST 2015 --  今日はダニエル・クレイグの誕生日。HAPPY BIRTHDAY!! 「007」シリーズ最新作『スペクター』は2015年11月 全国ロードショー！ #SPECTRE pic.twitter.com/jrVmSW5NEi
